,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Barrier Damage Done - Most in Game,7598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,21,19,,3,2,2,6,3,21,,8,,,,,5,,,10,,6,21,6,8,14,21,2,,,2,,5,9,5,,,3,,,,6,,2,6,2,9,20
Objective Contest Time - Most in Game,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assist - Most in Game,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Hero Damage Done - Avg per 10 Min,8153,4943,6246,8249,4652,9198,2602,8302,9082,10240,7631,7571,8788,8651,6114,9152,4484,,8982,6571,5317,6123,3126,5353,10528,5876,6047,10595,,11671,6479,8862,8407,12188,10581,9036,8448,1559,8366,4684,7914,4109,5674,8262,6562,12022,7880
Deaths - Avg per 10 Min,6.35,5.31,4.96,6.12,6.49,6.83,12.39,9.29,4.25,6.47,6.97,17.39,6.57,8.13,8.68,7.04,21.16,,6.19,16.21,7.89,5.14,8.35,7.77,7.37,5.59,6.64,7.99,,6.21,8.24,7.31,4.8,4.97,6.81,8.37,8.75,12.49,9.86,7.78,8.81,12.3,10.57,7.21,8.5,5.45,6.61
Assists - Avg per 10 min,5.52,10.05,,3.06,4.32,3.1,12.39,1.46,8.68,0.65,4.58,,,0.54,,2.64,,,6.53,,5.63,12.62,10.02,10.36,7.62,21.36,4.43,1.33,,3.11,,1.66,4.12,2.4,,,2.47,12.49,0.82,,4.26,,1.98,2.52,2.43,5.34,17.89
Eliminations - Avg per 10 Min,17.04,13.0,16.52,15.01,7.57,27.93,6.19,15.67,23.63,17.46,17.7,17.39,23.17,17.17,10.05,17.59,5.29,,18.24,5.4,16.9,13.75,11.7,14.24,16.47,19.32,8.86,18.63,,9.32,19.58,15.12,18.95,21.95,19.1,21.62,16.37,12.49,17.25,12.64,20.47,4.1,5.95,13.46,4.86,21.56,15.17
Healing Done - Avg per 10 Min,2244,4428,286,,4962,782,2561,26.78,1549,1680,1483,,852,65.37,206,1750,,,2409,,4422,5600,5221,6249,1057,8501,4958,228,,20.62,1000,,5951,,24.25,,1526,,,120,84.8,51.24,,1766,1219,,5547
Final Blows - Avg per 10 Min,7.54,4.75,3.3,5.21,1.08,10.55,,7.65,11.17,6.47,8.54,4.35,12.45,6.51,4.11,8.8,5.29,,7.7,5.4,7.32,5.89,,6.47,6.14,8.39,4.43,7.99,,1.55,8.24,9.8,10.8,9.34,10.42,10.69,7.4,,4.93,3.4,8.53,1.37,3.97,5.29,2.43,9.47,6.22
Time Spent on Fire - Avg per 10 Min,95,74,64,87,22,98,16,75,139,116,87,,93,68,32,97,,,105,,55,102,,74,90,132,77,89,,98,55,116,129,141,94,79,88,,57,44,98,,,78,74,115,67
Objective Contest Time - Avg per 10 Min,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,0.97,0.62,,1.22,,1.24,,1.28,2.03,0.22,1.25,4.35,3.46,0.72,0.91,0.7,,,0.67,5.4,1.69,0.56,,,,0.51,,,,,1.03,1.66,1.2,0.6,2.27,2.32,1.35,,0.82,0.49,0.28,1.37,,1.08,,0.33,1.56
Objective Kills - Avg per 10 Min,5.59,4.18,9.91,3.98,3.24,9.31,4.13,4.01,7.75,8.41,4.48,4.35,7.95,4.52,2.28,5.45,,,7.87,,6.76,5.7,6.68,7.77,7.37,8.14,,7.99,,3.11,3.09,3.82,5.14,8.84,4.81,5.81,4.71,,4.93,4.37,3.98,1.37,,3.49,3.64,7.73,4.28
Objective Time - Avg per 10 Min,56,29,48,12,45,9,101,34,65,173,74,43,32,30,64,69,,,102,,20,30,25,89,61,61,3,61,,83,6,102,67,106,22,22,40,,13,23,38,13,5,55,109,71,10
Time Played,121730,21365,363,1959,555,967,291,3294,6500,2783,5764,138,1735,3320,1314,3411,113,7,3585,111,1065,6417,359,464,2441,2360,271,451,2,386,582,3612,6998,10990,4492,2581,2675,48,730,1235,2110,439,908,4992,494,5509,1543
Games Played,242,42,1,4,1,2,1,7,12,5,13,0,3,6,3,7,0,0,6,0,3,12,1,1,6,4,0,2,0,1,1,8,14,22,9,7,5,0,2,2,4,1,2,9,1,12,3
Games Won,113,20,1,2,,2,,3,8,,5,0,2,1,1,2,0,,4,0,1,5,0,,3,4,,,0,1,1,4,6,12,4,4,1,0,1,1,3,,,,0,6,1
Games Lost,129,22,0,2,1,0,1,4,3,4,8,0,1,5,2,5,0,0,2,0,2,7,0,1,3,0,0,2,0,0,0,4,8,10,5,2,4,0,,1,1,1,2,8,1,5,1
Hero Wins,113,20,1,2,,2,,3,8,,5,0,2,1,1,2,0,,4,0,1,5,0,,3,4,,,0,1,1,4,6,12,4,4,1,0,1,1,3,,,,0,6,1
Environmental Kills,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Objective Time,11289,1050,29,40,42,15,49,188,700,800,713,10,94,168,139,391,,,612,,36,324,15,69,248,239,1,46,,54,6,617,782,1942,167,96,177,,16,47,133,9,8,455,90,649,26
Eliminations,3458,463,10,49,7,45,3,86,256,81,170,4,67,95,22,100,,,109,,30,147,7,11,67,76,4,14,,6,19,91,221,402,143,93,73,,21,26,72,3,9,112,4,198,39
Hero Damage Done,1654021,176023,3781,26938,4303,14820,1260,45570,98387,47502,73307,1742,25409,47865,13389,52026,848,,53672,1216,9439,65482,1871,4136,42835,23109,2730,7961,,7517,6288,53352,98057,223257,79216,38873,37662,125,10185,9637,27838,3008,8585,68744,5405,110391,20262
Final Blows,1529,169,2,17,,17,,42,121,30,82,,36,36,9,50,,,46,,13,63,,5,25,33,2,6,,,8,59,126,171,78,46,33,,6,7,30,,6,44,2,87,16
Deaths,1289,189,3,20,6,11,6,51,46,30,67,4,19,45,19,40,4,,37,3,14,55,5,6,30,22,3,6,,4,8,44,56,91,51,36,39,,12,16,31,9,16,60,7,50,17
Damage Done,1654021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1135,149,6,13,3,15,2,22,84,39,43,,23,25,5,31,,,47,,12,61,4,6,30,32,,6,,2,3,23,60,162,36,25,21,,6,9,14,,,29,3,71,11
Time Spent on Fire,19365,2637,39,283,20,158,8,412,1511,537,838,,268,374,70,553,,,630,,97,1092,,58,368,519,35,67,,63,54,700,1506,2588,702,342,394,,70,90,346,,,648,61,1057,173
Melee Final Blows,106,5,,,,,,,5,2,4,,,,,8,,,2,,,5,,,,7,,,,,,,27,17,3,4,2,,,,,,,6,,4,2
Objective Contest Time,6583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,196,22,,4,,2,,7,22,,12,,10,4,2,4,,,4,,3,6,,,,2,,,,,,10,14,11,17,10,6,,,,,,,9,,3,4
Multikills,75,3,,,,3,,,6,3,4,,3,2,,3,,,2,,,,,,2,,,,,,,3,3,15,6,,,,,,2,,,3,,8,
of Match on Fire,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assist,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Defensive Assists,635,239,,,5,,6,,,,,,,,,,,,,,,155,6,7,13,102,4,,,,,,10,,,,12,,,,,,,,,27,49
Offensive Assists,412,197,,,,,2,,,,,,,,,,,,,,,36,,5,29,,,,,2,,9,43,44,,,,,,,,,,,,26,17
Healing Done,455292,157683,173,,4589,1259,1240,147,16778,7791,14247,,2464,362,451,9949,,,14397,,7849,59891,3125,4827,4302,33437,2238,171,,13,971,,69405,,182,,6804,,,248,298,38,,14692,1004,,14263
Assists,1119,358,,10,4,5,6,8,94,3,44,,,3,,15,,,39,,10,135,6,8,31,84,2,,,2,,10,48,44,,,11,,,,15,,3,21,2,49,46
Cards,29,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,2,,5,
Scoped Accuracy - Best in Game,,74,,83,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,
Self Healing,,4587,,,471,,241,,,7791,,,1448,,,,,,13657,,,,386,1779,3610,,290,,,,896,,67868,,,,4648,,,1484,,,,,,,1026
Self Healing - Most in Game,,413,,,276,760,,,,3767,,,,,,,,,4332,,,,199,1779,908,,290,,,,754,,8248,,,,1509,,,872,,,,,,,516
Enemies Slept,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,17833,,,350,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,3396
Damage Amplified - Most in Game,,2419,,,350,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,1389
Healing Amplified,,12593,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,718,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,58,,44,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,
Self Healing - Avg per 10 Min,,129,,,509,,497,,,1680,,,501,,,,,,2285,,,,646,2303,887,,642,,,,923,,5819,,,,1043,,,721,,,,,,,399
Healing Amplified - Avg per 10 Min,,354,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified - Avg per 10 Min,,501,,,378,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,1321
Enemies Slept - Avg per 10 Min,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,13,4,11,3,12,2,7,17,12,17,2,15,12,6,8,,,10,,11,14,4,4,16,13,3,9,,5,5,7,20,21,18,8,9,,6,6,9,2,2,16,3,24,7
All Damage Done - Most in Life,,5464,1232,4492,3064,5792,435,4894,15214,13320,4984,1069,7751,5008,2476,6624,610,,5850,1009,1854,8198,723,1447,8369,3234,1538,4544,,4804,1752,3138,8004,16698,9747,3436,7104,125,2832,1518,3290,847,1254,5023,3157,11714,3496
Weapon Accuracy - Best in Game,,66,29,61,33,28,,50,38,59,38,34,51,36,35,34,47,,45,25,39,42,34,26,56,43,,39,,45,26,,34,67,35,41,38,24,25,35,,43,48,69,50,51,33
Melee Final Blow - Most in Game,,1,,,,,,,,1,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1
Hero Damage Done - Most in Life,,4317,987,4090,2068,2955,435,3459,5654,6312,4211,672,4140,4278,2172,3521,610,,4598,784,1854,6338,723,1447,7445,3234,1464,4544,,4804,1290,3069,6377,7706,5795,3086,4533,125,2832,1221,2443,847,1129,4718,1415,7595,3496
Obj Contest Time - Most in Game,,44,12,19,27,14,49,49,134,136,60,10,9,22,15,78,,,144,,16,52,12,20,39,111,1,30,,54,3,89,92,145,24,9,14,,10,9,41,5,1,62,38,86,26
Obj Contest Time - Avg per 10 Min,,10,34,10,37,9,101,24,55,73,37,43,10,12,22,47,,,67,,18,19,22,25,44,46,3,58,,83,3,48,38,65,9,8,13,,10,9,27,7,2,39,103,49,10
Melee Final Blows - Avg per 10 Min,,0.14,,,,,,,0.46,0.43,0.42,,0.35,0.18,,1.41,,,0.33,,0.56,0.47,,,,1.78,,,,,,,2.31,0.93,0.4,0.93,0.45,,,,,,,0.72,,0.44,0.78
All Damage Done - Avg per 10 Min,,5990,7557,9545,7140,14669,2602,10995,13445,14350,9198,13370,11307,11391,7975,18020,4484,,10849,7787,6654,7072,3226,5353,12478,6619,6582,11583,,11679,10062,10834,10970,19451,14725,10905,11343,1559,10876,5295,10980,4109,6383,9046,10635,15249,9233
Eliminations per Life,,2.45,3.33,2.45,1.17,4.09,0.5,1.69,5.57,2.7,2.54,,3.53,2.11,1.16,2.5,0.25,,2.95,0.33,2.14,2.67,1.4,1.83,2.23,3.45,1.33,2.33,,1.5,2.38,2.07,3.95,4.42,2.8,2.58,1.87,,1.75,1.63,2.32,0.33,0.56,1.87,0.57,3.96,2.29
Win Percentage,,48,100,43,,100,,42,73,22,37,100,71,19,45,29,100,,59,100,24,45,55,,44,100,,,100,92,100,50,42,56,42,68,25,100,43,59,68,,,11,23,55,47
All Damage Done,,213278,4575,31169,6603,23633,1260,60354,145657,66568,88357,3076,32692,63029,17465,102439,848,,64833,1441,11811,75625,1931,4136,50770,26033,2972,8703,,7523,9765,65225,127945,356292,110234,46914,50568,125,13240,10896,38623,3008,9658,75270,8760,140019,23740
Obj Contest Time,,365,21,31,35,15,49,134,591,338,352,10,30,67,48,270,,,398,,32,200,13,20,177,180,1,43,,54,3,288,443,1191,70,34,59,,12,18,94,5,2,326,85,454,26
Weapon Accuracy,,54,26,44,28,25,,42,27,47,26,34,36,33,25,28,47,,38,25,39,32,28,26,36,38,,33,,30,24,,24,55,26,30,30,24,22,29,,43,37,56,45,40,30
Offensive Assists - Avg per 10 Min,,5.53,,,,,4.13,,,,,,,,,,,,,,,3.37,,6.47,7.13,,,1.33,,3.11,,1.49,3.69,2.4,,,,12.49,,,,,,,,2.83,6.61
Defensive Assists - Avg per 10 Min,,6.71,,,5.41,,12.39,,,,,,,,,,,,,,,14.49,10.02,9.06,3.2,25.93,8.86,,,,,,0.86,,,,2.69,,,,,,,,,2.94,19.06
Card,,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,1,,1,,,,,,1
Critical Hit Damage,,,456,,,,,,,,,,,,,,,,,,,,,,15983,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,289,,,,,,,,,,,,,,,,,,,,,,5559,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kill,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,23.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,754,,,,,,,,,,,,,,,,,,,,,,3928,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Blow - Most in Game,,,1,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,
Critical Hits - Most in Game,,,3,18,8,10,,15,489,9,128,14,48,,10,,,,157,,,24,37,25,327,10,,26,,153,81,,287,,128,78,33,3,5,85,18,,11,,19,,15
Critical Hits - Most in Life,,,3,10,5,10,,6,265,5,75,7,22,,7,,,,50,,,14,21,7,180,5,,26,,125,29,,174,,58,26,21,3,3,28,,,8,,9,,8
Critical Hits - Avg per 10 Min,,,6.61,17.15,15.14,19.24,,12.02,388,5.6,101,60.86,48.07,21.69,15.07,66.14,,,85.01,,,14.49,98.58,32.36,238,8.14,,59.89,,253,117,,183,,85.76,69.5,40.38,37.48,6.57,84.57,18.48,,21.81,,50.99,,13.22
Knockback Kills,,,6,7,,,3,,79,13,105,,,,,,,,,,,,,8,,,,,,,,5,18,,,,,,,,,,,17,3,,
Knockback Kills - Most in Game,,,3,3,,,3,,13,4,16,,,,,,,,,,,,,8,,,,,,,,,8,,,,,,,,,,,4,3,,
Knockback Kills - Avg per 10 Min,,,9.91,2.14,,,6.19,,7.29,2.8,10.93,,,,,,,,,,,,,10.36,,,,,,,,0.83,1.54,,,,,,,,,,,2.04,3.64,,
Multikill,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
Critical Hits,,,4,56,14,31,,66,4201,26,970,14,139,120,33,376,,,508,,,155,59,25,967,32,,45,,163,114,,2131,,642,299,180,3,8,174,,,33,,42,,34
Critical Hit Accuracy,,,8,16,8,4,,11,10,9,11,21,15,12,9,10,,,10,,,14,15,15,13,9,,9,,18,9,,17,,9,11,11,30,6,8,,,15,,7,,18
Scoped Critical Hits,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Scoped Critical Hits - Most in Game,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Dynamite Kills,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Scoped Critical Hit - Most in Game,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,4,,,,
Long Range Final Blows - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,
Long Range Final Blows - Avg per 10 Min,,,,1.22,,,,0.55,,,,4.35,,,,,,,,,,,,,0.25,,,,,,,,,,,1.63,0.45,,,,,,2.64,,,,
Scoped Critical Hit Accuracy,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,
Dynamite Kills - Avg per 10 Min,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,,,,
Coach Gun Kills - Avg per 10 Min,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Most in Game,,,,2,,,,2,3,2,4,,5,,,,,,3,,,5,,3,,,,,,,,,8,,2,,2,,,,,,2,,,,
Critical Hit Kills - Avg per 10 Min,,,,0.92,,0.62,,1.46,1.2,1.08,1.04,,3.46,1.81,0.91,0.88,,,1.0,,,2.06,,3.88,0.74,0.51,,1.33,,,,,3.6,,1.07,0.93,0.9,,,,,,3.3,,,,0.78
Critical Hit Kills,,,,3,,,,8,13,5,10,,10,10,2,5,,,6,,,22,,3,3,2,,,,,,,42,,8,4,4,,,,,,5,,,,2
Healing Accuracy - Best in Game,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Most in Game,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Avg per 10 Min,,,,,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Blow,,,,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
Artillery Kills,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
