,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Objective Kills - Most in Game,22,16,5,4,8,4,10,7,4,22,6,10,4,2,6,9,4,5,7,4,14,11,10,,2,7,8,10,5,3,,4,10,7,5,13,3,7,10,10,9,,6,7,6,6,,10
Objective Time - Most in Game,187,140,69,25,72,15,73,60,126,179,54,46,40,23,30,41,27,58,79,50,47,100,72,5,83,11,76,32,13,141,,110,102,36,14,54,28,40,95,106,97,9,34,48,66,65,3,56
Multikill - Best,4,3,3,,,3,,,3,4,,,,,,,,,,,3,3,3,,,,4,3,,,,3,,,,,,,3,,3,,,,,,,3
Solo Kills - Most in Game,31,6,3,4,4,,4,4,2,8,5,4,9,,10,4,5,3,2,,10,2,3,,,,8,,3,,,2,2,2,,10,8,2,3,6,5,2,7,,5,,,9
Time Spent on Fire - Most in Game,92,70,44,23,46,26,72,52,58,91,44,38,36,26,74,40,45,69,44,46,92,50,56,26,74,25,74,36,34,41,,74,59,24,36,35,39,56,43,48,40,20,67,22,45,35,15,71
Melee Final Blows - Most in Game,8,3,,,,,,,2,8,,,2,3,,,4,,,,2,,3,,2,,,,,,,,,4,,,,,,4,,,,,4,,,3
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,32,24,10,11,8,10,10,20,14,22,7,10,9,10,13,9,16,11,9,12,19,10,13,10,6,9,15,32,7,10,,12,12,17,4,11,8,7,16,18,12,9,19,5,10,6,5,23
Hero Damage Done - Most in Game,16090,13754,9334,7057,9428,6473,5819,6059,9822,16090,8347,15540,7806,7497,10622,7215,4912,9541,9057,7952,10476,8128,7137,5593,1992,5887,9408,9507,4610,5567,,7319,11123,7871,7158,8926,8318,13282,10735,10162,12164,5160,7024,4686,10262,6632,2465,12827
Barrier Damage Done - Most in Game,5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,33,27,,4,7,,21,3,10,12,4,,,7,4,12,6,8,8,7,20,23,15,7,33,32,13,4,2,3,,2,9,2,,,4,7,,,5,3,8,,4,4,,28
Objective Contest Time - Most in Game,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,8,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Hero Damage Done - Avg per 10 Min,7904,6922,8871,10616,8189,12153,5460,10189,10651,11109,9431,11984,8448,7312,9765,6225,4126,11452,9840,7284,6574,4101,6263,14105,926,5874,8397,14432,9015,13941,,10287,10292,14083,8521,14022,8129,10544,12469,7596,10337,9289,6657,7920,9078,6746,8650,8318
Deaths - Avg per 10 Min,5.92,4.77,6.46,6.99,6.07,5.44,4.97,4.75,4.79,5.45,8.16,5.72,7.94,4.88,7.24,5.5,6.09,5.65,5.57,4.29,4.97,4.86,5.3,5.66,4.7,4.99,6.17,3.04,9.12,7.51,,9.49,6.42,,9.45,5.65,7.48,7.32,5.2,7.03,9.09,10.8,7.61,9.6,4.41,4.44,12.58,6.11
Assists - Avg per 10 min,8.73,13.09,,2.0,6.36,1.09,18.89,3.56,9.58,5.45,2.91,0.52,0.26,6.83,4.16,8.14,4.49,9.89,6.08,8.11,11.09,15.8,10.2,15.1,20.91,31.93,9.95,6.07,1.66,7.51,,1.81,6.7,3.58,0.95,1.41,4.99,5.18,0.35,0.16,2.4,5.4,2.69,1.07,2.57,3.56,2.52,16.85
Eliminations - Avg per 10 Min,20.1,19.84,17.95,19.47,16.19,27.22,18.3,26.51,26.64,29.6,24.48,16.12,17.73,29.26,22.7,16.06,15.71,34.63,17.22,16.69,19.7,11.55,17.44,26.43,4.33,23.95,19.91,48.58,19.07,27.55,,15.81,21.5,30.42,15.13,38.86,24.1,18.6,30.53,22.04,22.8,19.8,17.24,20.27,18.38,12.45,15.1,21.47
Healing Done - Avg per 10 Min,3716,5724,301,,6491,,8895,,219,532,273,,4.82,,11.76,8451,5042,2880,,7978,6649,9288,4427,1308,8448,9926,8611,,,894,,,5696,,,1300,207,366,,,32.44,,,,177,7156,,5558
Final Blows - Avg per 10 Min,10.56,8.12,8.61,9.99,8.67,15.24,8.15,16.22,14.67,18.07,13.41,7.28,10.58,10.73,17.05,7.7,8.34,21.91,8.61,6.2,12.81,2.92,5.91,7.55,2.6,3.99,8.97,19.73,10.78,12.52,,9.04,9.77,14.31,9.45,26.85,18.28,8.84,12.83,11.72,14.23,12.6,12.39,13.87,11.39,3.11,10.07,11.33
Time Spent on Fire - Avg per 10 Min,133,122,146,80,149,181,157,153,210,190,135,121,101,112,137,103,78,192,121,107,154,124,91,139,160,116,134,261,59,262,,145,149,158,79,196,151,133,212,95,116,116,97,100,128,119,39,145
Objective Contest Time - Avg per 10 Min,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.72,2.01,2.15,2.0,2.02,1.09,1.39,3.17,1.5,5.13,3.5,2.08,4.76,,5.25,2.2,2.24,2.12,1.01,0.48,5.16,0.49,1.53,,0.37,,2.24,,4.15,2.5,,1.81,1.4,3.58,,9.89,6.23,1.52,2.08,2.19,3.09,3.6,4.4,,4.04,0.44,,3.58
Objective Kills - Avg per 10 Min,5.54,6.81,4.31,3.0,5.49,8.71,6.56,7.91,3.59,7.75,5.83,8.32,3.44,1.95,5.35,4.18,2.24,7.77,5.07,4.29,6.12,3.4,4.89,3.78,0.37,6.98,6.17,15.18,6.63,7.51,,4.07,6.7,12.52,5.67,16.96,4.57,3.96,7.63,7.19,4.11,1.8,2.76,7.47,5.88,3.56,,6.49
Objective Time - Avg per 10 Min,42,36,57,20,32,16,66,39,97,76,45,35,38,22,19,26,19,86,60,49,25,43,51,15,29,11,45,48,13,353,,96,94,65,18,78,25,22,66,59,41,16,12,64,72,51,8,26
Time Played,125325,22376,836,1202,2076,551,3017,1516,2005,9366,1029,1154,2268,615,6052,2727,1871,849,1185,1258,3138,4935,5884,318,4850,601,4280,395,723,240,29,1328,2149,335,635,849,1444,1968,1730,3838,3500,333,8039,562,1633,1350,238,8048
Games Played,244,45,2,2,4,1,7,3,3,16,2,2,4,1,14,5,4,2,3,3,5,9,11,0,10,,8,1,1,0,0,3,5,,1,1,3,3,5,7,6,0,17,1,3,2,0,13
Games Won,142,29,,1,2,0,5,2,2,11,,0,2,,9,2,2,1,3,3,3,4,5,0,6,,3,,,,,1,1,,0,1,1,1,4,4,5,0,9,1,1,,0,11
Games Lost,102,16,2,1,1,1,2,1,1,5,1,2,3,1,4,3,2,1,0,0,2,5,6,0,4,0,5,1,1,0,0,2,4,0,1,0,2,2,,3,2,0,9,0,2,1,0,2
Hero Wins,142,29,,1,2,0,5,2,2,11,,0,2,,9,2,2,1,3,3,3,4,5,0,6,,3,,,,,1,1,,0,1,1,1,4,4,5,0,9,1,1,,0,11
Environmental Kills,24,,,,,,,,,6,,,,,,,,,,,,,13,,,,,,2,,,,3,,,,,,,,,,,,,,,
Multikills,20,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Objective Time,8854,1352,79,40,112,15,332,99,324,1193,78,67,144,23,189,117,58,122,119,104,131,355,501,8,233,11,319,32,16,141,,213,336,36,19,110,61,71,189,376,238,9,160,60,197,115,3,347
Eliminations,4198,740,25,39,56,25,92,67,89,462,42,31,67,30,229,73,49,49,34,35,103,95,171,14,35,24,142,32,23,11,,35,77,17,16,55,58,61,88,141,133,11,231,19,50,28,6,288
Hero Damage Done,1650882,258133,12358,21260,28328,11161,27455,25752,35583,173400,16179,23049,31929,7497,98501,28291,12870,16204,19426,15272,34378,33731,61423,7470,7485,5887,59895,9507,10870,5567,,22769,36868,7871,9013,19848,19563,34587,35944,48594,60298,5160,89203,7424,24703,15176,3437,111564
Final Blows,2206,303,12,20,30,14,41,41,49,282,23,14,40,11,172,35,26,31,17,13,67,24,58,4,21,4,64,13,13,5,,20,35,8,10,38,44,29,37,75,83,7,166,13,31,7,4,152
Deaths,1237,178,9,14,21,5,25,12,16,85,14,11,30,5,73,25,19,8,11,9,26,40,52,3,38,5,44,2,11,3,,21,23,,10,8,18,24,15,45,53,6,102,9,12,10,5,82
Damage Done,1650882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1157,254,6,6,19,8,33,20,12,121,10,16,13,2,54,19,7,11,10,9,32,28,48,2,3,7,44,10,8,3,,9,24,7,6,24,11,13,22,46,24,,37,7,16,8,,87
Time Spent on Fire,27751,4555,204,160,515,166,787,386,701,2958,232,233,381,115,1380,470,243,272,238,225,803,1019,889,74,1295,116,954,172,71,105,,321,535,88,83,278,363,435,613,610,679,64,1299,94,348,269,16,1938
Melee Final Blows,164,21,,,,,,,2,37,,,4,3,2,2,11,,,,4,,11,,7,,,,,,,,4,4,,,,,,14,,,4,,8,,,18
Objective Contest Time,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,569,75,3,4,7,,7,8,5,80,6,4,18,,53,10,7,3,2,,27,4,15,,3,,16,,5,,,4,5,2,,14,15,5,6,14,18,2,59,,11,,,48
of Match on Fire,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,86,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,
Defensive Assists,1316,389,,,31,,113,,,,,,,,,,16,,,,64,137,66,2,126,34,91,,,,,,,,,5,,,,,,,,,,,,242
Offensive Assists,729,295,,,,,41,,,,,,,,,7,2,,12,,22,,77,8,100,,,4,,3,,4,24,2,,,12,,,,,,,,,,,114
Healing Done,776171,213449,419,,22453,,44728,,733,8299,468,,18,,119,38404,15727,4075,,16727,34771,76396,43415,693,68285,9948,61421,,,357,,,20405,,,1841,498,1200,,,189,,,,481,16099,,74555
Assists,1823,488,,4,22,,95,9,32,85,5,,,7,42,37,14,14,12,17,58,130,100,8,169,32,71,4,2,3,,4,24,2,,2,12,17,,,14,3,36,,7,8,,226
Scoped Accuracy - Best in Game,,78,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,
Self Healing,,11047,,,2711,,7547,,,,,,,,,3246,,3807,,,,5840,12613,614,5437,,15801,,,,,,20405,,,1682,,,,7359,,,,,,,,5206
Self Healing - Most in Game,,731,,,802,,,,,,,,,,,1023,,2397,,,,1075,1661,404,925,,3413,,,,,,4740,,,866,,,,1305,,,,,,,,688
Enemies Slept,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,15328,,,2586,,,,,,,,,,,,,,,1222,,,,,9931,,,,,,,,,,,,,,,,,,,,,,,17758
Damage Amplified - Most in Game,,804,,,1134,,,,,,,,,,,,,,,582,,,,,1542,,,,,,,,,,,,,,,,,,,,,,,2174
Healing Amplified,,12718,,,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,
Healing Amplified - Most in Game,,779,,,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,,
Scoped Accuracy,,62,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
Self Healing - Avg per 10 Min,,296,,,784,,1501,,,,,,,,,714,,2691,,,,710,1286,1160,673,,2215,,,,,,5696,,,1188,,,,1150,,,,,,,,388
Healing Amplified - Avg per 10 Min,,341,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,
Damage Amplified - Avg per 10 Min,,411,,,748,,,,,,,,,,,,,,,583,,,,,1229,,,,,,,,,,,,,,,,,,,,,,,1324
Enemies Slept - Avg per 10 Min,,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,24,10,11,8,10,10,20,14,22,7,10,9,10,13,9,16,11,9,12,19,10,13,10,6,9,15,32,7,10,,12,12,17,4,11,8,7,16,18,12,9,19,5,10,6,5,23
All Damage Done - Most in Life,,7747,5229,4968,4668,4290,3495,6969,6450,9226,4273,6565,3727,6487,6838,3865,5004,4584,4206,5384,4777,5457,4124,7347,1342,2518,7628,10624,3574,5619,,4095,5957,7871,2742,4559,2719,5236,6169,5829,5280,3694,5978,1955,5251,4292,1989,6627
Weapon Accuracy - Best in Game,,65,41,65,68,37,,60,40,48,30,43,53,28,53,63,40,45,63,51,57,40,54,43,52,31,,46,67,46,,,44,51,40,56,46,53,51,59,,73,75,86,100,55,50,100
Hero Damage Done - Most in Life,,7392,3422,4731,3289,3615,3120,4569,5887,8689,2533,5935,3030,3019,5790,3728,4912,4584,3737,4180,4357,5216,3768,5593,1302,2518,6760,9232,3333,4379,,3889,4925,7871,2742,4369,2123,5065,4791,5608,4900,3176,5178,1727,5184,2759,1745,6427
Obj Contest Time - Most in Game,,97,69,12,32,15,73,12,86,147,22,46,14,23,30,34,11,28,26,9,47,22,58,5,61,11,48,27,12,65,,25,79,36,7,8,7,19,15,39,97,7,4,47,66,65,3,29
Obj Contest Time - Avg per 10 Min,,20,57,7,12,16,46,13,49,54,19,33,12,22,9,15,12,32,15,9,21,10,37,10,16,11,20,41,10,162,,38,64,65,7,13,8,10,13,30,34,12,2,52,67,32,8,13
Melee Final Blows - Avg per 10 Min,,0.56,,,0.29,,,,0.6,2.37,,0.52,1.06,2.93,0.2,0.44,3.53,0.71,,,0.76,,1.12,1.89,0.87,,0.14,,,,,,1.12,7.16,,0.71,0.42,,,2.19,,,0.3,1.07,2.94,,,1.34
All Damage Done - Avg per 10 Min,,7581,10566,11700,9699,15267,5931,13665,12764,12491,11630,14232,10874,14349,10882,7205,4760,12020,11436,9369,7366,4612,7183,17851,978,6163,9010,16545,10905,19425,,11659,12112,14083,8739,14647,8903,11604,15822,8327,11401,10672,7360,8521,10072,11065,10287,9075
Eliminations per Life,,4.16,2.78,2.79,2.67,5,3.68,5.58,5.56,5.44,3,2.82,2.23,6,3.14,2.92,2.58,6.13,3.09,3.89,3.96,2.38,3.29,4.67,0.92,4.8,3.23,16,2.09,3.67,,1.67,3.35,,1.6,6.88,3.22,2.54,5.87,3.13,2.51,1.83,2.26,2.11,4.17,2.8,1.2,3.51
Win Percentage,,64,,54,61,41,76,71,71,70,56,1,39,,68,47,46,63,95,100,60,48,43,61,62,100,39,,,,,45,24,100,6,96,40,29,81,57,74,22,50,68,33,42,64,81
All Damage Done,,282732,14718,23431,33554,14020,29822,34536,42643,194976,19951,27372,41098,14713,109765,32744,14846,17009,22577,19644,38524,37936,70438,9454,7905,6177,64269,10899,13150,7756,,25805,43387,7871,9244,20732,21426,38064,45613,53273,66503,5928,98618,7988,27406,24893,4088,121720
Obj Contest Time,,755,79,14,41,15,234,32,163,849,33,63,45,23,89,69,37,46,31,19,111,83,363,5,126,11,144,27,12,65,,84,228,36,8,19,20,32,39,190,196,7,24,49,181,73,3,179
Weapon Accuracy,,52,30,49,43,26,,52,34,30,30,41,35,28,38,54,29,42,35,46,43,35,36,41,35,31,,46,62,46,,,33,51,28,46,39,41,48,38,,73,42,73,43,46,27,34
Offensive Assists - Avg per 10 Min,,7.91,,,0.29,,8.15,,,,,,,,,1.54,0.64,,6.08,,4.21,,7.85,15.1,12.37,,,6.07,,7.51,,1.81,6.7,3.58,,,4.99,,,,,,,,,,2.52,8.5
Defensive Assists - Avg per 10 Min,,10.43,,,8.96,,22.47,,,,,,,,,,5.13,,,,12.24,16.66,6.73,3.78,15.59,33.93,12.76,,,,,,,,,3.53,,,,,,,,,,,,18.04
Critical Hit Damage,,,2055,,,,,,,,,,,,,,,,,,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2055,,,,,,,,,,,,,,,,,,,,,2230,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kill,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,25.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,1475,,,,,,,,,,,,,,,,,,,,,6230,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,7,24,98,17,,19,422,183,44,,23,,21,29,136,109,,,43,213,39,70,16,16,,47,,42,,,352,,90,72,78,,34,284,39,,35,,143,,,32
Critical Hits - Most in Life,,,3,17,25,11,,17,321,94,13,,13,,11,15,136,61,,,18,202,18,70,13,6,,46,,32,,,105,,36,29,29,,22,135,,,21,,91,,,15
Critical Hits - Avg per 10 Min,,,5.02,30.96,60.71,44.65,,18.99,475,118,39.64,,29.9,,17.15,18.7,124,164,,,25.81,122,24.58,187,8.04,15.96,,71.35,,105,,,266,,107,86.89,84.35,,36.77,191,26.74,,22.69,,141,,,15.81
Knockback Kills,,,13,4,,,77,,35,310,,,,,,19,,,21,,,,122,,,,,,2,,,4,13,,,,,,,,,,,3,46,,,
Knockback Kills - Most in Game,,,13,4,,,23,,11,31,,,,,,10,,,12,,,,16,,,,,,2,,,3,4,,,,,,,,,,,3,17,,,
Knockback Kills - Avg per 10 Min,,,9.33,2.0,,,15.31,,10.48,19.86,,,,,,4.18,,,10.64,,,,12.44,,,,,,1.66,,,1.81,3.63,,,,,,,,,,,3.2,16.91,,,
Multikill,,,1,,,1,,,1,,,,,,,,,,,,1,1,1,,,,1,1,,,,1,,,,,,,1,,,,,,,,,1
Critical Hits,,,7,62,210,41,,48,1587,1844,68,,113,,173,85,388,232,,,135,1006,241,99,65,16,,47,,42,,,954,,113,123,203,,106,1223,,,304,,383,,,212
Critical Hit Accuracy,,,4,24,18,7,,11,11,12,10,,16,,19,19,10,18,,,25,18,12,9,20,16,,7,,7,,,24,,15,15,14,,8,13,,,20,,16,,,18
Scoped Critical Hits,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,
Scoped Critical Hits - Most in Game,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
Dynamite Kills,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,
Long Range Final Blows,,,,6,,,,,,,,,,,19,2,,,,,,,,,,,,,2,,,,,,2,5,,,,,,,90,,,,,
Long Range Final Blows - Most in Game,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,8,,,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,,,,,
Long Range Final Blows - Avg per 10 Min,,,,3.0,,,,0.4,,,0.58,,,,1.88,0.44,,,,,,,,,,,,,1.66,,,,,,1.89,3.53,,,,,,,6.72,,,,,
Scoped Critical Hit Accuracy,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,
Dynamite Kills - Avg per 10 Min,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,,23.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14,,,,,
Coach Gun Kills - Avg per 10 Min,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Most in Game,,,,2,7,,,6,3,6,,,2,,13,2,3,4,,,10,2,4,,2,,,,,,,,4,,,5,3,,2,7,,,14,,2,,,8
Critical Hit Kills - Avg per 10 Min,,,,2.5,3.47,2.18,,3.96,2.99,3.01,0.58,1.56,1.32,,8.23,1.32,1.6,4.95,,,6.12,0.97,1.02,1.89,0.74,,,1.52,,,,,3.07,,1.89,6.36,3.32,,2.08,2.5,,,9.18,,1.84,,,2.83
Critical Hit Kills,,,,5,12,2,,10,10,47,,3,5,,83,6,5,7,,,32,8,10,,6,,,,,,,,11,,2,9,8,,6,16,,,123,,5,,,38
Amplification Matrix Assist,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy - Best in Game,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assist - Best in Game,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Most in Game,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
