,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Objective Kills,28473,1264,18,1112,849,271,261,2114,289,57,420,613,124,93,1626,162,1046,234,53,1367,698,156,1256,187,541,161,324,211,90,842,486,1103,496,554,434,1370,981,17,1220,871,220,215,346,273,15,31,844,474,244,84,414,1342
Time Spent on Fire,381321,16927,389,15806,9564,1575,3145,26548,7527,1558,6123,6335,2311,1445,22415,3537,14923,4319,1507,19533,6534,2385,17426,3635,2733,3043,2284,21805,2220,3057,3586,14910,7791,2323,8699,22481,15082,647,12751,9778,1954,713,3897,1327,318,656,12582,7856,2871,1677,3886,14929
Melee Final Blows,2417,67,2,27,35,5,,72,63,7,110,35,8,7,289,16,25,19,19,177,15,11,86,18,74,19,16,101,5,29,17,18,26,14,,237,98,,58,55,31,3,11,52,,10,56,81,66,,15,211
Objective Contest Time,167452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,8324,173,3,342,141,50,56,770,101,6,99,210,19,18,637,36,504,78,17,204,366,8,294,25,74,21,76,98,10,184,40,523,68,211,108,257,120,10,282,308,109,34,111,89,11,20,828,109,86,6,41,333
Multikills,670,10,,19,6,6,2,45,30,5,9,15,10,3,51,8,13,6,,53,23,,7,,4,4,17,4,,12,13,36,18,36,25,25,21,,17,30,2,10,8,7,,3,11,8,2,3,21,7
of Match on Fire,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,1672,,,,,,,,,,,,,,,,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,,
Defensive Assists,24388,3038,,,2424,,1249,,,,,,,,,,,,158,,,,4678,950,740,177,,4095,354,1580,,,,,,32,,,,361,,,,,,,,,,,362,4190
Offensive Assists,13902,2235,,,234,,495,,,,,,,,,,,88,60,,351,,1462,7,782,172,221,2986,,,277,,214,,160,858,374,,,,279,,,,,,,,,,132,2515
Healing Done,14236982,2034498,,,1136921,2891,463805,3368,16282,24379,21173,12934,13358,779,9142,19251,2139,372619,114715,389344,,207889,2243573,535581,617038,41949,45086,1927719,171729,809153,836,,9863,106509,,868093,,451,,178229,32474,732,,139,377,150,,14513,9032,150207,,1382735
Assists,36178,3946,,527,2185,48,1163,335,514,8,343,57,,9,30,111,1053,345,181,1405,351,345,4572,897,1078,232,221,4796,326,1343,277,570,214,,163,872,380,,326,250,285,128,22,,15,12,854,283,178,225,399,4304
Cards,89,,,,,,2,3,,,,19,,,3,4,3,,3,,,,7,4,4,,,5,,,,2,,,2,3,3,2,,,,,,,,,3,,,,,
Scoped Accuracy - Best in Game,,100,,100,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Self Healing,,66350,,,141587,,65460,,,24379,,,9918,,,,,44815,,377769,,,,33642,144444,31512,44488,226478,,152569,,,,106329,,1111392,,,,116966,,,,41728,,,,,,,,38218
Self Healing - Most in Game,,745,,,1594,1349,,,,2508,,,,,,,,1535,,4867,,,,916,2101,1922,1809,2184,,2534,,,,3348,,8519,,,,1775,,,,1746,,,,,,,,543
Enemies Slept,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,119708,,,94370,,,,,,,,,,,,,,,,,9455,,,,,,297035,,,,,,,,,,,,,,,,,,,,,,,,314462
Damage Amplified - Most in Game,,981,,,1993,,,,,,,,,,,,,,,,,524,,,,,,3809,,,,,,,,,,,,,,,,,,,,,,,,3190
Healing Amplified,,124182,,,31389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,,,,,,,,,,,,,,10520,,
Healing Amplified - Most in Game,,1412,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,,
Scoped Accuracy,,48,,38,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,
Self Healing - Avg per 10 Min,,204,,,882,,1016,,,2261,,,436,,,,,801,,2067,,,,524,1356,1349,1096,873,,1361,,,,1474,,5152,,,,815,,,,769,,,,,,,,160
Healing Amplified - Avg per 10 Min,,383,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,,,,,,,,,,,,,,489,,
Damage Amplified - Avg per 10 Min,,369,,,588,,,,,,,,,,,,,,,,,303,,,,,,1145,,,,,,,,,,,,,,,,,,,,,,,,1318
Enemies Slept - Avg per 10 Min,,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,18,8,20,15,14,17,21,27,19,16,17,18,16,21,20,16,19,11,24,17,13,23,13,13,24,18,9,12,28,24,26,19,21,20,28,22,9,24,20,22,16,18,15,8,19,17,33,24,11,23,18
All Damage Done - Most in Life,,6641,3113,13421,6277,11974,4394,8707,13319,12851,6069,8648,10915,11633,9906,17181,7769,5336,4015,10549,7625,4584,6078,4298,3421,11587,31096,2275,4072,8413,13429,10350,12794,9122,7791,15949,22284,5009,12525,9746,5284,4934,7304,6372,6837,4934,5943,8802,6654,5039,11209,10060
Weapon Accuracy - Best in Game,,100,30,80,67,47,,100,47,50,53,46,45,69,100,54,59,71,41,87,67,55,100,88,48,51,83,100,46,,55,83,98,64,,50,100,31,78,51,54,100,51,54,,71,100,100,100,48,75,100
Hero Damage Done - Most in Life,,4533,3113,10274,5052,5250,3854,6945,8733,9946,4963,6321,10168,8102,8133,6849,5971,5242,3016,7921,6831,3251,5332,2968,2929,9378,4412,1681,2811,7251,10159,9127,8828,8033,7206,13907,11900,3496,8745,7071,5155,3912,6800,4426,2794,4599,5070,7405,5780,4839,8437,6996
Environmental Kill - Most in Game,,1,,,,,,1,1,1,,1,,,1,1,,1,,1,1,,,,,1,,,,,,,1,,,,,,,1,1,,,,,1,,1,,,,1
Obj Contest Time - Most in Game,,171,136,101,114,120,186,152,185,89,214,134,34,40,158,130,144,94,39,213,91,80,174,157,205,141,192,127,74,134,189,60,221,103,271,203,218,22,165,123,51,85,112,100,40,37,67,179,132,25,214,188
Obj Contest Time - Avg per 10 Min,,16,56,18,26,29,42,24,54,37,56,25,13,12,34,48,14,17,14,60,21,18,30,19,59,57,52,20,27,39,64,15,64,39,57,50,57,9,26,21,21,30,24,33,17,22,5,58,64,8,59,24
Melee Final Blows - Avg per 10 Min,,0.21,0.43,0.13,0.22,0.13,,0.21,0.97,0.65,1.3,0.31,0.35,0.35,0.93,0.57,0.12,0.34,0.97,0.97,0.13,0.35,0.28,0.28,0.69,0.81,0.39,0.39,0.27,0.26,0.27,0.09,0.37,0.19,,1.1,0.74,,0.31,0.38,0.67,0.13,0.18,0.96,,0.91,0.2,1.01,1.52,0.05,0.26,0.88
All Damage Done - Avg per 10 Min,,4220,8845,10492,6007,13573,4116,10096,11665,14470,8348,9802,13320,10894,8274,22953,8654,6334,4726,11654,10341,5121,4253,2725,4440,12250,39159,800,6968,6133,12083,10804,12815,9667,10036,11480,12754,13354,11247,10443,6010,8996,11461,6545,8977,7394,6455,9674,8436,6020,11139,6801
Eliminations per Life,,1.99,2.19,2.6,2.46,2.36,1.95,2.56,5.32,3.43,2.33,2.85,2.9,2.68,2.69,4.51,2.39,3.01,2.48,4.08,2.46,3.27,2.1,1.63,1.82,3.32,2.82,0.66,2.49,3.72,3,3.21,3.93,2.88,2.97,3.59,4.52,2.46,2.93,3.02,2.82,2.84,2.63,2.1,1.46,1.89,2.03,3.53,3.64,2.42,3.22,2.23
Win Percentage,,48,37,50,54,59,50,54,48,45,45,57,56,52,55,57,50,57,27,60,52,52,52,43,46,48,48,43,67,60,48,59,65,51,58,49,57,46,46,53,46,66,56,40,30,32,43,50,46,55,43,59
All Damage Done,,1369839,41405,2252993,964009,530045,265317,3543516,758256,156038,705381,1106680,303050,217103,2569737,645521,1866747,354469,92400,2130431,1197852,159811,1318783,174835,472797,286172,1590211,207558,127685,687474,753271,2210597,907682,697368,889690,2476436,1684922,76185,2131348,1498280,278886,214226,705015,355337,51644,81159,1764660,772226,365572,129480,643128,1622917
Obj Contest Time,,5337,263,3934,4117,1127,2679,8314,3482,401,4745,2856,289,235,10528,1352,3034,945,279,10963,2425,559,9312,1237,6278,1339,2098,5261,488,4339,4017,2977,4546,2844,5076,10890,7469,50,5014,3023,955,723,1481,1766,100,244,1492,4600,2777,175,3401,5614
Environmental Kills - Avg per 10 Min,,0.01,,0.03,,,0.09,0.01,0.06,0.09,0.38,0.01,,,0.0,0.11,,0.02,0.46,0.05,0.03,,,,0.36,0.04,,,,,0.13,0.43,0.01,,0.2,0.51,0.05,,,0.01,0.02,,,,,0.09,,0.06,0.12,,,0.0
Weapon Accuracy,,33,26,37,29,24,,40,28,39,27,24,35,26,26,30,25,45,28,37,25,32,29,23,25,33,51,28,32,,34,42,28,27,,25,51,24,27,32,30,34,26,29,,46,34,47,31,31,41,26
Offensive Assists - Avg per 10 Min,,6.88,,,1.46,,7.68,,,,,,,,,,,1.57,3.07,,3.03,,4.72,0.11,7.34,7.36,5.44,11.51,,,4.44,,3.02,,1.8,3.98,2.83,,,,6.01,,,,,,,,,,2.29,10.54
Defensive Assists - Avg per 10 Min,,9.36,,,15.11,,19.38,,,,,,,,,,,,8.08,,,,15.09,14.81,6.95,7.58,,15.78,19.32,14.09,,,,,,0.15,,,,2.52,,,,,,,,,,,6.27,17.56
Card,,1,,1,1,,,,1,1,,,1,,,,,1,,1,1,1,,,,,,,1,,,,1,,,,,,1,,,,,1,,,,1,,1,1,
Critical Hit Damage,,,763,,,,,,,,,,,,,,,,,,,,,,,83431,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,441,,,,,,,,,,,,,,,,,,,,,,,5322,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,163,,,,,,,,,,,,,,,,,,,,,,,3571,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,8,35,65,25,,26,698,14,149,68,56,,50,,23,25,204,276,,113,46,95,32,358,,35,16,,156,,257,221,,330,,112,125,67,106,,41,149,19,,54,,130,,,25
Critical Hits - Most in Life,,,4,16,24,11,,13,473,7,86,38,55,,21,,11,18,129,113,,95,24,71,13,202,,20,7,,73,,116,153,,194,,53,85,44,76,,22,79,,,21,,98,,,16
Critical Hits - Avg per 10 Min,,,2.56,14.64,20.32,15.42,,10.47,341,6.12,76.09,29.11,38.02,3.11,20.42,31.04,9.63,13.37,120,65.1,,14.96,13.05,46.17,14.66,211,,5.7,8.19,,33.75,,112,148,,139,,89.75,33.89,34.0,60.25,,19.38,94.56,13.91,,12.22,,90.11,,,7.99
Knockback Kills,,,3,527,,,558,,545,75,808,,,,,,,158,37,,733,,,,910,,,,,,,520,,,169,674,,,,,,,,,,,,231,537,,,
Knockback Kills - Most in Game,,,2,9,,,18,,18,11,23,,,,,,,7,7,,17,,,,22,,,,,,,7,,,8,9,,,,,,,,,,,,8,30,,,
Knockback Kills - Avg per 10 Min,,,0.64,2.45,,,8.66,,8.38,6.95,9.56,,,,,,,2.82,1.89,,6.33,,,,8.54,,,,,,,2.54,,,1.91,3.12,,,,,,,,,,,,2.89,12.39,,,
Multikill,,,1,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits,,,12,3144,3261,602,,3675,22192,66,6429,3287,865,62,6342,873,2077,748,2353,11901,,467,4046,2962,1561,4926,,1479,150,,2104,,7917,10652,,29958,,512,6423,4878,2796,,1192,5134,,,3341,,3905,,,1906
