,all-heroes,ana,baptiste,bastion,brigitte,cassidy,dva,doomfist,emre,freja,genji,hanzo,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Objective Kills - Most in Game,19,9,12,,9,5,2,8,5,,,13,15,4,,5,,6,,7,11,12,,4,,15,5,8,11,9,3,4,11,,,9,17,6,11
Objective Time - Most in Game,248,167,47,4,131,48,37,75,38,,42,57,233,72,15,19,55,135,13,37,160,161,4,23,0,141,56,248,130,103,22,8,21,,,118,160,123,103
Multikill - Best,3,,3,,3,,,,3,,,3,,,,,,,,,3,,,,,3,,,,3,,,3,,,3,3,,
Solo Kills - Most in Game,22,2,,,,2,,4,5,,2,8,2,2,,,,,,2,3,,,,,5,,,2,2,,,2,,2,3,3,,
Time Spent on Fire - Most in Game,58,38,,,,15,,58,32,,,27,,,,,17,,,41,54,,,,,44,,,,39,,,15,,,18,15,,26
Melee Final Blows - Most in Game,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3
Environmental Kills - Most in Game,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,17,10,10,4,16,5,4,17,6,,2,9,11,4,2,8,2,5,2,9,15,14,6,7,2,11,9,14,13,9,3,4,9,,5,12,11,10,15
Hero Damage Done - Most in Game,13446,4771,3220,2535,5958,3350,2038,7307,6007,260,5106,8627,7040,5433,1732,2122,1685,3075,3016,3953,6753,5521,1982,4618,482,8002,6290,10321,9345,13446,871,2695,7531,285,1762,7153,12126,6509,5143
Barrier Damage Done - Most in Game,5683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,25,23,25,,3,,2,5,,,,4,10,2,2,16,5,14,,5,14,4,,,,2,2,2,6,5,,5,,,,6,4,5,16
Objective Contest Time - Most in Game,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,8,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Blows - Avg per 10 Min,8.37,3.53,3.71,13.71,6.68,7.82,2.25,9.13,13.49,,7.99,12.55,8.02,7.72,,2.94,,2.16,3.6,8.09,10.15,7.51,11.01,8.55,4.83,13.19,8.51,8.73,10.06,11.04,14.96,3.62,8.25,,13.7,10.45,7.33,5.42,9.25
Time Spent on Fire - Avg per 10 Min,19,44,,,,29,,61,84,,,8,,,,,71,,,41,72,,,,,55,,,,48,,,11,,,4,5,,66
Objective Contest Time - Avg per 10 Min,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.55,1.26,0.31,,0.43,1.56,,2.28,6.13,,2.66,5.02,1.19,2.57,,0.73,,,,2.31,1.73,0.63,2.75,,,2.67,1.62,0.48,1.89,1.38,,,2.25,,5.48,2.26,1.44,,
Objective Kills - Avg per 10 Min,7.69,5.04,10.2,3.43,6.68,7.04,9.01,5.7,6.13,,1.33,6.69,10.69,6.43,,6.61,2.21,5.4,,6.93,10.64,8.77,,11.41,4.83,7.12,5.67,6.79,7.23,12.14,14.96,4.83,10.5,,,7.65,9.92,5.71,13.05
Objective Time - Avg per 10 Min,85,61,42,15,83,80,179,98,46,,56,44,179,125,65,21,122,146,46,55,95,88,10,67,2,84,61,94,47,123,110,9,30,,,92,118,90,61
Hero Damage Done - Avg per 10 Min,7010,4055,3775,8689,4382,6067,8625,6662,7365,1900,6908,7391,7432,9401,7323,3071,3721,3647,10842,6347,7723,7181,5456,13169,2695,9144,6741,10586,8594,10391,4343,4682,9891,2613,5690,6850,7197,7917,5647
Deaths - Avg per 10 Min,6.21,7.06,6.49,10.28,5.97,10.17,6.76,4.56,11.03,14.61,10.65,6.42,6.24,10.29,8.46,2.94,8.83,9.18,14.38,6.35,5.2,6.89,8.26,2.85,9.66,6.23,7.29,5.09,8.17,7.45,4.99,6.04,4.5,9.16,8.22,5.17,5.32,4.28,3.81
Eliminations - Avg per 10 Min,19.19,15.12,16.69,27.42,18.49,14.86,20.27,17.97,23.29,,10.65,17.02,19.6,16.73,8.46,11.75,6.62,17.82,7.19,17.33,28.72,20.04,16.51,19.96,9.66,20.76,18.23,19.4,19.49,23.73,24.93,10.87,18.75,,16.44,22.84,18.54,15.41,22.3
Assists - Avg per 10 min,6.11,11.59,20.88,,19.78,,8.33,2.73,,,,2.61,5.35,4.29,8.46,19.09,11.04,11.93,3.6,6.06,13.86,3.21,,2.85,,1.67,1.09,1.03,3.46,2.41,,7.45,,,,4.86,2.8,7.46,21.21
Healing Done - Avg per 10 Min,2187,5442,7218,,7980,,,138,405,,,,902,,6417,5969,7728,6822,2829,892,7668,,,,135,,4204,,,1620,,,,,,,,,6401
Time Played,52691,2381,1942,175,4219,767,266,2104,489,82,451,2151,2020,466,142,817,272,1111,167,1039,2424,1916,218,210,124,4047,1481,2475,1908,2174,120,497,800,65,219,5570,4174,2102,1103
Games Played,115,5,4,0,12,1,1,4,,0,1,4,4,1,0,2,1,2,1,2,6,4,0,0,1,9,3,6,3,4,0,1,2,0,0,13,8,6,3
Games Won,67,2,3,0,8,1,0,4,,0,,3,2,,0,1,,2,,1,3,1,0,0,,5,,2,2,4,0,1,1,0,0,8,6,2,2
Games Lost,48,3,1,0,4,0,0,1,,0,1,1,2,1,0,1,1,0,1,1,2,3,0,0,1,4,2,4,2,0,0,0,0,0,0,5,2,4,0
Hero Wins,44,2,3,0,,1,0,3,,0,,2,2,,0,1,,2,,1,3,0,0,0,,2,,2,2,4,0,1,1,0,0,2,4,,2
Environmental Kills,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths,545,28,21,3,42,13,3,16,9,2,8,23,21,8,2,4,4,17,4,11,21,22,3,,2,42,18,21,26,27,,5,6,,3,48,37,15,7
Objective Kills,675,20,33,,47,9,4,20,5,,,24,36,5,,9,,10,,12,43,28,,4,,48,14,28,23,44,3,4,14,,,71,69,20,24
Final Blows,735,14,12,4,47,10,,32,11,,6,45,27,6,,4,,4,,14,41,24,4,3,,89,21,36,32,40,3,3,11,,5,97,51,19,17
Eliminations,1685,60,54,8,130,19,9,63,19,,8,61,66,13,2,16,3,33,2,30,116,64,6,7,2,140,45,80,62,86,5,9,25,,6,212,129,54,41
Time Spent on Fire,1665,173,,,,37,,213,69,,,27,,,,,32,,,71,292,,,,,371,,,,173,,,15,,,36,35,,121
Melee Final Blows,18,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,3
Objective Contest Time,2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,136,5,,,3,2,,8,5,,2,18,4,2,,,,,,4,7,2,,,,18,4,2,6,5,,,3,,2,21,10,,
Objective Time,7473,244,137,4,584,102,80,343,38,,42,156,602,97,15,29,55,270,13,95,385,281,4,23,0,565,149,388,149,447,22,8,40,,,855,823,315,113
Hero Damage Done,615588,16094,12215,2535,30811,7759,3829,23363,6007,260,5190,26496,25021,7307,1732,4182,1685,6753,3016,10988,31197,22933,1982,4618,558,61676,16639,43666,27334,37653,871,3875,13190,285,2077,63596,50074,27736,10384
Multikills,17,,,,,,,,2,,,2,,,,,,,,,,,,,,2,,,,,,,,,,4,2,,
of Match on Fire,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Done,615588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,14,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Assists,489,31,63,,198,,,,,,,,,,,25,5,21,,,63,,,,,,,,,16,,,,,,,,21,45
Offensive Assists,184,37,3,,50,,,,,,,,,3,,13,,11,,11,,18,,,,11,3,6,,,,,,,,,,2,14
Healing Done,192059,21598,23359,,56117,,,484,330,,,,3036,,1518,8129,3500,12633,787,1544,30976,,,,28,,10378,,,5870,,,,,,,,,11771
Assists,354,37,53,,3,,2,9,,,,7,18,3,2,26,5,19,,6,50,7,,,,7,2,3,11,8,,5,,,,13,12,5,39
Cards,19,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,
Scoped Accuracy - Best in Game,,63,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,
Self Healing,,2090,3279,,8879,,,,289,,,,2716,,,,601,2275,603,1544,7832,,,,28,,10378,,,3769,,,,,,,,,244
Self Healing - Most in Game,,682,1097,,,,,,,,,,900,,,,601,1049,603,593,1806,,,,26,,2422,,,1653,,,,,,,,,146
Enemies Slept,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,1257,521,,,,,,,,,,,,,,,,,,,1115,,,,,,,,,,,,,,,,,1952
Damage Amplified - Most in Game,,685,229,,,,,,,,,,,,,,,,,,,709,,,,,,,,,,,,,,,,,651
Healing Amplified,,1684,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,691,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,52,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,
Healing Amplified - Avg per 10 Min,,424,47.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Healing - Avg per 10 Min,,527,1013,,1263,,,,355,,,,807,,,,1326,1229,2169,892,1939,,,,135,,4204,,,1040,,,,,,,,,133
Damage Amplified - Avg per 10 Min,,317,161,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,1061
Nano Boost Assists - Avg per 10 Min,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,10,10,4,16,5,4,17,6,,2,9,11,4,2,8,2,5,2,9,15,14,6,7,2,11,9,14,13,9,3,4,9,,5,12,11,10,15
All Damage Done - Most in Life,,2494,1403,1159,2939,1333,2260,6975,3121,560,1399,5771,2898,2307,1451,2610,868,909,965,10930,4474,4854,1917,6715,1097,7219,3156,7744,4949,4051,914,2652,4343,366,1114,3807,5733,7841,4505
Weapon Accuracy - Best in Game,,56,39,19,,50,21,35,34,16,39,32,43,28,30,44,41,31,41,62,,45,34,28,24,,39,58,49,40,38,24,43,33,47,57,47,67,55
Hero Damage Done - Most in Life,,2283,1251,1134,2239,1207,2038,6602,1628,260,1399,3480,2898,1837,1284,1800,648,909,965,3418,3931,2840,1457,4618,460,6344,2196,7094,4949,4051,789,1268,4343,285,994,3538,4722,4764,2962
Obj Contest Time - Most in Game,,19,47,3,10,11,37,75,3,,12,46,216,22,11,19,55,32,6,25,22,161,4,23,,86,25,43,130,94,8,8,18,,,47,140,16,27
All Damage Done - Avg per 10 Min,,6013,4349,8774,5183,7089,11252,7124,12644,4530,8217,9063,7777,14484,8412,4782,5421,3733,11135,26003,8328,10833,6722,19147,5774,10647,9364,13277,9851,10998,4966,8349,9891,3349,6895,7920,9522,10666,8065
Eliminations per Life,,2.14,2.57,2.67,3.1,1.46,3,3.94,2.11,,,2.65,3.14,1.63,,4,0.75,1.94,0.5,2.73,5.52,2.91,2,7,,3.33,2.5,3.81,2.38,3.19,5,1.8,4.17,,2,4.42,3.49,3.6,5.86
Obj Contest Time - Avg per 10 Min,,8,37,10,63,21,257,84,3,,18,37,101,61,48,21,122,28,22,30,27,117,10,67,,52,39,37,45,53,40,12,17,,,48,98,29,18
Win Percentage,,41,70,100,69,100,16,83,,23,,68,50,,100,72,,84,,37,60,31,100,100,,54,37,37,46,100,100,63,70,100,34,64,70,33,86
All Damage Done,,23862,14074,2560,36450,9066,4995,24983,10313,620,6174,32490,26182,11257,1989,6512,2455,6913,3097,45018,33642,34597,2442,6715,1195,71812,23115,54763,31332,39853,996,6910,13190,366,2517,73525,66249,37369,14830
Obj Contest Time,,27,94,3,10,27,62,275,3,,12,99,340,43,11,29,55,45,6,29,96,255,4,23,,217,72,107,145,177,8,8,18,,,129,422,19,33
Weapon Accuracy,,34,27,19,,39,20,26,34,16,34,24,28,26,30,31,41,28,41,47,,27,33,28,29,,25,46,31,36,38,25,24,33,47,53,29,42,22
Offensive Assists - Avg per 10 Min,,9.32,0.93,,7.11,,,,,,,,,3.86,,9.55,,5.94,3.6,6.35,,5.64,,2.85,,1.63,1.22,1.45,,,,,,,,,,0.57,7.61
Defensive Assists - Avg per 10 Min,,7.81,19.47,,28.16,,,,,,,,,,,18.36,11.04,11.34,3.6,,15.6,,,,,,,,,4.42,,,,,,,,5.99,24.47
Card,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Amplification Matrix Assists,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy - Best in Game,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Best in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Avg per 10 Min,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Avg per 10 Min,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,1,,1,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,,,,,,,,,,
Critical Hits - Most in Game,,,19,2,,7,92,46,19,,26,13,,,,10,54,18,87,4,,22,,63,14,,154,,33,54,8,,19,,5,,229,,8
Critical Hits - Most in Life,,,10,,,2,92,45,5,,8,4,,,,10,31,6,33,3,,16,,63,13,,44,,30,26,8,,15,,4,,105,,6
Melee Final Blow - Most in Game,,,1,,,,,,1,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,
Critical Hit Kills - Most in Game,,,2,,,,,,,,,11,,,,,,,,,,,,,,,4,,,2,,,2,,,,3,,2
Melee Final Blows - Avg per 10 Min,,,0.31,,,,,0.86,1.23,,,,0.3,,,0.73,,,,,0.74,0.31,,,,,,,,,,,,,,0.32,0.14,,1.63
Critical Hits - Avg per 10 Min,,,17.31,6.86,,8.6,358,39.92,23.29,,34.6,8.93,,,,14.69,119,16.74,313,4.04,,6.89,,180,77.28,,145,,18.55,50.5,39.89,,21.0,,13.7,,77.18,,10.33
Critical Hit Kills - Avg per 10 Min,,,1.18,,,,,0.61,1.23,,1.48,5.59,,,,0.73,,,,,,,,,,,3.83,,1.26,1.5,,,1.84,,,,1.63,,1.09
Solo Kill,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
Multikill,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,
Melee Final Blow,,,1,,,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,
Critical Hits,,,56,2,,11,159,140,19,,26,32,,,,20,54,31,87,7,,22,,63,16,,359,,59,183,8,,28,,5,,537,,19
Critical Hit Kills,,,3,,,,,2,,,,15,,,,,,,,,,,,,,,7,,4,5,,,2,,,,7,,2
Critical Hit Accuracy,,,10,2,,9,11,7,12,,15,15,,,,20,15,10,16,2,,1,,15,12,,15,,3,10,7,,8,,11,,10,,11
Artillery Kills,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Most in Game,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Most in Game,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Kills - Most in Game,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Avg per 10 Min,,,,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Avg per 10 Min,,,,13.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills - Avg per 10 Min,,,,13.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kill - Most in Game,,,,1,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Critical Hit - Most in Life,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kill,,,,1,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Overhealth Provided,,,,,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Most in Game,,,,,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshots Attempted,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back,,,,,4,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,
Inspire Uptime Percentage,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshot Accuracy,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min NYI,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Avg per 10 Min,,,,,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Most in Game NYI,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills,,,,,50,,4,27,,,,,,,,,,12,,,,,,,,14,5,,,,,,,,,31,70,,
Knockback Kills - Avg per 10 Min,,,,,7.11,,9.01,7.7,,,,,,1.29,,,,6.48,,,,,,,,2.08,2.03,,,,,,,,,3.34,10.06,,
Environmental Kills - Avg per 10 Min,,,,,0.28,,,0.29,,,,,,,,,,,,,,,,,,0.15,0.41,,,,,,,,,,,,
Deadeye Kills,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Long Range Final Blows - Most in Game,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blows - Avg per 10 Min,,,,,,2.35,,,,,,2.24,,,,,,,,,,,2.75,,,,,,0.94,0.3,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Most in Game,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Avg per 10 Min,,,,,,,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Blow - Most in Game,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Final Blow,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Meteor Strike Kills,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,7479,,,,,,,,,,,383,,,,,,,,,4792,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,2079,,,,,,,,,,,383,,,,,,,,,1826,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,2133,,,,,,,,,,,1376,,,,,,,,,1645,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kill - Most in Game,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Critical Hit Kill - Most in Game,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
Knockback Kills - Most in Game,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Environmental Kill,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Override Protocol Kills - Most in Game,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Override Protocol Kills,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done - Most in Game,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done - Most in Game,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Override Protocol Kills - Avg per 10 Min,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done - Avg per 10 Min,,,,,,,,,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done - Avg per 10 Min,,,,,,,,,1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Played,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Lost,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kill,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Accuracy,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
