,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Objective Kills - Most in Game,28,10,7,14,11,6,11,19,10,,14,13,12,4,21,,9,10,3,8,3,6,8,8,13,6,11,6,15,16,14,15,14,11,15,15,15,2,24,21,12,3,15,15,,5,9,26,17,7,24,16
Objective Time - Most in Game,310,129,59,162,102,54,97,196,79,10,96,164,107,50,194,14,97,144,33,47,12,88,122,209,221,28,134,125,98,73,212,69,166,51,145,212,266,22,116,144,67,19,89,110,34,39,61,159,166,133,250,204
Multikill - Best,5,3,,4,,3,4,4,3,,3,3,4,3,4,,3,,3,3,,3,3,3,4,4,3,,,4,3,4,3,3,5,3,4,3,4,4,3,3,,4,,,3,4,4,3,5,3
Solo Kills - Most in Game,34,3,,7,3,2,2,7,4,,2,6,4,4,9,,5,2,,3,2,2,,3,8,,4,,3,5,2,6,2,4,2,5,5,2,3,11,3,,2,11,,,7,6,5,2,5,5
Time Spent on Fire - Most in Game,91,88,28,77,21,,46,82,26,,37,51,72,44,72,,56,50,28,35,15,54,59,44,48,31,54,30,91,22,42,55,88,34,78,42,30,42,89,77,32,78,30,59,12,26,59,37,42,72,51,50
Melee Final Blows - Most in Game,6,2,,3,,,,2,2,,4,,,,5,,,,2,,,,,,4,,,,,,,,,,,5,3,,,2,,,,6,,2,,3,4,,2,2
Environmental Kills - Most in Game,8,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,28,21,8,18,16,9,12,23,22,2,19,16,14,13,20,2,17,10,10,23,10,15,15,19,17,6,15,6,7,15,23,18,16,11,21,26,22,7,13,28,19,9,12,26,3,7,17,21,25,13,23,20
Hero Damage Done - Most in Game,21471,5973,9403,14672,7157,5864,6667,17107,11083,1806,12350,12837,18072,10331,13162,3567,17694,9636,3867,9419,4518,8517,7187,5217,7905,9666,8867,1910,11460,9439,18883,14380,14139,8398,12845,15180,14821,8106,15583,21471,8918,11515,6932,12059,4796,6259,8242,10056,10909,7453,13933,11143
Barrier Damage Done - Most in Game,13517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,34,18,,8,8,,34,6,17,,8,2,,,,,4,11,14,6,,19,24,15,16,8,8,19,32,6,12,3,7,,,9,3,,4,5,8,3,,,,3,6,5,2,16,8,16
Objective Contest Time - Most in Game,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,7,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Hero Damage Done - Avg per 10 Min,8831,4002,8989,10383,6279,11256,4581,10201,8858,4868,7964,9857,12558,8913,8835,9374,9188,6118,3809,8936,8555,6186,5797,4503,5222,11226,9278,1413,7408,7597,10966,12081,12882,9439,9167,9619,11475,9713,10106,11754,6644,10741,11011,8249,5704,7441,7507,8598,7674,6802,10019,7084
Deaths - Avg per 10 Min,6.96,5.26,8.46,7.32,4.85,9.75,7.83,8.28,5.33,11.24,8.05,7.06,6.46,6.92,7.72,10.31,7.53,6.17,8.34,7.52,8.96,4.01,6.13,4.82,6.58,10.03,5.43,6.36,6.69,6.54,5.36,7.48,6.06,9.76,7.68,5.43,4.87,6.64,8.03,7.14,6.77,7.49,5.95,7.13,11.48,9.18,8.25,6.4,5.68,5.72,6.0,6.47
Eliminations - Avg per 10 Min,21.79,14.16,18.12,21.07,18.8,27.62,16.19,21.74,26.72,6.74,21.2,23.66,21.95,14.85,22.18,4.13,20.18,13.2,20.85,27.36,19.72,18.53,15.79,17.72,19.12,18.05,28.29,6.23,18.85,26.17,26.81,27.88,29.23,21.77,20.24,27.32,25.71,25.1,20.54,24.26,21.09,16.65,22.89,23.09,7.65,18.37,18.95,28.97,20.64,17.7,26.92,20.6
Assists - Avg per 10 min,4.04,14.84,,3.14,12.62,,21.15,1.7,13.87,,4.75,1.24,,0.51,0.06,1.03,2.34,5.52,12.76,6.84,,10.23,15.66,13.87,12.28,8.02,8.82,24.81,19.45,29.49,7.24,1.87,5.35,,,6.5,4.38,,0.86,1.47,6.18,2.52,,,0.96,2.2,2.55,5.37,1.56,10.51,7.6,15.09
Healing Done - Avg per 10 Min,1832,7904,938,,8338,1938,8937,53.59,1.8,414,343,120,949,51.46,19.13,1671,,8711,4796,1387,,7403,7501,6854,7068,1608,713,7139,11683,8739,,,323,1658,,4250,0.27,,,1455,719,437,,17.55,89.53,27.55,,80.37,40.14,8425,,6029
Final Blows - Avg per 10 Min,11.12,4.16,7.65,11.18,7.19,15.71,5.0,12.42,12.46,4.49,10.01,13.34,10.52,7.26,12.82,2.06,13.28,5.63,7.85,13.68,11.65,4.56,5.87,5.01,5.59,6.69,13.18,3.25,5.47,11.0,10.03,16.69,12.48,12.73,11.51,16.51,11.64,14.03,9.75,13.26,9.1,7.91,10.07,12.53,4.78,10.29,13.08,13.05,9.26,5.72,12.84,9.17
Time Spent on Fire - Avg per 10 Min,34,18,89,58,3,,39,57,27,,65,21,127,83,10,,18,65,39,62,10,110,128,108,12,73,64,16,166,6,46,44,148,17,6,14,4,89,106,73,30,66,33,21,24,73,19,6,2,156,4,8
Objective Contest Time - Avg per 10 Min,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.98,0.63,1.21,2.09,0.75,2.71,0.26,1.96,1.58,2.25,1.28,2.24,1.57,1.52,2.37,,3.01,0.76,0.74,1.03,3.14,0.69,0.52,0.77,1.99,,2.91,0.39,1.82,2.78,0.89,2.81,0.71,2.36,0.74,1.94,1.44,1.48,1.38,2.43,1.56,0.42,1.37,3.17,0.96,1.1,4.89,1.5,2.04,0.92,1.54,1.89
Objective Kills - Avg per 10 Min,6.49,4.44,3.22,6.69,6.92,8.12,4.67,6.22,5.26,2.25,4.71,6.97,4.98,2.87,6.24,,4.68,3.68,3.43,6.16,2.24,3.73,5.61,7.13,5.86,4.68,8.53,2.21,9.12,11.42,10.33,8.43,8.2,6.06,5.98,8.28,8.41,2.21,7.42,7.17,7.0,2.5,10.07,6.68,,3.67,3.88,8.48,7.65,6.45,9.36,6.62
Objective Time - Avg per 10 Min,50,33,41,43,31,42,45,37,60,24,60,49,26,26,49,29,40,48,29,37,9,32,42,76,69,26,71,36,61,57,111,40,99,48,73,78,90,17,43,34,37,17,47,48,42,34,22,83,89,113,73,53
Time Played,687950,34017,1490,41004,11265,1108,9115,90699,8332,267,6114,13945,6505,3556,57678,582,15135,5545,2446,1754,1339,4338,4597,3114,25889,898,3096,4621,987,4310,6043,10030,1683,5843,21169,22316,23406,813,6952,55963,7711,1442,1310,41221,627,1633,23938,14435,20932,3254,28087,25395
Games Played,1436,75,3,84,23,3,20,180,19,1,11,29,12,7,123,2,33,10,6,3,3,8,8,6,53,2,8,10,1,8,13,19,3,11,49,44,56,2,13,108,18,4,4,83,1,4,58,32,44,8,61,52
Games Won,758,32,2,44,12,1,12,93,7,0,6,16,7,3,63,,18,3,5,1,2,5,3,6,32,0,4,5,,4,10,12,2,4,25,19,29,2,6,62,7,2,2,45,,3,30,23,25,5,34,26
Games Lost,678,43,1,40,11,2,8,86,13,0,5,13,5,4,59,2,14,7,1,2,2,3,5,0,21,1,4,5,1,4,3,7,1,7,24,25,26,0,7,46,11,2,2,38,1,1,28,9,19,2,27,26
Hero Wins,257,7,2,24,2,,6,53,,0,4,3,7,3,10,,4,3,5,1,0,5,3,6,7,0,1,2,,0,2,3,2,1,1,1,1,2,6,40,3,,1,14,,3,7,2,0,5,3,1
Environmental Kills,100,,,5,,,2,2,4,,,,,,,,,,3,,,,,,39,,,,,,,10,,,,4,5,,,,,,,,,,,15,9,,,
Objective Time,57859,1864,103,2930,579,78,691,5624,834,11,615,1150,284,152,4674,28,1020,440,118,108,19,231,320,393,2959,39,364,278,101,409,1116,662,277,469,2593,2885,3505,23,493,3138,480,40,103,3297,44,92,871,2007,3093,611,3407,2238
Eliminations,24982,803,45,1440,353,51,246,3286,371,3,216,550,238,88,2132,4,509,122,85,80,44,134,121,92,825,27,146,48,31,188,270,466,82,212,714,1016,1003,34,238,2263,271,40,50,1586,8,50,756,697,720,96,1260,872
Hero Damage Done,10124974,226910,22317,709549,117885,20784,69588,1542011,123015,2166,81160,229099,136137,52823,849355,9088,231762,56537,15528,26126,19086,44728,44420,23373,225333,16792,47873,10881,12186,54570,110446,201959,36138,91913,323415,357768,447646,13158,117098,1096339,85397,25806,24048,566733,5962,20255,299525,206854,267727,36893,468998,299813
Final Blows,12749,236,19,764,135,29,76,1878,173,2,102,310,114,43,1232,2,335,52,32,40,26,33,45,26,241,10,68,25,9,79,101,279,35,124,406,614,454,19,113,1237,117,19,22,861,5,28,522,314,323,31,601,388
Deaths,7978,298,21,500,91,18,119,1251,74,5,82,164,70,41,742,10,190,57,34,22,20,29,47,25,284,15,28,49,11,47,54,125,17,95,271,202,190,9,93,666,87,18,13,490,12,25,329,154,198,31,281,274
Damage Done,10124974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,7441,252,8,457,130,15,71,941,73,,48,162,54,17,600,,118,34,14,18,5,27,43,37,253,7,44,17,15,82,104,141,23,59,211,308,328,3,86,669,90,6,22,459,,10,155,204,267,35,438,280
Time Spent on Fire,39463,999,221,3957,58,,588,8667,378,,663,491,1382,494,981,,460,603,161,181,23,792,977,558,526,109,331,123,274,43,458,736,416,161,215,513,159,120,1234,6770,381,159,72,1446,25,200,758,154,57,845,189,353
Melee Final Blows,549,12,2,14,4,,,29,8,,13,8,3,,46,,4,,12,,,2,2,3,43,,,2,,2,,3,,2,,105,40,,,22,4,,,85,,2,3,15,28,2,14,8
Objective Contest Time,8922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,2265,36,3,143,14,5,4,297,22,,13,52,17,9,228,,76,7,3,3,7,5,4,4,86,,15,3,3,20,9,47,2,23,26,72,56,2,16,227,20,,3,218,,3,195,36,71,5,72,80
Multikills,273,3,,19,,,4,35,5,,,8,6,,33,,2,,4,2,,3,2,,9,,3,,,,3,11,,2,12,4,9,3,4,23,,,,13,,,2,7,6,2,23,2
of Match on Fire,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,162,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,
Defensive Assists,3431,645,,,277,,383,,,,,,,,,,,,44,,,,140,80,367,4,,89,38,100,,,,,,,,,,202,,,,,,,,,,,331,731
Offensive Assists,2922,506,,,55,,95,,,,,,,,,,,5,23,,,,46,,344,12,36,57,,,130,,15,,116,254,200,,,,110,,,,,,,,,,189,728
Healing Done,2100451,448114,2329,,156544,3578,135769,8101,25,184,3498,2797,10287,305,1839,1620,,80502,19551,4054,,53529,57477,35576,304976,2405,3679,54985,19218,62776,,,906,16146,,15405,10,,,135744,9243,1050,,1206,94,75,,1934,1400,45696,,255153
Assists,1674,176,,123,22,,126,152,32,,32,7,,3,,,13,51,52,20,,74,120,72,93,12,13,29,32,10,23,11,15,,,30,3,,10,93,32,4,,,,6,30,9,2,57,15,67
Cards,493,19,2,30,6,,8,43,6,,,13,,,38,,10,,,,,,2,3,22,,2,,,4,6,11,,3,17,26,31,,,33,2,,,25,,,12,23,15,,41,29
Scoped Accuracy - Best in Game,,88,,75,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Self Healing,,30759,,,22520,3578,22606,,,184,,,8403,,,,,7662,,4054,,,,3481,94872,2132,3023,9359,,14546,,,,16071,,158075,,,,95947,,,,63299,,,,,,,,9698
Self Healing - Most in Game,,1461,,,1602,2064,,,,184,,,,,,,,1330,,2273,,,,765,3268,1496,527,1754,,2241,,,,1680,,5860,,,,1957,,,,1505,,,,,,,,540
Enemies Slept,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,7477,,,18220,,,,,,,,,,,,,,,,,2683,,,,,,6233,,,22538,,,,,,,,,,,,,,,,,,,,,6245
Damage Amplified - Most in Game,,1554,,,1493,,,,,,,,,,,,,,,,,828,,,,,,991,,,4405,,,,,,,,,,,,,,,,,,,,,1905
Healing Amplified,,26484,,,3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919,,
Healing Amplified - Most in Game,,902,,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,,
Scoped Accuracy,,66,,48,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,
Healing Amplified - Avg per 10 Min,,467,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,
Self Healing - Avg per 10 Min,,543,,,1200,1938,1488,,,414,,,775,,,,,829,,1387,,,,671,2199,1426,586,1215,,2025,,,,1650,,4250,,,,1029,,,,921,,,,,,,,229
Damage Amplified - Avg per 10 Min,,132,,,970,,,,,,,,,,,,,,,,,371,,,,,,809,,,2238,,,,,,,,,,,,,,,,,,,,,148
Biotic Grenade Kills - Avg per 10 Min,,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,21,8,18,16,9,12,23,22,2,19,16,14,13,20,2,17,10,10,23,10,15,15,19,17,6,15,6,7,15,23,18,16,11,21,26,22,7,13,28,19,9,12,26,3,7,17,21,25,13,23,20
All Damage Done - Most in Life,,4820,4047,13139,8171,5072,3199,8452,7185,2002,7664,11472,12175,7331,11099,2719,10344,4039,2216,5339,4476,4087,5503,3952,6148,3802,11708,913,3595,4498,10395,8989,6260,5022,12248,12897,12973,3367,9206,13205,5922,7618,7702,9297,2072,2961,5599,6826,9359,5426,11207,8402
Weapon Accuracy - Best in Game,,73,50,70,52,39,,77,48,47,95,83,61,60,53,66,86,61,37,52,34,49,48,35,60,46,65,70,36,,52,61,43,58,,50,51,22,60,57,53,43,52,63,,63,100,79,69,48,78,53
Hero Damage Done - Most in Life,,3134,3905,8300,3860,2598,2699,7288,5596,986,7460,6094,5961,4279,6296,2031,9275,3304,1812,5339,3509,2845,5143,3506,4131,3463,5267,792,2899,3971,9426,5700,5913,3256,8210,8143,11238,2260,6588,9962,4257,5342,5803,8349,1284,2770,5599,6816,6833,4277,6846,5516
Obj Contest Time - Most in Game,,39,46,44,10,,97,109,54,1,93,164,22,14,73,8,20,144,29,30,,61,20,20,118,21,39,14,77,16,67,46,52,28,11,69,61,3,102,74,40,3,9,69,5,24,13,32,95,38,87,14
Obj Contest Time - Avg per 10 Min,,15,25,12,9,,39,18,43,1,54,38,11,6,31,19,18,28,26,21,,13,14,13,51,21,52,12,49,69,47,24,42,33,22,41,89,3,26,16,15,6,11,39,9,20,3,32,77,16,69,9
Melee Final Blows - Avg per 10 Min,,0.21,0.81,0.2,0.21,,,0.19,0.58,,1.28,0.34,0.28,0.17,0.48,1.03,0.16,,2.94,0.34,,0.28,0.26,0.58,1.0,,0.19,0.26,0.61,0.28,,0.18,0.36,0.21,,2.82,1.03,,,0.24,0.31,,0.46,1.24,,0.73,0.08,0.62,0.8,0.37,0.3,0.19
All Damage Done - Avg per 10 Min,,5016,10255,12891,8505,16252,5577,12441,13194,8369,9010,13915,17084,12398,11843,16855,12133,7080,4463,9768,11443,6889,6895,5737,6404,11931,24860,1625,9071,8389,15546,15575,15495,12595,11798,13701,15207,13683,12837,14568,8193,14855,14896,9810,7795,8502,8776,10084,10011,9320,13415,9958
Eliminations per Life,,2.69,2.14,2.88,3.88,2.83,2.07,2.63,5.01,0.6,2.63,3.35,3.4,2.15,2.87,0.4,2.68,2.14,2.5,3.64,2.2,4.62,2.57,3.68,2.9,1.8,5.21,0.98,2.82,4,5,3.73,4.82,2.23,2.63,5.03,5.28,3.78,2.56,3.4,3.11,2.22,3.85,3.24,0.67,2,2.3,4.53,3.64,3.1,4.48,3.18
Win Percentage,,42,64,52,51,31,60,52,34,28,54,54,56,38,52,,56,31,80,48,47,64,34,94,61,16,47,52,,44,76,64,63,36,52,44,53,100,45,58,40,57,48,54,,83,52,71,58,68,55,50
All Damage Done,,284354,25461,880981,159678,30010,84728,1880713,183230,3725,91812,323417,185207,73479,1138452,16341,306048,65433,18195,28558,25530,49815,52833,29776,276339,17847,128277,12512,14922,60260,156568,260368,43468,122645,416246,509588,593224,18536,148741,1358754,105294,35691,32533,673940,8148,23144,350119,242597,349265,50553,628000,421484
Obj Contest Time,,182,62,481,15,,234,1605,98,1,365,217,115,35,507,18,101,263,107,60,,95,104,70,388,31,76,14,80,23,150,141,117,111,31,191,61,4,300,1011,77,9,9,841,9,55,40,54,99,87,136,41
Weapon Accuracy,,38,38,47,39,28,,49,30,31,32,28,45,28,32,32,34,54,33,43,22,44,34,29,34,40,48,28,34,,36,48,33,31,,34,51,22,33,42,37,33,32,37,,48,42,69,37,37,48,35
Offensive Assists - Avg per 10 Min,,8.93,,,2.93,,6.25,,,,,,,,,,,0.54,5.64,,0.45,,6.0,,7.97,8.02,6.98,7.4,,,12.91,,5.35,,3.29,6.83,5.13,,,,8.56,,,,,,,,,,4.04,17.2
Defensive Assists - Avg per 10 Min,,11.38,,,14.75,,25.21,,,,,,,,,,,,10.79,,,,18.27,15.41,8.51,2.67,,11.56,23.1,13.92,,,,,,,,,,2.17,,,,,,,,,,,7.07,17.27
Critical Hit Damage,,,5250,,,,,,,,,,,,,,,,,,,,,,,5649,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2519,,,,,,,,,,,,,,,,,,,,,,,3303,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,31.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,2114,,,,,,,,,,,,,,,,,,,,,,,3776,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,1,,,1,1,,,,,,
Critical Hits - Most in Game,,,11,30,31,16,,32,370,3,122,79,93,,41,,20,21,73,97,,194,19,112,26,108,24,13,36,,216,,306,133,,308,,107,162,82,80,,8,176,12,,23,,76,,,29
Critical Hits - Most in Life,,,4,14,19,8,,15,207,3,73,40,19,,18,,11,9,22,55,,84,15,102,15,55,17,7,8,,108,,139,76,,161,,30,74,39,40,,6,91,,,12,,34,,,20
Melee Final Blow - Most in Game,,,1,,1,,,,,,,1,1,1,,1,1,,,1,,1,1,1,,,1,1,1,1,,1,1,1,,,,,,,1,,1,,,,1,,,1,,
Critical Hit Kill - Most in Game,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Avg per 10 Min,,,0.4,3.24,2.29,,,2.27,1.73,4.49,0.89,1.06,1.94,0.51,0.72,1.03,5.21,1.3,0.49,2.74,,,1.7,0.96,0.92,1.34,,,0.61,,1.89,,0.36,1.21,,5.63,,2.95,0.52,1.75,1.35,,,1.01,,,7.58,,,,,1.35
Critical Hits - Avg per 10 Min,,,10.47,18.23,22.1,17.33,,14.66,347,8.99,67.22,42.16,40.49,9.79,20.24,37.13,11.02,15.04,70.65,62.93,,72.33,14.36,105,18.89,142,13.57,10.26,23.71,,37.53,,206,122,,159,,131,70.16,41.66,64.89,,14.65,116,15.31,,17.47,,3.53,,,16.89
Knockback Kills,,,24,147,,,122,,93,,109,,,,,,,4,18,,15,,,,451,,,,,,,17,,,44,135,,,,,,,,,,,,104,379,,,
Knockback Kills - Most in Game,,,11,7,,,16,,12,,15,,,,,,,,5,,2,,,,13,,,,,,,2,,,,7,,,,,,,,,,,,3,4,,,
Knockback Kills - Avg per 10 Min,,,9.67,2.15,,,8.03,,6.7,,10.7,,,,,,,0.43,4.42,,6.72,,,,10.45,,,,,,,1.02,,,1.25,3.63,,,,,,,,,,,,4.32,10.86,,,
Critical Hits,,,26,1246,415,32,,2216,4820,4,685,980,439,58,1946,36,278,139,288,184,,523,110,545,815,213,70,79,39,,378,,579,1189,,5923,,177,813,3886,834,,32,7990,,,697,,123,,,715
