,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Objective Kills - Most in Game,30.0,13.0,12.0,16.0,10.0,27.0,9.0,15.0,19.0,2.0,10.0,5.0,6.0,6.0,17.0,6.0,18.0,7.0,12.0,15.0,10.0,7.0,3.0,11.0,5.0,15.0,6.0,,8.0,15.0,24.0,7.0,7.0,18.0,14.0,10.0,,9.0,22.0,15.0,16.0,18.0,21.0,3.0,5.0,11.0,15.0,10.0,25.0,15.0
Objective Time - Most in Game,359.0,171.0,67.0,158.0,186.0,179.0,185.0,134.0,172.0,30.0,102.0,54.0,16.0,56.0,117.0,101.0,318.0,87.0,232.0,92.0,87.0,116.0,95.0,215.0,200.0,199.0,159.0,,58.0,183.0,160.0,78.0,76.0,211.0,194.0,169.0,2.0,109.0,148.0,146.0,89.0,125.0,191.0,10.0,85.0,160.0,133.0,118.0,231.0,178.0
Multikill - Best,6.0,4.0,,4.0,,4.0,4.0,4.0,4.0,,3.0,,3.0,3.0,4.0,,4.0,,,3.0,,,,3.0,,5.0,3.0,,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,,,5.0,4.0,3.0,3.0,6.0,,,3.0,5.0,,5.0,3.0
Solo Kills - Most in Game,55.0,4.0,,6.0,2.0,13.0,4.0,8.0,13.0,,5.0,2.0,2.0,5.0,14.0,,14.0,,2.0,8.0,2.0,4.0,,10.0,,12.0,5.0,,3.0,5.0,12.0,4.0,8.0,6.0,9.0,,,4.0,10.0,7.0,5.0,4.0,14.0,,2.0,14.0,5.0,3.0,6.0,4.0
Time Spent on Fire - Most in Game,109.0,49.0,19.0,61.0,18.0,80.0,37.0,59.0,59.0,23.0,35.0,35.0,42.0,43.0,64.0,42.0,109.0,21.0,24.0,49.0,28.0,75.0,,54.0,66.0,70.0,49.0,,35.0,46.0,56.0,29.0,41.0,43.0,38.0,61.0,0.0,20.0,69.0,74.0,57.0,33.0,67.0,15.0,24.0,64.0,68.0,35.0,92.0,41.0
Melee Final Blows - Most in Game,7.0,3.0,,,,,,2.0,6.0,,2.0,,,,7.0,,2.0,,2.0,,,,,6.0,,4.0,2.0,,,4.0,2.0,2.0,,,2.0,2.0,,,3.0,5.0,,3.0,7.0,,,2.0,5.0,3.0,4.0,6.0
Environmental Kills - Most in Game,8.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,3.0,2.0,,,,,,,,,2.0,,,,,,,,,,
Kill Streak - Best,28.0,17.0,5.0,11.0,9.0,19.0,8.0,17.0,21.0,7.0,13.0,8.0,16.0,9.0,18.0,14.0,25.0,13.0,17.0,11.0,6.0,15.0,5.0,11.0,9.0,22.0,15.0,,9.0,14.0,19.0,12.0,23.0,18.0,17.0,10.0,4.0,9.0,28.0,18.0,13.0,10.0,26.0,4.0,4.0,17.0,16.0,10.0,20.0,12.0
Hero Damage Done - Most in Game,23592.0,8090.0,6740.0,13023.0,6599.0,16891.0,4971.0,14838.0,13299.0,4510.0,8509.0,7256.0,9944.0,8692.0,12020.0,10160.0,12486.0,7779.0,10931.0,11829.0,3849.0,6604.0,2209.0,10463.0,7363.0,11337.0,8153.0,815.0,6737.0,13101.0,14906.0,9347.0,8630.0,11112.0,11166.0,7752.0,1303.0,8199.0,14916.0,15330.0,8223.0,8972.0,12461.0,1795.0,6433.0,10124.0,12906.0,8937.0,21369.0,8765.0
Barrier Damage Done - Most in Game,9926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,39.0,27.0,,7.0,13.0,4.0,12.0,3.0,11.0,,4.0,,,,,2.0,11.0,7.0,11.0,3.0,7.0,20.0,20.0,18.0,7.0,10.0,39.0,,8.0,6.0,3.0,3.0,,4.0,5.0,4.0,,6.0,6.0,13.0,3.0,,2.0,,4.0,8.0,5.0,3.0,10.0,21.0
Objective Contest Time - Most in Game,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,16.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
Hero Damage Done - Avg per 10 Min,6523.0,2995.0,5768.0,9634.0,5967.0,8516.0,4201.0,8337.0,7552.0,9736.0,5362.0,7997.0,8299.0,7511.0,6496.0,8007.0,7256.0,7353.0,10795.0,6724.0,4156.0,4495.0,885.0,4881.0,9763.0,6568.0,1035.0,5885.0,5015.0,8018.0,10601.0,10332.0,6809.0,6373.0,6658.0,9320.0,6196.0,6915.0,9118.0,7071.0,5568.0,4630.0,6720.0,2910.0,7581.0,5895.0,6847.0,6891.0,9507.0,5497.0
Deaths - Avg per 10 Min,9.95,8.13,9.49,9.4,7.46,10.36,9.97,10.9,7.11,7.08,12.66,9.21,8.31,10.72,10.54,9.18,10.17,8.4,6.48,11.45,11.83,7.23,7.29,8.87,7.89,9.19,8.01,14.44,11.15,9.12,10.67,7.07,11.41,10.74,9.59,7.68,4.76,10.32,10.3,9.97,11.38,11.66,10.72,9.73,11.14,10.37,9.24,8.75,7.85,9.88
Assists - Avg per 10 min,4.13,12.74,,1.75,8.37,1.48,16.38,0.83,5.71,,9.67,,,0.1,0.07,2.01,4.14,6.4,7.11,2.26,3.5,11.88,14.21,7.95,8.19,5.22,15.96,,6.53,4.0,1.17,2.51,,1.74,4.07,4.04,,1.97,1.39,7.07,2.89,,0.03,1.62,1.73,1.8,2.19,3.51,4.88,16.19
Eliminations - Avg per 10 Min,18.33,11.14,15.82,18.52,20.08,22.02,13.07,20.91,22.25,17.7,16.87,15.58,24.03,15.49,19.4,12.04,19.1,15.59,26.77,15.56,10.07,14.09,4.11,14.58,18.51,17.03,3.62,,16.48,18.02,24.15,19.61,18.98,13.97,18.91,17.98,23.78,15.42,23.68,19.78,15.3,13.08,21.33,11.35,15.35,17.74,18.89,18.08,22.99,15.37
Healing Done - Avg per 10 Min,1042.0,5686.0,127.0,,4335.0,901.0,4716.0,1.89,0.13,1283.0,2.22,63.31,782.0,,9.48,,0.17,6994.0,1868.0,,4525.0,6735.0,6986.0,3947.0,1358.0,841.0,7029.0,7724.0,4745.0,,,360.0,597.0,,2381.0,,,,1367.0,402.0,2.3,,0.65,,,0.05,,29.16,,3702.0
Final Blows - Avg per 10 Min,11.44,3.89,3.16,11.99,8.22,14.87,6.65,14.44,11.65,8.26,11.29,12.04,12.46,10.62,12.1,3.73,13.93,4.8,13.8,10.76,3.94,7.08,1.68,6.62,8.5,8.36,1.84,,7.11,7.64,17.14,10.49,12.8,8.58,12.61,7.87,4.76,7.77,14.76,10.41,8.88,6.92,12.48,6.48,9.41,13.3,10.04,8.31,11.57,7.51
Time Spent on Fire - Avg per 10 Min,29.0,22.0,32.0,87.0,8.0,13.0,18.0,49.0,25.0,65.0,2.0,12.0,131.0,61.0,11.0,57.0,38.0,46.0,29.0,16.0,44.0,39.0,,27.0,98.0,25.0,17.0,,12.0,32.0,17.0,42.0,6.0,15.0,5.0,105.0,2.0,6.0,29.0,64.0,13.0,5.0,16.0,31.0,43.0,50.0,42.0,25.0,65.0,28.0
Objective Contest Time - Avg per 10 Min,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,3.0,0.68,0.63,2.59,0.76,3.68,1.49,2.58,2.79,,3.24,0.71,1.78,1.95,3.56,0.57,3.75,,1.67,3.01,1.75,1.37,0.19,1.89,0.61,2.03,0.4,,1.78,1.14,4.07,1.6,4.21,1.49,2.96,0.75,,1.1,2.85,2.13,2.13,1.77,4.01,,1.98,4.78,1.36,1.9,1.2,1.84
Objective Kills - Avg per 10 Min,5.32,3.94,7.59,5.45,8.22,9.06,3.78,6.0,5.99,3.54,5.19,2.83,5.34,3.41,5.28,4.01,5.28,4.4,8.99,4.71,5.26,4.26,1.12,4.06,6.07,5.71,0.73,,3.2,6.61,7.26,4.56,5.1,3.95,6.73,5.81,4.76,4.12,7.93,5.99,5.08,4.52,6.0,4.86,3.96,3.95,5.3,4.81,7.17,5.58
Objective Time - Avg per 10 Min,44.0,42.0,46.0,38.0,76.0,55.0,76.0,41.0,76.0,60.0,42.0,51.0,14.0,31.0,44.0,68.0,37.0,58.0,138.0,42.0,48.0,51.0,28.0,60.0,113.0,64.0,39.0,,31.0,70.0,42.0,77.0,39.0,63.0,68.0,117.0,10.0,38.0,42.0,45.0,39.0,36.0,46.0,16.0,63.0,22.0,69.0,75.0,75.0,54.0
Time Played,2418855.0,94820.0,948.0,11112.0,3137.0,59606.0,5233.0,139738.0,77017.0,509.0,15361.0,1694.0,2022.0,6157.0,146716.0,2092.0,300744.0,1501.0,2869.0,29455.0,1370.0,7880.0,3208.0,43418.0,1977.0,80849.0,157742.0,83.0,5060.0,10522.0,87814.0,2631.0,13407.0,34186.0,43785.0,3203.0,126.0,10348.0,145004.0,69478.0,26202.0,24034.0,371814.0,370.0,2423.0,269408.0,17214.0,4115.0,61203.0,19249.0
Games Played,5133.0,199.0,2.0,22.0,7.0,136.0,11.0,288.0,174.0,,35.0,4.0,3.0,13.0,314.0,4.0,655.0,3.0,6.0,61.0,3.0,17.0,6.0,89.0,4.0,176.0,327.0,,13.0,21.0,184.0,6.0,32.0,73.0,94.0,7.0,0.0,20.0,292.0,137.0,55.0,57.0,791.0,1.0,6.0,578.0,33.0,8.0,130.0,40.0
Games Won,2521.0,87.0,1.0,7.0,4.0,73.0,6.0,146.0,99.0,,12.0,1.0,3.0,5.0,149.0,1.0,323.0,1.0,3.0,23.0,,10.0,2.0,47.0,1.0,86.0,134.0,,5.0,12.0,115.0,3.0,15.0,34.0,44.0,4.0,0.0,8.0,154.0,65.0,26.0,18.0,408.0,1.0,1.0,279.0,14.0,3.0,68.0,22.0
Games Lost,2612.0,112.0,1.0,15.0,3.0,63.0,5.0,143.0,75.0,,23.0,3.0,0.0,8.0,165.0,3.0,332.0,1.0,3.0,37.0,3.0,7.0,4.0,42.0,3.0,90.0,193.0,,7.0,10.0,69.0,2.0,17.0,38.0,50.0,4.0,0.0,11.0,137.0,72.0,29.0,39.0,383.0,0.0,5.0,299.0,18.0,6.0,61.0,18.0
Hero Wins,920.0,44.0,1.0,5.0,2.0,12.0,1.0,68.0,14.0,,1.0,0.0,3.0,5.0,24.0,1.0,133.0,1.0,3.0,4.0,,10.0,2.0,32.0,1.0,25.0,52.0,,1.0,3.0,18.0,3.0,0.0,12.0,1.0,3.0,0.0,8.0,39.0,36.0,3.0,2.0,87.0,1.0,1.0,205.0,5.0,1.0,39.0,7.0
Environmental Kills,204.0,2.0,,,,,,,11.0,,6.0,,,,,,,,,,,,,36.0,,,,,,5.0,67.0,,,12.0,47.0,,,,5.0,4.0,,,,,,,5.0,,2.0,
Objective Time,179162.0,6621.0,73.0,707.0,399.0,5470.0,664.0,9545.0,9731.0,51.0,1086.0,144.0,48.0,315.0,10753.0,236.0,18459.0,146.0,661.0,2078.0,109.0,673.0,150.0,4361.0,373.0,8616.0,10152.0,,263.0,1219.0,6125.0,337.0,865.0,3563.0,4962.0,624.0,2.0,659.0,10266.0,5172.0,1689.0,1425.0,28331.0,10.0,255.0,9896.0,1982.0,512.0,7661.0,1724.0
Eliminations,73877.0,1761.0,25.0,343.0,105.0,2188.0,114.0,4871.0,2856.0,15.0,432.0,44.0,81.0,159.0,4743.0,42.0,9574.0,39.0,128.0,764.0,23.0,185.0,22.0,1055.0,61.0,2295.0,951.0,,139.0,316.0,3535.0,86.0,424.0,796.0,1380.0,96.0,5.0,266.0,5722.0,2291.0,668.0,524.0,13215.0,7.0,62.0,7965.0,542.0,124.0,2345.0,493.0
Hero Damage Done,18379451.0,382980.0,9113.0,178412.0,31199.0,396512.0,36643.0,1535954.0,528313.0,8252.0,137284.0,22583.0,27976.0,77080.0,1096228.0,27919.0,2425256.0,18389.0,51620.0,254583.0,9488.0,59027.0,4730.0,293310.0,32174.0,458030.0,166842.0,815.0,42295.0,91203.0,429327.0,45299.0,59949.0,281574.0,114279.0,49751.0,1303.0,119268.0,1456332.0,635068.0,118660.0,101473.0,2790578.0,1795.0,30615.0,2542749.0,179360.0,47265.0,859951.0,110646.0
Final Blows,46118.0,615.0,5.0,222.0,43.0,1477.0,58.0,3363.0,1496.0,7.0,289.0,34.0,42.0,109.0,2958.0,13.0,6984.0,12.0,66.0,528.0,9.0,93.0,9.0,479.0,28.0,1127.0,483.0,,60.0,134.0,2508.0,46.0,286.0,489.0,920.0,42.0,,134.0,3567.0,1206.0,388.0,277.0,7731.0,4.0,38.0,5972.0,288.0,57.0,1180.0,241.0
Deaths,40107.0,1285.0,15.0,174.0,39.0,1029.0,87.0,2539.0,913.0,6.0,324.0,26.0,28.0,110.0,2577.0,32.0,5099.0,21.0,31.0,562.0,27.0,95.0,39.0,642.0,26.0,1239.0,2107.0,2.0,94.0,160.0,1562.0,31.0,255.0,612.0,700.0,41.0,,178.0,2489.0,1155.0,497.0,467.0,6642.0,6.0,45.0,4655.0,265.0,60.0,801.0,317.0
Damage Done,18379451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,21441.0,623.0,12.0,101.0,43.0,900.0,33.0,1398.0,769.0,3.0,133.0,8.0,18.0,35.0,1290.0,14.0,2646.0,11.0,43.0,231.0,12.0,56.0,6.0,294.0,20.0,770.0,191.0,,27.0,116.0,1063.0,20.0,114.0,225.0,491.0,31.0,,71.0,1917.0,694.0,222.0,181.0,3719.0,3.0,16.0,1775.0,152.0,33.0,731.0,179.0
Time Spent on Fire,117945.0,3419.0,51.0,1618.0,40.0,1321.0,153.0,11483.0,3145.0,55.0,57.0,35.0,442.0,621.0,2682.0,198.0,19007.0,116.0,139.0,763.0,100.0,512.0,,1949.0,324.0,3431.0,4382.0,,102.0,553.0,2515.0,186.0,125.0,861.0,360.0,559.0,0.0,107.0,7119.0,7438.0,560.0,202.0,9618.0,19.0,173.0,22482.0,1209.0,173.0,6651.0,891.0
Melee Final Blows,1992.0,52.0,,2.0,,8.0,,75.0,69.0,,11.0,2.0,,,250.0,,110.0,,5.0,3.0,,2.0,,121.0,2.0,37.0,51.0,,2.0,9.0,18.0,5.0,2.0,,31.0,7.0,,4.0,87.0,76.0,4.0,8.0,719.0,,2.0,101.0,33.0,11.0,52.0,15.0
Objective Contest Time,38533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,12083.0,108.0,,48.0,4.0,366.0,13.0,600.0,358.0,,83.0,2.0,6.0,20.0,871.0,2.0,1881.0,,8.0,148.0,4.0,18.0,,137.0,2.0,273.0,104.0,,15.0,20.0,596.0,7.0,94.0,85.0,216.0,4.0,,19.0,689.0,247.0,93.0,71.0,2483.0,,8.0,2145.0,39.0,13.0,122.0,59.0
Multikills,462.0,7.0,,3.0,,17.0,2.0,25.0,26.0,,6.0,,,,34.0,,48.0,,,9.0,,,,2.0,,20.0,2.0,,,,36.0,,5.0,5.0,,2.0,,,43.0,12.0,2.0,3.0,84.0,,,12.0,5.0,,41.0,5.0
of Match on Fire,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,2767.0,,,,,,,,,,,,,,,,1453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.0,,,,
Defensive Assists,7015.0,1474.0,,,51.0,,132.0,,,,,,,,,,,,,,,167.0,80.0,377.0,13.0,,3478.0,,59.0,,,,,,,,,,347.0,,,,,,,,,,443.0,394.0
Offensive Assists,5030.0,1119.0,,,10.0,,40.0,,,,,,,,,,,3.0,,51.0,,36.0,,328.0,19.0,334.0,1370.0,,,119.0,,11.0,,70.0,87.0,17.0,,,,787.0,,,,,,,,,261.0,368.0
Healing Done,4198980.0,898526.0,200.0,,22666.0,89530.0,41133.0,440.0,17.0,1088.0,57.0,179.0,2638.0,,2318.0,,83.0,17491.0,8931.0,,10332.0,88451.0,37359.0,285616.0,4475.0,113260.0,1848057.0,1070.0,40019.0,,,1577.0,13339.0,,3402.0,,,,330374.0,46529.0,101.0,,400.0,,,24.0,,200.0,,118780.0
Assists,6309.0,818.0,,26.0,31.0,31.0,27.0,92.0,160.0,,5.0,,,,3.0,7.0,921.0,16.0,34.0,25.0,8.0,156.0,76.0,395.0,27.0,203.0,1444.0,,18.0,24.0,27.0,11.0,,31.0,11.0,17.0,,34.0,101.0,474.0,14.0,,4.0,,7.0,568.0,34.0,8.0,272.0,147.0
Cards,981.0,35.0,,3.0,,59.0,3.0,28.0,69.0,,2.0,,,,69.0,,83.0,,,5.0,,,,3.0,,44.0,93.0,,2.0,2.0,76.0,,7.0,10.0,28.0,,,,93.0,8.0,6.0,11.0,171.0,,,38.0,2.0,,15.0,13.0
Scoped Accuracy - Best in Game,,100.0,,75.0,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,
Self Healing,,58443.0,,,4722.0,89190.0,2980.0,,,1088.0,,,2030.0,,,,,1966.0,8931.0,,,,1341.0,93243.0,3184.0,113260.0,276306.0,,12461.0,,,,13339.0,,173721.0,,,,231938.0,,,,524819.0,,,,,,,6279.0
Self Healing - Most in Game,,969.0,,,1132.0,2312.0,,,,800.0,,,,,,,,970.0,2007.0,,,,501.0,2535.0,1073.0,1811.0,2441.0,,2068.0,,,,994.0,,4535.0,,,,1902.0,,,,1945.0,,,,,,,399.0
Enemies Slept,,1034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,24526.0,,,3738.0,,,,,,,,,,,,,,,,197.0,,,,,,87182.0,,,6594.0,,,,,,,,,,,,,,,,,,,,13769.0
Damage Amplified - Most in Game,,812.0,,,1322.0,,,,,,,,,,,,,,,,197.0,,,,,,1639.0,,,1417.0,,,,,,,,,,,,,,,,,,,,1915.0
Healing Amplified,,25012.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,1037.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,63.0,,47.0,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,
Self Healing - Avg per 10 Min,,370.0,,,903.0,898.0,342.0,,,1283.0,,,602.0,,,,,786.0,1868.0,,,,251.0,1289.0,966.0,841.0,1051.0,,1478.0,,,,597.0,,2381.0,,,,960.0,,,,847.0,,,,,,,196.0
Healing Amplified - Avg per 10 Min,,158.0,,,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified - Avg per 10 Min,,155.0,,,715.0,,,,,,,,,,,,,,,,86.47,,,,,,332.0,,,376.0,,,,,,,,,,,,,,,,,,,,429.0
Enemies Slept - Avg per 10 Min,,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,17.0,5.0,11.0,9.0,19.0,8.0,17.0,21.0,7.0,13.0,8.0,16.0,9.0,18.0,14.0,25.0,13.0,17.0,11.0,6.0,15.0,5.0,11.0,9.0,22.0,15.0,,9.0,14.0,19.0,12.0,23.0,18.0,17.0,10.0,4.0,9.0,28.0,18.0,13.0,10.0,26.0,4.0,4.0,17.0,16.0,10.0,20.0,12.0
All Damage Done - Most in Life,,5424.0,2649.0,8284.0,3112.0,15173.0,3101.0,9361.0,9903.0,2132.0,4360.0,4811.0,7228.0,3280.0,4806.0,4100.0,9323.0,4217.0,5533.0,5192.0,1536.0,3722.0,1041.0,4713.0,5308.0,18417.0,5971.0,715.0,2033.0,7067.0,10062.0,4606.0,8720.0,7642.0,8182.0,5086.0,1073.0,3633.0,8172.0,6336.0,4471.0,2917.0,6960.0,679.0,1625.0,6126.0,4892.0,4840.0,10132.0,3576.0
Weapon Accuracy - Best in Game,,61.0,33.0,100.0,92.0,100.0,,100.0,82.0,56.0,60.0,71.0,36.0,67.0,71.0,55.0,71.0,59.0,75.0,100.0,40.0,54.0,45.0,78.0,46.0,100.0,88.0,45.0,,66.0,100.0,52.0,60.0,,81.0,100.0,24.0,53.0,95.0,95.0,73.0,52.0,98.0,,67.0,100.0,90.0,53.0,100.0,67.0
Hero Damage Done - Most in Life,,4458.0,1523.0,5416.0,2612.0,6728.0,3101.0,6024.0,7660.0,2106.0,3144.0,2485.0,4311.0,3280.0,4708.0,3036.0,7049.0,3734.0,4871.0,4548.0,1407.0,3722.0,866.0,4348.0,4235.0,5982.0,4961.0,715.0,2033.0,5040.0,6782.0,4184.0,3445.0,6808.0,4028.0,5026.0,1073.0,3068.0,6121.0,6014.0,4039.0,2711.0,6447.0,679.0,1625.0,5356.0,4518.0,3775.0,7437.0,3171.0
Obj Contest Time - Most in Game,,89.0,55.0,34.0,43.0,33.0,107.0,129.0,172.0,22.0,31.0,12.0,10.0,30.0,67.0,85.0,127.0,30.0,63.0,85.0,87.0,116.0,18.0,135.0,200.0,128.0,104.0,,38.0,66.0,155.0,66.0,14.0,211.0,42.0,36.0,,65.0,92.0,91.0,30.0,18.0,155.0,7.0,30.0,160.0,78.0,64.0,151.0,68.0
Obj Contest Time - Avg per 10 Min,,20.0,39.0,17.0,27.0,16.0,77.0,22.0,55.0,47.0,71.0,17.0,6.0,16.0,31.0,45.0,19.0,31.0,62.0,31.0,44.0,27.0,11.0,42.0,101.0,44.0,23.0,,27.0,48.0,30.0,44.0,38.0,50.0,54.0,53.0,,25.0,23.0,35.0,35.0,17.0,34.0,12.0,31.0,10.0,41.0,103.0,46.0,28.0
Melee Final Blows - Avg per 10 Min,,0.33,,0.11,0.19,0.08,,0.32,0.54,1.18,0.43,0.71,,0.1,1.02,0.29,0.22,0.4,1.05,0.06,,0.15,0.19,1.67,0.61,0.27,0.19,,0.24,0.51,0.12,1.14,0.09,,0.42,1.31,,0.23,0.36,0.66,0.09,0.2,1.16,,0.5,0.22,1.15,1.6,0.51,0.47
All Damage Done - Avg per 10 Min,,3295.0,7963.0,11117.0,7438.0,10968.0,4757.0,8887.0,9952.0,9791.0,6233.0,10807.0,11996.0,8458.0,6961.0,12910.0,7931.0,8432.0,11650.0,9052.0,5081.0,5234.0,1071.0,4862.0,12192.0,11425.0,896.0,5885.0,5306.0,9199.0,9789.0,12486.0,7369.0,6701.0,7352.0,12204.0,6196.0,8137.0,10281.0,7347.0,5529.0,5531.0,7827.0,3040.0,8235.0,6346.0,7460.0,8560.0,10846.0,5816.0
Eliminations per Life,,1.37,1.67,1.97,2.69,2.13,1.31,1.92,3.13,2.5,1.33,1.69,2.89,1.45,1.84,1.31,1.88,1.86,4.13,1.36,0.85,1.95,0.56,1.64,2.35,1.85,0.45,,1.48,1.98,2.26,2.77,1.66,1.3,1.97,2.34,5.0,1.49,2.3,1.98,1.34,1.12,1.99,1.17,1.38,1.71,2.05,2.07,2.93,1.56
