,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Objective Kills - Most in Game,28,12,16,21,25,16,12,22,22,21,22,4,10,7,19,13,8,10,20,11,13,4,25,9,10,7,12,14,17,26,10,21,16,18,17,9,13,20,10,18,22,17,12,11,9,16,28,8,22,14
Objective Time - Most in Game,371,273,168,130,243,189,175,212,246,177,193,37,122,220,179,105,57,84,169,20,89,89,255,46,93,189,76,79,205,251,118,174,299,196,171,55,110,165,193,115,213,181,101,73,80,371,241,37,238,134
Multikill - Best,5,,3,3,3,5,3,4,4,4,4,,3,3,3,4,3,,4,3,,,4,,4,,,3,3,4,,4,5,3,3,3,3,3,3,4,3,3,,3,,3,3,,4,3
Solo Kills - Most in Game,33,3,4,5,6,6,2,7,7,9,4,,6,4,7,5,4,3,8,,2,,6,,4,3,3,4,4,9,2,4,4,8,3,5,7,5,6,6,5,4,4,2,11,4,4,2,5,6
Time Spent on Fire - Most in Game,98,37,36,31,46,56,25,53,22,53,31,39,63,41,54,51,26,30,31,51,47,47,28,36,28,29,67,26,35,32,52,,72,98,81,58,50,67,66,20,,32,45,51,34,76,64,42,50,44
Melee Final Blows - Most in Game,5,4,2,2,,,,2,3,3,2,,3,3,,2,5,2,,,,,5,,,,,,,2,2,,,3,3,,,,2,2,2,2,,3,,,3,,,2
Environmental Kills - Most in Game,8,,,,,,,,,4,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Kill Streak - Best,30,10,13,21,13,15,12,23,26,18,19,9,20,10,18,13,12,14,17,11,9,9,12,10,12,9,18,12,22,24,11,20,18,18,24,9,22,18,13,16,24,16,15,15,16,30,21,8,25,15
Hero Damage Done - Most in Game,20579,5660,20354,11527,14355,13573,5136,12951,16469,13247,14478,11343,10876,15325,15507,8769,4144,15216,13992,7604,7805,4066,9013,16674,8528,4045,6497,9002,9431,17127,12497,8977,14914,16304,16288,13691,14310,12934,10248,7870,11100,16715,11604,12220,10769,13489,14600,8551,14536,14047
Barrier Damage Done - Most in Game,13398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,24,19,2,2,24,,18,2,8,10,,,,3,3,11,13,5,3,16,18,9,19,15,3,13,21,10,4,4,4,,5,12,3,,7,3,11,,,,6,4,6,4,7,6,16,15
Objective Contest Time - Most in Game,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
Hero Damage Done - Avg per 10 Min,7291,3119,8187,8894,4915,10749,4000,8244,7374,7240,8512,11416,8036,10283,8526,6868,4533,9993,9719,5866,5633,3464,4432,14075,7214,978,7999,5746,7722,10023,14443,8090,6967,7790,8793,12925,10587,9847,6569,7882,8781,7565,7929,9486,6347,6646,7151,6320,7782,6001
Deaths - Avg per 10 Min,7.17,6.45,6.37,6.87,6.47,8.74,7.57,7.54,5.43,8.57,7.19,5.91,7.06,6.47,7.15,5.97,5.17,6.01,7.98,4.89,7.57,3.8,7.17,8.64,8.04,8.13,1.23,8.06,6.16,7.85,7.17,7.14,8.49,6.26,5.97,4.61,6.11,8.05,6.64,7.78,6.19,7.45,8.32,6.58,7.42,7.53,7.77,5.07,5.66,7.09
Eliminations - Avg per 10 Min,18.89,10.0,19.21,20.18,13.19,24.47,14.3,20.97,22.8,20.26,20.56,12.93,20.94,19.06,19.95,16.16,20.13,17.48,20.31,16.17,11.31,11.92,15.23,27.35,17.71,4.2,22.16,18.13,21.35,25.6,18.2,24.32,15.74,20.51,19.61,21.5,26.32,25.21,18.42,21.43,24.13,22.39,18.55,17.94,16.89,18.33,17.11,13.26,23.01,16.78
Assists - Avg per 10 min,4.92,12.26,0.21,1.62,9.54,1.11,13.18,1.94,25.05,4.55,0.18,,0.21,2.27,4.05,5.84,11.69,4.27,2.44,9.1,9.71,7.86,13.58,13.44,3.02,21.11,25.85,9.97,3.37,2.8,2.76,,3.36,5.39,1.83,,2.02,1.23,5.93,2.82,,,2.44,1.59,2.94,3.06,6.24,4.68,6.89,14.95
Healing Done - Avg per 10 Min,1723,6573,7.71,,7579,1359,8406,,4.95,61.42,158,,42.72,254,,7793,6834,1420,,7882,6618,7962,7579,2495,1125,7042,13421,6776,,,425,1239,,4254,,,,1212,427,10.94,,1.86,44.89,,0.34,24.76,14.67,7174,,5802
Final Blows - Avg per 10 Min,9.59,2.84,8.94,10.61,5.11,15.21,4.46,14.15,9.84,12.84,11.02,7.02,11.19,8.57,13.16,6.98,4.9,9.21,12.96,4.21,4.27,3.8,3.79,12.48,8.04,2.14,11.08,5.27,6.43,15.33,11.03,13.68,9.7,11.25,8.87,12.29,15.33,12.58,7.55,11.38,10.02,9.91,10.17,9.99,11.59,8.02,7.2,4.1,9.12,7.3
Time Spent on Fire - Avg per 10 Min,17,8,95,4,26,17,3,11,1,13,11,100,22,108,9,62,83,27,9,118,41,96,2,117,27,8,310,9,7,11,181,,3,26,11,135,48,20,47,3,,13,85,116,14,9,13,78,13,17
Objective Contest Time - Avg per 10 Min,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.01,0.33,1.64,2.12,0.7,2.59,0.46,3.16,2.22,3.52,2.21,0.74,2.52,1.57,3.37,1.05,1.9,1.47,3.39,0.54,0.75,0.25,1.28,0.48,1.31,0.54,3.69,0.83,1.16,3.74,2.21,2.25,1.32,2.15,0.97,4.1,3.87,2.16,1.84,2.35,2.41,1.95,1.52,1.14,4.56,1.22,1.46,0.59,0.96,1.23
Objective Kills - Avg per 10 Min,7.26,4.49,5.45,8.62,6.38,10.62,6.6,7.46,7.31,6.92,7.31,2.59,6.48,5.25,8.08,4.57,4.35,5.34,9.12,4.21,4.69,2.28,7.26,7.68,6.56,1.34,14.77,8.06,11.34,9.53,8.27,12.16,6.21,7.53,8.32,7.68,9.94,9.78,5.22,9.54,10.64,9.1,5.41,6.81,3.42,7.2,8.27,3.51,8.68,7.38
Objective Time - Avg per 10 Min,73,60,45,52,74,47,77,65,104,69,70,18,61,111,50,38,30,71,60,6,40,33,96,36,58,69,93,48,110,51,106,96,104,77,77,41,55,50,51,66,62,75,53,41,15,95,108,20,107,51
Time Played,798151,30895,5839,19560,28196,9269,14265,30792,55126,58431,25272,1624,17589,3431,35069,13665,2206,4496,19999,4416,5625,2366,37510,1250,3659,6715,487,10130,6718,17813,1088,9080,73816,18402,28552,1172,14249,14973,8500,8175,9697,22159,9089,2643,21594,25665,28016,3076,17496,8296
Games Played,1735,67,9,45,57,21,32,69,118,128,57,3,38,8,78,26,5,12,45,9,13,4,81,2,9,14,,20,14,37,2,23,168,41,67,2,27,32,20,20,23,45,17,5,50,51,59,6,37,18
Games Won,868,32,2,21,34,15,19,34,61,66,30,,19,2,40,15,4,3,26,3,2,3,42,1,2,6,,9,9,21,1,11,73,22,34,,15,20,11,9,15,25,8,2,21,19,26,3,18,12
Games Lost,867,35,7,24,24,6,13,36,57,62,27,2,19,6,38,11,1,9,18,6,10,1,38,,7,8,0,11,4,16,2,12,95,20,33,,12,13,10,11,8,20,9,3,29,32,34,3,19,6
Hero Wins,156,4,2,2,9,2,,1,0,10,3,,6,2,,15,4,3,2,3,2,3,4,1,1,,,2,1,,1,,2,6,2,,15,3,4,,,6,8,2,6,,3,3,2,2
Objective Time,97310,3106,436,1682,3464,734,1830,3336,9573,6760,2934,49,1783,637,2949,854,109,528,2003,46,374,132,6015,74,354,776,76,817,1235,1529,192,1456,12852,2362,3659,80,1308,1249,724,896,1005,2768,801,183,536,4044,5058,103,3133,708
Eliminations,25128,515,187,658,620,378,340,1076,2095,1973,866,35,614,109,1166,368,74,131,677,119,106,47,952,57,108,47,18,306,239,760,33,368,1936,629,933,42,625,629,261,292,390,827,281,79,608,784,799,68,671,232
Environmental Kills,202,,,5,,,2,,7,23,,,,,,,5,,,,,,85,,,,,,3,20,,,14,7,,,,,,,,,,3,,7,20,,,
Hero Damage Done,9698552,160594,79681,289929,230966,166063,95104,423077,677512,705067,358533,30898,235591,58810,498328,156417,16667,74870,323936,43176,52816,13661,277096,29331,43994,10951,6497,97003,86461,297551,26193,122426,857075,238906,418445,25244,251411,245726,93055,107390,141912,279374,120109,41782,228419,284286,333917,32402,226928,82973
Final Blows,12755,146,87,346,240,235,106,726,904,1250,464,19,328,49,769,159,18,69,432,31,40,15,237,26,49,24,9,89,72,455,20,207,1193,345,422,24,364,314,107,155,162,366,154,44,417,343,336,21,266,101
Deaths,9539,332,62,224,304,135,180,387,499,835,303,16,207,37,418,136,19,45,266,36,71,15,448,18,49,91,,136,69,233,13,108,1044,192,284,9,145,201,94,106,100,275,126,29,267,322,363,26,165,98
Damage Done,9698552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,9652,231,53,281,300,164,157,383,672,674,308,7,190,30,472,104,16,40,304,31,44,9,454,16,40,15,12,136,127,283,15,184,764,231,396,15,236,244,74,130,172,336,82,30,123,308,386,18,253,102
Time Spent on Fire,22219,423,920,141,1243,263,71,576,97,1305,458,270,649,615,542,1416,306,199,303,869,383,377,99,243,165,91,252,151,76,320,328,,380,804,522,264,1133,504,661,39,,472,1294,510,516,385,584,398,365,239
Melee Final Blows,474,17,2,4,14,3,,21,25,48,9,,28,6,10,7,10,8,4,,,,55,,2,3,,,4,3,2,2,,35,27,,5,9,10,4,4,32,,6,3,3,33,3,6,4
Objective Contest Time,9062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,2668,17,16,69,33,40,11,162,204,343,93,2,74,9,197,24,7,11,113,4,7,,80,,8,6,3,14,13,111,4,34,162,66,46,8,92,54,26,32,39,72,23,5,164,52,68,3,28,17
Multikills,252,,5,3,3,5,2,20,24,12,7,,12,,2,4,3,,10,,,,10,,2,,,,3,15,,14,26,,12,,7,8,2,4,2,8,,,,2,7,,11,
of Match on Fire,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,167,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,
Defensive Assists,3301,513,,,647,,586,,,,,,,,,,35,,,,98,38,495,25,,140,24,192,,,,,,3,,,,55,,,,,,,,,,,211,239
Offensive Assists,2195,405,,,88,,73,,,,,,,,,25,11,,27,,29,,444,25,22,61,,,66,,5,,279,155,157,,,,88,,,,,,,,,,95,140
Healing Done,2291869,338425,75,,356157,20993,199861,,455,5981,6638,,1252,1452,,177471,25129,10640,,58011,62044,31398,473786,5199,6860,78806,10901,114404,,,771,18746,,25202,,,,30238,6053,149,,69,680,,12,1059,685,36780,,80230
Assists,1351,114,2,7,121,4,43,8,8,73,,,2,13,17,133,43,32,8,67,91,31,70,28,3,13,21,21,5,8,5,,11,43,7,,48,4,32,,,,37,7,30,8,25,24,24,58
Cards,451,13,,10,18,9,14,18,36,14,10,,7,,14,,,,14,,,2,23,,2,4,,4,4,15,,10,88,10,23,,,12,3,4,10,10,,,6,14,11,,13,5
Scoped Accuracy - Best in Game,,83,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Self Healing,,24734,,,53449,20993,31446,,,,,,,,,17814,,9768,,,,1797,120242,4115,6860,15176,,20814,,,,18746,,129427,,,,18227,,,,30742,,,,,,,,1997
Self Healing - Most in Game,,1236,,,2427,2522,,,,,,,,,,1266,,3184,,,,656,3653,2734,906,2710,,2173,,,,1886,,7434,,,,1387,,,,1631,,,,,,,,380
Enemies Slept,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,3548,,,35576,,,,,,,,,,,,,,,2426,,,,,,7509,,,22978,,,,,,,,,,,,,,,,,,,,,5392
Damage Amplified - Most in Game,,661,,,1755,,,,,,,,,,,,,,,629,,,,,,1590,,,3782,,,,,,,,,,,,,,,,,,,,,1299
Healing Amplified,,17214,,,7489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,,,,,,,,,,,,,,1461,,
Healing Amplified - Most in Game,,915,,,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,,
Scoped Accuracy,,55,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,
Healing Amplified - Avg per 10 Min,,334,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.64,,,,,,,,,,,,,,285,,
Self Healing - Avg per 10 Min,,480,,,1137,1359,1323,,,,,,,,,782,,1304,,,,456,1923,1975,1125,1356,,1233,,,,1239,,4220,,,,730,,,,832,,,,,,,,144
Damage Amplified - Avg per 10 Min,,68.91,,,757,,,,,,,,,,,,,,,330,,,,,,671,,,2052,,,,,,,,,,,,,,,,,,,,,390
Biotic Grenade Kills - Avg per 10 Min,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,10,13,21,13,15,12,23,26,18,19,9,20,10,18,13,12,14,17,11,9,9,12,10,12,9,18,12,22,24,11,20,18,18,24,9,22,18,13,16,24,16,15,15,16,30,21,8,25,15
All Damage Done - Most in Life,,3868,5055,11924,7409,9620,4133,10812,10152,7641,8929,7224,7512,5617,8619,7261,3477,6588,8456,4606,2923,2547,3790,3502,15353,2205,5586,3912,8624,15331,10819,7491,8551,7139,13507,5919,8082,8385,7328,7878,8830,9227,7901,5808,7325,8753,9816,9213,10910,5201
Weapon Accuracy - Best in Game,,67,36,62,50,54,,83,45,70,52,35,59,37,48,59,44,46,44,49,40,26,55,54,61,56,37,,69,100,35,50,,58,66,32,36,74,75,83,53,68,,61,100,100,68,44,75,52
Hero Damage Done - Most in Life,,3179,4473,7140,4996,7416,3246,8923,6547,6956,7543,5358,6592,3877,7383,5144,2071,5569,7293,3440,2863,2277,3705,3502,4395,1455,5586,3912,6041,9025,7984,4637,6221,6411,9441,4221,7596,5749,7049,5886,6936,7154,5416,4700,6863,7318,7067,8551,10910,4554
Obj Contest Time - Most in Game,,60,119,24,74,34,40,44,74,173,62,4,58,104,42,105,47,75,11,14,73,32,57,30,28,9,76,41,34,13,118,65,75,72,84,18,110,12,20,1,,149,88,68,5,107,78,28,102,34
Obj Contest Time - Avg per 10 Min,,18,34,10,21,20,24,33,233,65,29,3,33,66,14,26,23,51,7,5,28,12,43,28,36,17,93,41,40,10,97,95,59,46,53,15,39,8,16,2,,44,34,29,3,74,67,15,58,18
Melee Final Blows - Avg per 10 Min,,0.33,0.21,0.12,0.3,0.19,,0.41,0.27,0.49,0.21,0.37,0.96,1.05,0.17,0.31,2.72,1.07,0.12,0.14,0.11,,0.88,,0.33,0.27,,,0.36,0.1,1.1,0.13,,1.14,0.57,,0.21,0.36,0.71,0.29,0.25,0.87,,1.36,0.08,0.07,0.71,0.59,0.21,0.29
All Damage Done - Avg per 10 Min,,4395,9115,11621,6693,14682,4891,11326,12596,8639,12757,16194,10397,16785,12283,7738,5947,10958,13864,7114,6503,3889,5875,15213,35071,1240,7999,6392,11998,14596,18374,11069,8788,11543,12572,15353,13142,13366,8565,11503,12676,10101,9657,10611,7282,7987,10028,7269,10804,8549
Eliminations per Life,,1.55,3.02,2.94,2.04,2.8,1.89,2.78,4.2,2.36,2.86,2.19,2.97,2.95,2.79,2.71,3.89,2.91,2.55,3.31,1.49,3.13,2.13,3.17,2.2,0.52,18,2.25,3.46,3.26,2.54,3.41,1.85,3.28,3.29,4.67,4.31,3.13,2.78,2.75,3.9,3.01,2.23,2.72,2.28,2.43,2.2,2.62,4.07,2.37
Win Percentage,,47,22,47,59,72,60,48,52,52,53,35,50,26,51,57,74,22,59,34,18,72,52,51,22,45,100,44,67,57,25,47,43,52,51,50,56,61,53,46,64,56,47,44,42,38,43,50,48,65
All Damage Done,,226281,88710,378849,314548,226810,116285,581254,1157285,841306,537305,43829,304794,95994,717956,176229,21867,82101,462110,52359,60970,15338,367250,31703,213867,13877,6497,107919,134334,433340,33321,167505,1081167,354012,598276,29985,312091,333542,121335,156729,204849,373053,146294,46737,262096,341623,468237,37268,315038,118208
Obj Contest Time,,169,329,42,263,72,80,136,74,1046,156,7,315,379,59,602,84,385,22,37,258,47,222,58,36,11,76,85,59,28,177,85,192,366,201,29,936,26,88,1,,358,508,126,26,192,268,75,202,69
Weapon Accuracy,,28,30,37,34,27,,41,26,28,30,32,30,30,29,50,40,38,30,41,30,22,31,41,49,34,37,,32,49,31,30,,29,56,30,27,38,36,31,29,35,,51,37,58,37,30,41,29
Offensive Assists - Avg per 10 Min,,7.87,,,1.87,,3.07,,,,,,,,,1.1,2.99,,0.81,,3.09,,7.1,12.0,3.61,5.45,,,5.89,,2.76,,2.27,5.05,3.3,,,,6.21,,,,,,,,,,3.26,10.13
Defensive Assists - Avg per 10 Min,,9.96,,,13.77,,24.65,,,,,,,,,,9.52,,,,10.45,9.64,7.92,12.0,,12.51,29.55,11.37,,,,,,0.1,,,,2.2,,,,,,,,,,,7.24,17.28
Critical Hit Damage,,,2481,,,,,,,,,,,,,,,,,,,,,12932,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2481,,,,,,,,,,,,,,,,,,,,,7972,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,255,,,,,,,,,,,,,,,,,,,,,6206,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,29,18,56,20,,14,630,179,67,,28,,22,22,153,53,,,30,105,35,243,7,26,16,,89,,216,175,,234,,122,100,48,120,,11,295,34,,31,,154,,,33
Critical Hits - Most in Life,,,16,15,28,12,,7,316,105,34,,23,,15,17,95,20,,,11,52,18,51,6,9,16,,48,,93,88,,234,,56,68,30,67,,11,118,,,17,,84,,,13
Critical Hit Kill - Most in Game,,,1,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Avg per 10 Min,,,0.1,3.01,1.34,0.83,,3.89,3.13,1.74,1.11,0.37,1.34,0.17,5.95,1.14,,0.27,,,2.03,1.27,0.58,0.48,,1.62,1.23,,0.67,,1.65,5.56,,2.88,,1.54,0.8,1.54,2.41,,,1.35,,,9.22,,1.75,,,2.32
Critical Hits - Avg per 10 Min,,,2.98,10.83,17.26,8.74,,6.18,215,38.56,30.46,,16.51,7.34,10.59,12.69,142,9.74,,,21.23,96.61,13.85,226,7.05,5.09,19.7,,7.95,,207,112,,142,,117,25.14,28.81,69.39,,5.45,103,21.32,,15.31,,10.54,,,11.43
Knockback Kills,,,7,85,,,128,,344,1482,,,,,,33,22,,242,,,,565,,,,,,,65,,,141,85,,,,,,,,,,,,111,487,,,
Knockback Kills - Most in Game,,,7,2,,,5,,5,24,,,,,,4,8,,9,,,,13,,,,,,,4,,,2,7,,,,,,,,,,,,3,28,,,
Knockback Kills - Avg per 10 Min,,,0.72,2.61,,,5.38,,3.74,15.22,,,,,,1.45,5.98,,7.26,,,,9.04,,,,,,,2.19,,,1.15,2.77,,,,,,,,,,,,2.59,10.43,,,
Critical Hits,,,29,353,811,135,,317,19768,3755,1283,,484,42,619,289,522,73,,,199,381,866,471,43,57,16,,89,,375,1688,,4350,,228,597,719,983,,88,3787,,,551,,492,,,158
Critical Hit Kill,,,1,,,,,,1,,,1,,1,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
Critical Hit Accuracy,,,2,12,8,1,,5,7,7,9,,8,1,13,12,9,1,,,21,16,8,9,6,10,16,,1,,17,7,,15,,9,4,6,9,,5,7,,,16,,1,,,11
Scoped Critical Hits,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,
Scoped Critical Hits - Most in Game,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
Dynamite Kills,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
