,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Objective Kills - Most in Game,23,12,6,14,10,5,16,13,10,4,13,8,6,11,15,10,13,,,15,5,,9,15,7,4,5,,9,13,5,7,7,7,9,14,17,11,8,4,13,11,10,5,9,11,23,11,7,9
Objective Time - Most in Game,242,167,32,151,91,54,130,158,109,29,110,58,53,78,167,65,103,,25,134,67,13,118,141,65,39,86,6,48,63,28,49,110,83,111,42,89,64,68,50,124,75,105,49,89,67,242,65,48,67
Multikill - Best,6,3,3,5,3,3,,4,4,,3,3,3,4,6,3,3,,3,3,3,,3,3,,,,,,3,,3,4,,,3,4,4,,,3,3,4,3,4,,3,,,3
Solo Kills - Most in Game,39,5,4,7,2,4,2,10,9,2,10,7,5,6,12,,9,,4,6,10,,8,10,,6,8,,,15,3,5,5,11,2,3,7,11,12,,7,9,12,5,17,5,12,3,,7
Time Spent on Fire - Most in Game,96,58,39,67,40,39,,96,67,48,50,50,49,78,71,35,48,,48,85,36,15,60,59,24,35,37,,,46,,,51,15,78,48,70,85,28,16,24,38,67,52,57,,82,59,,41
Melee Final Blows - Most in Game,11,2,,,,2,,2,8,,3,3,,3,7,,2,,4,4,,,2,11,,,4,,,2,,,,2,3,,3,3,5,,2,7,,2,3,3,9,3,2,6
Environmental Kills - Most in Game,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,5,,,,,,,,,,,,,,6,,,
Kill Streak - Best,35,11,8,29,12,10,14,18,25,6,24,16,15,13,30,13,16,2,16,35,8,3,19,20,6,7,13,3,10,16,7,11,12,15,26,11,15,17,13,6,14,13,15,9,19,17,27,11,10,11
Hero Damage Done - Most in Game,26833,7304,9029,21461,9223,11107,4722,16767,14540,7026,12950,12507,14683,13922,16694,10562,15464,1375,4993,15962,7053,2257,8485,10518,3846,7977,5046,1458,2935,11229,7112,8184,19610,7062,11369,10439,26833,22012,5597,3381,10483,8288,20270,10685,10574,5030,22604,7594,6063,9626
Barrier Damage Done - Most in Game,8495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,31,31,,9,20,5,,8,13,2,4,2,,2,,7,12,,6,13,4,,20,21,2,3,24,,,2,5,,4,3,5,,2,4,2,2,,,5,3,9,,11,8,,13
Objective Contest Time - Most in Game,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,16,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
Hero Damage Done - Avg per 10 Min,8596,4335,6992,11435,7072,10262,3830,10737,10728,11200,6368,10519,11779,10222,7623,11513,7567,14371,3859,13761,7034,6520,6306,5046,9978,7169,1504,4476,5958,10242,7975,10020,12314,6557,12918,9785,12622,11199,3704,5645,7741,6276,9313,10062,5747,6210,10318,6797,8064,7182
Deaths - Avg per 10 Min,8.38,6.0,10.31,7.35,7.72,7.66,8.89,8.88,5.24,6.27,11.35,8.34,7.83,8.96,8.75,3.66,10.23,10.45,4.42,5.62,9.43,2.89,7.4,7.76,8.15,7.65,9.35,11.61,5.05,9.85,10.73,8.89,8.47,7.97,4.74,7.28,7.72,8.15,7.89,9.49,10.07,9.86,12.37,8.71,8.87,8.05,5.01,6.39,6.84,8.88
Eliminations - Avg per 10 Min,21.14,13.26,18.53,22.17,16.15,20.47,14.11,22.68,25.99,20.9,18.01,26.65,21.44,16.6,22.38,31.1,21.69,20.9,13.25,30.98,18.37,8.67,17.75,19.01,18.34,14.78,5.74,11.61,25.24,26.96,14.57,28.38,18.74,19.62,22.91,17.06,28.21,23.87,14.88,14.98,20.92,17.39,21.23,22.25,17.88,25.05,23.46,16.27,21.36,21.67
Assists - Avg per 10 min,3.64,14.19,,3.18,8.49,3.54,4.88,1.62,8.5,2.09,3.71,0.54,,0.35,0.02,7.32,6.71,,4.91,10.38,3.35,,11.28,11.5,4.08,1.96,15.15,,,1.01,3.83,,1.77,5.83,3.08,,0.14,0.84,2.61,7.41,0.35,,2.25,1.93,3.44,,4.97,4.53,3.77,12.53
Healing Done - Avg per 10 Min,836,6532,317,,5337,1073,5398,4.95,,2649,2.52,41.3,859,214,31.51,1693,6.75,6785,5668,3823,,7198,6162,3578,1939,1589,4464,4657,,,,2120,,3896,,,,1392,1045,,,0.3,109,,,,98.28,6007,,3314
Final Blows - Avg per 10 Min,12.86,4.31,6.79,12.8,7.72,11.49,4.7,15.1,14.83,9.41,11.69,17.4,12.26,10.07,13.88,15.25,15.94,10.45,5.4,17.13,14.19,2.89,9.19,8.47,10.19,8.18,3.31,4.35,6.73,19.36,6.9,20.51,10.26,11.44,11.85,8.03,16.77,14.82,7.89,6.49,11.5,9.47,14.07,11.61,12.92,8.94,13.64,7.42,9.4,11.18
Time Spent on Fire - Avg per 10 Min,69,75,53,111,73,67,,90,147,142,6,126,112,86,27,176,13,,83,189,18,43,87,21,86,74,21,,,53,,,130,6,171,82,146,112,9,15,7,16,90,101,25,,128,90,,68
Objective Contest Time - Avg per 10 Min,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,3.45,1.02,2.35,2.3,1.08,2.16,0.78,2.8,3.16,2.09,4.39,2.89,2.26,1.87,3.19,0.61,4.98,,1.96,2.51,6.71,,2.53,3.27,,2.11,1.56,,,6.33,2.3,6.84,1.63,4.09,1.13,1.76,2.59,3.63,3.43,2.0,4.03,3.54,3.63,3.87,5.98,3.13,4.66,1.44,0.43,3.42
Objective Kills - Avg per 10 Min,4.72,3.54,3.26,4.49,6.64,4.66,6.01,5.09,4.04,7.32,4.37,3.47,3.76,3.25,5.53,7.32,5.56,,0.98,7.27,3.4,,4.87,4.47,14.27,4.22,0.88,,15.14,7.32,3.83,6.84,4.24,6.33,5.42,5.27,6.43,4.63,3.82,5.99,5.91,4.17,3.6,4.35,3.37,7.6,5.78,4.53,5.13,4.26
Objective Time - Avg per 10 Min,38,44,23,32,34,19,74,36,51,41,38,25,18,30,48,45,33,,23,84,26,39,37,50,132,37,36,15,74,40,34,52,55,50,100,17,33,21,36,65,29,40,31,44,14,63,66,31,55,24
Time Played,677364,24210,4597,28174,3343,3605,2296,71759,22578,574,22951,12451,7974,20497,94895,984,28908,57,1223,6934,6174,208,9733,25656,294,2274,6163,414,713,8524,783,1755,3683,2936,5317,2391,21074,43266,4717,1201,9234,19836,26145,1240,59557,1342,41823,2913,1404,8584
Games Played,1430,50,9,60,7,8,5,144,51,,54,24,17,40,208,1,66,0,3,14,14,0,20,55,0,6,14,1,2,17,1,4,8,6,12,4,45,85,9,3,22,45,50,2,131,2,87,5,4,18
Games Won,747,25,6,33,5,3,1,74,34,,18,13,8,16,109,1,26,,,9,5,,13,30,,,4,,2,6,0,3,4,3,8,2,30,52,1,1,11,17,23,,68,1,61,3,2,12
Games Lost,683,25,3,26,2,4,4,70,17,0,36,11,9,24,99,0,40,0,3,6,9,0,7,24,0,5,11,1,0,10,1,1,4,4,3,1,14,33,8,1,11,28,27,1,63,2,26,2,2,6
Hero Wins,500,21,6,30,5,2,,62,32,,,13,8,16,32,1,5,,,9,,,13,11,,,2,,,5,0,,4,0,8,2,30,48,,0,,6,23,,30,,59,3,1,9
Environmental Kills,122,,,,,,,3,6,,12,,,,2,,,,2,,,,,44,,,,,,8,,,8,3,,,,,,,,,6,,,3,19,,,
Multikills,213,2,2,12,,2,,28,9,,4,6,6,3,56,2,5,,,8,,,,3,,,,,,9,,4,,,,2,9,14,,,2,2,5,,6,,5,,,
Objective Time,43046,1794,177,1524,190,115,282,4362,1923,39,1452,522,244,1026,7599,73,1588,,46,968,271,13,607,2145,65,141,367,10,88,572,44,153,337,245,888,67,1175,1533,281,129,444,1334,1348,91,1382,140,4622,150,128,349
Eliminations,23866,535,142,1041,90,123,54,2713,978,20,689,553,285,567,3539,51,1045,2,27,358,189,3,288,813,9,56,59,8,30,383,19,83,115,96,203,68,991,1721,117,30,322,575,925,46,1775,56,1635,79,50,310
Hero Damage Done,9704200,174937,53571,536944,39405,61650,14657,1284165,403707,10717,243597,218281,156539,349188,1205618,18878,364564,1375,7863,159031,72383,2257,102292,215771,4895,27172,15448,3085,7082,145513,10402,29309,75579,32086,114465,39000,443341,807536,29125,11304,119132,207471,405811,20802,570498,13886,719254,32992,18872,102749
Final Blows,14514,174,52,601,43,69,18,1806,558,9,447,361,163,344,2196,25,768,,11,198,146,,149,362,5,31,34,3,8,275,9,60,63,56,105,32,589,1069,62,13,177,313,613,24,1282,20,951,36,22,160
Deaths,9463,242,79,345,43,46,34,1062,197,6,434,173,104,306,1384,6,493,,9,65,97,,120,332,4,29,96,8,6,140,14,26,52,39,42,29,271,588,62,19,155,326,539,18,880,18,349,31,16,127
Damage Done,9704200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,5332,143,25,211,37,28,23,609,152,7,167,72,50,111,874,12,268,,2,84,35,,79,191,7,16,9,,18,104,5,20,26,31,48,21,226,334,30,12,91,138,157,9,335,17,403,22,12,61
Time Spent on Fire,78056,3008,403,5228,409,405,,10791,5520,136,219,2613,1493,2955,4280,289,617,,168,2181,184,15,1413,886,42,282,214,,,749,,,799,31,1517,328,5114,8056,71,31,112,542,3942,209,2465,,8933,435,,970
Melee Final Blows,1039,17,,11,2,3,,28,123,,18,13,2,14,270,,15,,4,25,,,8,107,,,10,,,7,2,3,,5,11,,16,32,10,,4,59,,3,28,4,145,4,2,27
Objective Contest Time,13987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,3892,41,18,108,6,13,3,335,119,2,168,60,30,64,505,,240,,4,29,69,,41,140,,8,16,,,90,3,20,10,20,10,7,91,262,27,4,62,117,158,8,594,7,325,7,,49
of Match on Fire,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,720,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,
Defensive Assists,1378,409,,,59,,71,,,,,,,,,,,,10,,,,191,268,,,87,9,,,,,,,,,,110,,,,,,,,,,,13,150
Offensive Assists,1070,333,,,4,,16,,,,,,,,,,,,4,,13,,76,282,2,8,65,,11,,5,,11,23,24,,,,40,,,,,,,,,,5,148
Healing Done,943636,263558,2431,,29738,6444,20657,592,,2534,96,857,11415,7310,4983,2777,325,649,11550,44180,,2492,99956,152980,951,6021,45851,3210,,,,6202,,2326,,,,100401,8213,,,10,4765,,,,6851,29160,,47407
Assists,2583,441,,136,45,12,,157,274,2,11,11,,12,,12,90,,10,120,7,,183,140,2,4,60,,,8,5,,9,4,25,,5,56,7,2,,,98,4,136,,327,22,3,140
Cards,224,6,,10,,2,2,15,4,,7,4,4,,76,,13,,,,4,,,16,,,2,,,4,,2,,2,,2,,3,,,11,5,,,17,2,4,,,
Scoped Accuracy - Best in Game,,100,,63,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,
Self Healing,,14966,,,5273,5315,5922,,,2065,,,9647,,,,,98,,38220,,,,71441,339,5070,10776,996,,,,6202,,19067,,,,82356,,,,34251,,,,,,,,4562
Self Healing - Most in Game,,1559,,,1404,2137,,,,1106,,,,,,,,98,,4097,,,,2663,215,1602,1969,580,,,,1580,,5925,,,,2110,,,,1453,,,,,,,,481
Enemies Slept,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,17263,,,2869,,,,,,,,,,,,,,,,,153,,,,,6458,,1852,,,,,,,,,,,,,,,,,,,,,11034
Damage Amplified - Most in Game,,958,,,725,,,,,,,,,,,,,,,,,153,,,,,1311,,774,,,,,,,,,,,,,,,,,,,,,1270
Healing Amplified,,13070,,,2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,,
Healing Amplified - Most in Game,,1076,,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,
Scoped Accuracy,,60,,44,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,
Healing Amplified - Avg per 10 Min,,324,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,
Self Healing - Avg per 10 Min,,371,,,946,885,1548,,,2158,,,726,,,,,1025,,3307,,,,1671,691,1338,1049,1444,,,,2120,,3896,,,,1142,,,,1036,,,,,,,,319
Damage Amplified - Avg per 10 Min,,428,,,515,,,,,,,,,,,,,,,,,441,,,,,629,,1558,,,,,,,,,,,,,,,,,,,,,771
Biotic Grenade Kills - Avg per 10 Min,,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,11,8,29,12,10,14,18,25,6,24,16,15,13,30,13,16,2,16,35,8,3,19,20,6,7,13,3,10,16,7,11,12,15,26,11,15,17,13,6,14,13,15,9,19,17,27,11,10,11
All Damage Done - Most in Life,,4222,2952,17348,3846,5847,2866,9223,9420,2670,7819,7100,8723,7446,10318,7134,6592,1375,5146,15892,3721,3190,4122,5305,3267,14018,1989,1102,2905,6732,2963,3920,5343,5266,15264,4115,7783,9390,2290,1981,4527,3485,5640,2570,5699,3696,12455,4147,3692,6324
Weapon Accuracy - Best in Game,,69,56,60,62,40,,66,49,48,50,54,57,60,56,27,67,72,40,56,31,40,50,80,42,63,59,,32,100,43,55,,39,66,33,37,67,58,43,49,54,,65,86,,57,36,57,45
Hero Damage Done - Most in Life,,2997,2669,11332,3846,5824,2028,7470,9052,2371,7594,5169,7476,6315,8425,4199,5402,1375,4041,14516,3043,2114,4122,4699,2878,4510,1949,1102,2668,5656,2629,3362,4674,4330,10966,3942,6204,7670,2112,1981,3593,3485,5311,2570,5699,3392,11181,3993,2890,3642
Obj Contest Time - Most in Game,,56,29,42,91,14,2,158,78,19,46,39,23,53,62,53,44,,13,57,8,3,87,68,56,17,21,,,40,28,,42,13,111,33,33,59,7,2,10,37,58,31,25,,212,37,14,12
Obj Contest Time - Avg per 10 Min,,12,15,12,23,10,7,16,31,25,33,14,8,11,27,37,19,,11,48,6,8,24,24,115,19,14,,,16,30,,27,24,44,14,11,10,8,9,9,19,20,20,3,,50,17,34,7
Melee Final Blows - Avg per 10 Min,,0.42,0.13,0.23,0.36,0.5,,0.23,3.27,1.05,0.47,0.63,0.15,0.41,1.71,0.61,0.31,,1.96,2.16,0.1,,0.49,2.5,,,0.97,,,0.49,1.53,1.03,,1.02,1.24,0.25,0.46,0.44,1.27,0.5,0.26,1.78,0.02,1.45,0.28,1.79,2.08,0.82,0.85,1.89
All Damage Done - Avg per 10 Min,,5136,7542,12952,7198,13880,4756,11995,13334,11707,7009,12270,14319,11569,8974,20112,9061,14371,5376,15464,9922,10682,6903,5656,11902,20120,1754,4597,7768,11943,9495,11945,14144,8428,15966,11101,15080,12355,4241,7862,9590,7021,10357,10133,6408,6515,11493,8852,11358,8436
Eliminations per Life,,2.21,1.8,3.02,2.09,2.67,1.59,2.55,4.96,3.33,1.59,3.2,2.74,1.85,2.56,8.5,2.12,2,3,5.51,1.95,3,2.4,2.45,2.25,1.93,0.61,,5,2.74,1.36,3.19,2.21,2.46,4.83,2.34,3.66,2.93,1.89,1.58,2.08,1.76,1.72,2.56,2.02,3.11,4.68,2.55,3.13,2.44
Win Percentage,,50,68,56,76,44,14,52,67,100,34,55,45,40,52,100,40,,,59,36,,65,56,,18,26,,100,38,33,80,48,42,71,60,68,61,13,45,49,37,45,43,52,35,70,64,43,68
All Damage Done,,207228,57787,608204,40105,83389,18200,1434632,501774,11202,268114,254632,190299,395207,1419334,32978,436566,1375,10954,178720,102103,3698,111975,241863,5839,76258,18012,3169,9233,169684,12385,34938,86810,41245,141474,44243,529650,890906,33344,15742,147583,232103,451303,20949,636060,14567,801110,42969,26583,120699
Obj Contest Time,,361,115,494,120,34,2,1569,1013,24,97,290,101,370,1122,60,254,,23,550,13,3,386,293,56,39,55,,,130,40,,138,16,359,57,402,684,20,2,25,171,851,41,125,,3296,84,27,74
Weapon Accuracy,,49,34,42,41,24,,45,29,47,28,28,42,29,29,27,30,72,35,43,24,40,35,33,33,49,30,,24,51,27,32,,24,56,27,30,39,31,32,29,33,,60,37,,37,31,46,31
Offensive Assists - Avg per 10 Min,,8.25,,,0.72,,4.18,,,,,,,,,,,,1.96,,1.26,,4.69,6.6,4.08,2.11,6.33,,9.25,,3.83,,1.79,4.7,2.71,,,,5.09,,,,,,,,,,2.14,10.34
Defensive Assists - Avg per 10 Min,,10.14,,,10.59,,18.56,,,,,,,,,,,,4.91,,,,11.77,6.27,2.04,,8.47,13.06,,,,,,,,,,1.53,,,,,,,,,,,5.55,10.48
Critical Hit Damage,,,2195,,,,,,,,,,,,,,,,,,,,,,1787,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2195,,,,,,,,,,,,,,,,,,,,,,1568,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,286,,,,,,,,,,,,,,,,,,,,,,3642,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,14,44,55,22,,39,540,4,122,60,42,,43,,21,6,72,157,,45,25,43,73,2,29,,,,75,116,,134,,94,224,123,65,,33,159,44,,41,,213,,,23
Critical Hits - Most in Life,,,4,25,17,12,,17,314,3,70,31,33,,22,,8,6,65,136,,37,17,24,48,,14,,,,29,72,,66,,33,62,43,24,,14,84,,,18,,107,,,10
Melee Final Blow - Most in Game,,,1,1,1,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,1,,,,1,,,,1,,,1,,,,,,,
Critical Hit Kill - Most in Game,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,
Critical Hit Kills - Avg per 10 Min,,,0.13,3.51,3.02,0.29,,3.49,1.36,1.05,1.01,1.8,1.28,0.18,2.04,,8.06,,,2.08,,,3.58,1.89,,,0.25,,,,0.77,,,1.46,,1.0,1.05,2.37,2.61,,1.41,2.11,,,10.78,,1.58,,,1.97
Critical Hits - Avg per 10 Min,,,1.83,20.21,37.87,10.82,,18.12,348,8.36,17.91,42.02,36.42,1.99,19.13,29.27,10.77,62.7,74.6,135,,130,19.42,20.79,175,1.32,11.49,,,,90.47,137,,102,,86.06,98.71,57.43,43.24,,14.62,106,22.97,,15.37,,92.04,,,10.2
Knockback Kills,,,10,122,,,4,,506,11,311,,,,,,,,,,16,,,225,,,,,,28,,,12,4,,,,,,,,,,,,5,1423,,,
Knockback Kills - Most in Game,,,10,10,,,,,21,7,22,,,,,,,,,,7,,,21,,,,,,7,,,7,2,,,,,,,,,,,,,60,,,
Knockback Kills - Avg per 10 Min,,,1.31,2.6,,,1.05,,13.45,11.5,8.13,,,,,,,10.45,,,1.55,,,5.26,,,,,,1.97,,,1.96,0.82,,,,,,,,,,,,2.24,20.41,,,
Melee Final Blow,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,
Critical Hits,,,14,949,211,65,,2167,13110,8,685,872,484,68,3025,48,519,6,152,1555,,45,315,889,86,5,118,,,,118,402,,499,,343,3467,4141,340,,225,3501,,,1526,,6416,,,146
Critical Hit Kill,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,
Critical Hit Accuracy,,,1,16,15,2,,13,10,13,5,10,12,4,13,4,16,26,8,13,,8,19,13,10,2,18,,,,12,10,,13,,9,13,13,11,,7,10,,,20,,13,,,16
Scoped Critical Hits,,,,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181,,,,,
Scoped Critical Hits - Most in Game,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,
Dynamite Kills,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,,,,,
