,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,1702,,,,,,,,,,,,,,,,,,,,,,,3036,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,16,29,38,13,,17,469,8,77,79,65,,42,,17,23,243,66,,117,27,111,32,240,,6,21,,115,,175,225,,209,,79,134,46,56,,11,163,37,,24,,64,,,16
Critical Hits - Most in Life,,,4,24,25,6,,14,230,5,18,46,31,,18,,10,14,66,23,,76,13,57,21,113,,5,8,,60,,86,102,,112,,37,73,20,32,,6,96,,,12,,46,,,13
Melee Final Blow - Most in Game,,,1,1,1,1,,1,,,,,1,1,,,1,1,,1,,1,,1,,,1,1,,,,1,1,,,,,,1,,,1,,,,1,1,,,1,1,
Critical Hit Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Critical Hit Kills - Avg per 10 Min,,,0.31,1.95,0.73,0.25,,1.58,0.7,0.49,,0.96,1.23,0.07,0.96,0.84,2.73,1.07,0.99,0.94,,,1.34,0.69,0.37,0.71,,0.34,0.52,,1.84,,1.17,2.02,,1.85,,1.02,0.69,1.04,1.3,,0.65,0.98,,,5.51,,0.44,,,1.01
Critical Hits - Avg per 10 Min,,,6.41,13.87,21.24,10.6,,11.62,262,4.79,55.76,35.05,32.5,4.11,19.67,64.16,7.31,12.86,137,66.31,,11.4,10.19,63.71,14.58,151,,2.97,10.75,,73.43,,130,134,,154,,84.38,63.4,28.06,42.38,,8.48,93.11,25.42,,14.14,,59.94,,,8.14
Knockback Kills,,,83,102,,,218,,435,95,12,,,,,,,161,10,,42,,,,330,,,,,,,120,,,13,11,,,,,,,,,,,,53,49,,,
Knockback Kills - Most in Game,,,20,6,,,15,,17,12,11,,,,,,,10,7,,8,,,,22,,,,,,,7,,,5,5,,,,,,,,,,,,6,18,,,
Knockback Kills - Avg per 10 Min,,,8.44,1.96,,,8.09,,10.21,6.69,7.6,,,,,,,4.3,1.64,,4.24,,,,7.53,,,,,,,2.07,,,1.95,2.27,,,,,,,,,,,,1.99,10.72,,,
Critical Hits,,,63,720,521,128,,574,11158,68,88,2519,1032,122,1066,915,142,482,833,212,,261,1463,1572,639,856,,70,164,,1474,,2116,1982,,748,,332,11935,269,1239,,65,13291,,,300,,274,,,421
Critical Hit Kills,,,3,101,18,3,,78,30,7,,69,39,2,52,12,53,40,6,3,,,192,17,16,4,,8,8,,37,,19,30,,9,,4,129,10,38,,5,140,,,117,,2,,,52
Critical Hit Accuracy,,,6,14,12,2,,10,8,8,8,9,11,4,11,10,9,13,10,9,,1,13,13,9,10,,12,12,,11,,13,11,,14,,10,10,8,9,,9,8,,,15,,10,,,12
Scoped Critical Hits,,,,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,
Scoped Critical Hits - Most in Game,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
Dynamite Kills,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,
Long Range Final Blows,,,,172,,,,23,,,,24,,,,,44,16,,,,,,,,5,,,,,,74,,,,,,,235,6,,,,,,,108,,,,,
Long Range Final Blows - Most in Game,,,,6,,,,2,,,,2,,,,,5,2,,,,,,,,2,,,,,,3,,,,,,,7,2,,,,,,,8,,,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,,,,,
Long Range Final Blows - Avg per 10 Min,,,,3.31,,,,0.47,,,,0.33,,,,,2.27,0.43,,,,,,,,0.88,,,,,,1.28,,,,,,,1.25,0.63,,,,,,,5.09,,,,,
Scoped Critical Hit Accuracy,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
Bob Kills - Avg per 10 Min,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Avg per 10 Min,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,
Coach Gun Kills - Avg per 10 Min,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kill - Most in Game,,,,1,,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,1,,
Critical Hit Kills - Most in Game,,,,5,3,2,,5,2,2,,5,4,,5,,6,4,2,,,,5,3,3,,,2,3,,6,,3,4,,3,,2,4,3,3,,,4,,,10,,,,,4
Environmental Kill,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
Environmental Kills - Avg per 10 Min,,,,0.02,,0.08,0.07,,0.07,,,0.01,,,,0.14,,0.03,0.49,,,,,,0.11,,,,,,0.35,0.17,,,0.3,,0.04,,,,,,,,,0.15,,0.04,0.22,0.01,,
Amplification Matrix Assists,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy - Best in Game,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Best in Game,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Most in Game,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Avg per 10 Min,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Avg per 10 Min,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Most in Game,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Most in Game,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Kills - Most in Game,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Most in Game,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Avg per 10 Min,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Avg per 10 Min,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Avg per 10 Min,,,,,,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills - Avg per 10 Min,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided,,,,,,,14178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Most in Game,,,,,,,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshots Attempted,,,,,,,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back,,,,,,,842,,,,,,,,,,,,,,,,,,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspire Uptime Percentage,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshot Accuracy,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Avg per 10 Min,,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min NYI,,,,,,,31.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Most in Game NYI,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melee Final Blow,,,,,,,,1,,,,,,1,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,
Self-Destruct Kills,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Most in Game,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Ultimates Negated - Most in Game,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Most in Game,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kill - Most in Game,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated - Avg per 10 Min,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Avg per 10 Min,,,,,,,,,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panopticon Hits,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panopticon Hits - Avg per 10 Min,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kill,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kill - Most in Game,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,,,,3815,,,,,,,,,,,,,,,7815,,,,,,,,,,,57630,,,,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,,,,3180,,,,,,,,,,,,,,,1667,,,,,,,,,,,2431,,,,,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,,,,2417,,,,,,,,,,,,,,,1382,,,,,,,,,,,1175,,,,,,,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Solo Kill,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills,,,,,,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Most in Game,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills,,,,,,,,,,,,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Most in Game,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Most in Game,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Most in Game,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Accuracy,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hit Accuracy,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Avg per 10 Min,,,,,,,,,,,,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Avg per 10 Min,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Avg per 10 Min,,,,,,,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Avg per 10 Min,,,,,,,,,,,,82.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Override Protocol Kills - Most in Game,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Override Protocol Kills,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done,,,,,,,,,,,,,59820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done - Most in Game,,,,,,,,,,,,,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done,,,,,,,,,,,,,28618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done - Most in Game,,,,,,,,,,,,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Override Protocol Kills - Avg per 10 Min,,,,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done - Avg per 10 Min,,,,,,,,,,,,,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done - Avg per 10 Min,,,,,,,,,,,,,1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist - Most in Game,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,
Take Aim Kills,,,,,,,,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Kills - Most in Game,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bola Shot Damage Done,,,,,,,,,,,,,,13563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bola Shot Damage Done - Most in Game,,,,,,,,,,,,,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus Ult Charge Gained,,,,,,,,,,,,,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus Ult Charge Gained - Most in Game,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Accuracy,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bola Shot Damage Done - Avg per 10 Min,,,,,,,,,,,,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Aim Kills - Avg per 10 Min,,,,,,,,,,,,,,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus Ult Charge Gained - Avg per 10 Min,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,,,,,,,57573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,,,,,,,2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Most in Game,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Avg per 10 Min,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Avg per 10 Min,,,,,,,,,,,,,,,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Avg per 10 Min NYI,,,,,,,,,,,,,,,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downpour Kills,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downpour Kills - Most in Game,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Guard Damage Done,,,,,,,,,,,,,,,,23678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Guard Damage Done - Most in Game,,,,,,,,,,,,,,,,3976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violent Leap Damage Done,,,,,,,,,,,,,,,,28341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violent Leap Damage Done - Most in Game,,,,,,,,,,,,,,,,3813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Wall Assists,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Guard Damage Done - Avg per 10 Min,,,,,,,,,,,,,,,,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violent Leap Damage Done - Avg per 10 Min,,,,,,,,,,,,,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downpour Kills - Avg per 10 Min,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Most in Game,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Most in Game,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multikill,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,1,,1,,,
Recon Assists - Avg per 10 Min,,,,,,,,,,,,,,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,,,,,
Pylon Healing,,,,,,,,,,,,,,,,,,163738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunstruck Detonations,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Damage,,,,,,,,,,,,,,,,,,20101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pylon Healing - Most in Game,,,,,,,,,,,,,,,,,,5448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
