,all-heroes,ana,anran,ashe,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,illari,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Hero Damage Done - Most in Game,26616,3492,7123,13779,9867,3928,6964,12799,3080,7343,7398,5222,8079,4419,4124,3349,6609,5788,7763,14742,11701,7842,10895,3830,2657,4874,11072,5193,5477,7431,9772,9955,3652,906,26616,954
Barrier Damage Done - Most in Game,11482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,29,11,,4,,,,14,,,,,10,,29,,,29,25,9,2,,,,,3,4,,,,,9,,,7,
Objective Contest Time - Most in Game,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,14,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,14,,,,
Hero Damage Done - Avg per 10 Min,3989,2329,8851,7418,5795,3234,4725,5437,5794,8837,4320,3730,6117,4347,2852,2958,3402,939,5045,10796,5482,18801,7079,3403,3981,9058,6603,2678,4146,6028,3611,4359,5805,3284,6364,2500
Deaths - Avg per 10 Min,7.43,7.68,3.73,6.81,8.26,8.8,10.18,5.39,13.73,7.81,9.24,9.04,6.01,8.8,4.12,8.67,7.46,7.55,6.89,5.82,9.45,2.4,6.81,10.97,6.16,5.57,8.49,7.62,7.93,5.4,8.71,8.2,9.91,9.74,5.27,15.03
Assists - Avg per 10 min,9.77,9.96,,1.87,,,,7.11,5.31,,,,6.66,,15.71,,1.5,19.82,16.22,4.94,2.59,,,1.68,,5.57,3.59,,,,,3.81,,,4.67,
Eliminations - Avg per 10 Min,14.35,10.54,27.34,15.17,18.52,9.91,14.5,21.1,19.97,18.87,14.74,11.71,15.51,12.89,10.56,12.48,16.54,4.64,19.44,21.2,15.93,16.78,20.28,6.93,15.39,24.16,21.16,13.99,15.34,21.49,14.71,14.14,16.33,7.3,20.3,1.25
Healing Done - Avg per 10 Min,1877,4509,388,,953,4054,,0.67,,57.06,2.75,,8574,,9921,8472,1198,7780,7035,,,,1263,,4724,,1799,1252,,,,,,,,1268
Final Blows - Avg per 10 Min,7.04,3.5,14.91,5.61,9.81,3.3,8.57,9.21,12.48,8.46,8.17,8.46,6.42,7.17,3.86,4.33,6.24,1.89,7.13,11.63,9.12,11.99,10.14,4.62,6.54,9.29,9.93,5.5,7.45,9.42,5.88,8.71,4.66,4.87,6.35,
Time Spent on Fire - Avg per 10 Min,6,0,144,33,,,,3,,,,,77,,12,,0,7,29,118,2,212,75,,,,12,,,,1,2,,,20,
Objective Contest Time - Avg per 10 Min,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.28,0.58,7.46,0.48,1.55,0.66,2.64,2.76,1.25,0.65,2.53,2.43,1.22,2.36,0.43,0.79,1.7,0.49,1.8,1.03,2.49,,2.32,1.73,0.77,,2.31,1.41,2.41,3.34,1.77,3.56,,2.43,0.39,
Objective Kills - Avg per 10 Min,5.29,4.23,14.91,5.49,9.37,3.52,5.61,7.66,3.74,5.2,4.96,4.29,6.42,6.44,4.89,5.65,7.39,1.77,8.01,9.48,6.29,7.19,7.82,2.31,4.23,11.15,9.54,5.66,5.6,7.85,6.91,4.36,7.58,,9.92,1.25
Objective Time - Avg per 10 Min,63,72,113,47,56,77,68,95,45,29,67,46,82,54,74,90,82,66,84,115,46,236,70,54,51,33,72,65,46,19,78,34,80,36,113,15
Time Played,1145137,21575,483,5024,8132,2726,7488,228476,481,922,16814,5177,7387,6611,6991,4568,50743,201105,20368,12791,32251,250,4141,1039,1560,323,13780,43711,13925,6113,58200,352488,1029,246,7742,479
Games Played,2503,49,,12,20,5,15,494,1,2,38,10,11,15,13,9,102,432,39,27,71,1,9,2,3,1,29,94,33,16,126,803,3,1,17,1
Games Won,1180,22,,5,11,2,7,255,,2,18,4,7,6,6,4,50,220,21,10,32,,5,0,3,1,17,43,21,9,47,339,0,0,10,0
Games Lost,1322,27,0,6,8,2,8,239,1,0,19,7,4,9,7,5,52,213,18,17,39,1,3,2,1,0,12,51,13,7,79,464,2,0,7,1
Hero Wins,72,,,1,,,,8,,2,,,7,,6,,1,15,4,9,,,3,,,1,2,,1,,,10,,,1,
Objective Time,121123,2597,91,393,762,349,848,36230,36,44,1884,397,1015,600,863,686,6911,22117,2846,2456,2472,99,483,93,134,18,1656,4712,1063,194,7538,19907,138,15,1464,12
Eliminations,27389,379,22,127,251,45,181,8033,16,29,413,101,191,142,123,95,1399,1556,660,452,856,7,140,12,40,13,486,1019,356,219,1427,8305,28,3,262,
Environmental Kills,62,,,,,,,30,,,,,,2,,3,,,,8,17,,,,,,,,,,,,,,,
Hero Damage Done,7613576,83729,7123,62112,78540,14692,58968,2070472,4642,13584,121059,32181,75306,47895,33235,22519,287715,314807,171267,230156,294643,7842,48859,5893,10348,4874,151661,195090,96213,61416,350240,2561073,9955,1349,82122,1997
Final Blows,13433,126,12,47,133,15,107,3509,10,13,229,73,79,79,45,33,528,635,242,248,490,5,70,8,17,5,228,401,173,96,570,5115,8,2,82,
Deaths,14176,276,3,57,112,40,127,2052,11,12,259,78,74,97,48,66,631,2530,234,124,508,,47,19,16,3,195,555,184,55,845,4816,17,4,68,12
Damage Done,7613576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,10101,152,12,46,127,16,70,2917,3,8,139,37,79,71,57,43,625,592,272,202,338,3,54,4,11,6,219,412,130,80,670,2564,13,,128,
Time Spent on Fire,10923,15,116,275,,,,1109,,,,,942,,141,,35,2312,971,2520,93,88,517,,,,267,,,,88,1174,,,260,
Melee Final Blows,363,2,,,,,,104,,,20,,,,,2,16,51,,4,2,,,,,,4,23,,,19,104,,,4,
Objective Contest Time,5704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,4343,21,6,4,21,3,33,1050,,,71,21,15,26,5,6,144,164,61,22,134,,16,3,2,,53,103,56,34,172,2089,,,5,
Multikills,176,,,,,,2,107,,,,,2,,,,16,4,5,4,3,,4,,,,3,3,2,,3,6,,,7,
of Match on Fire,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,2248,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,2235,,,,
Defensive Assists,6067,290,,,,70,,,,,,,,,181,74,,4943,327,,,,,,,,80,,,,,,,,99,3
Offensive Assists,2422,237,,,,14,,,,,,,19,12,47,5,341,1132,,107,,,,,14,,,439,,,,,,,54,
Healing Done,3582273,162116,312,,12918,18417,,255,,88,77,,105552,,115593,64499,101325,2607775,238826,,,,8721,,12279,,41313,91196,,,,,,,,1013
Assists,1282,15,,9,,,,67,,,,,82,,183,,,603,137,87,2,,,,,3,10,,,,,74,,,7,
Cards,697,11,,,8,,,218,,,9,,,,,4,39,216,15,5,9,,,,,,10,17,16,12,27,71,,,6,
Scoped Accuracy - Best in Game,,100,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Self Healing,,30287,,,12918,2285,,,,,,,14537,,,17494,101325,462539,69808,,,,8721,,12279,,26516,,,,69931,,,,,
Self Healing - Most in Game,,1708,,,2727,,,,,,,,1718,,,2743,1847,2991,3493,,,,2249,,2455,,1673,,,,1380,,,,,
Enemies Slept,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,108,,,,,,,,,,,,,,,,60342,,1441,,,,,,,,,,,,,,,,
Damage Amplified - Most in Game,,105,,,,,,,,,,,,,,,,1852,,751,,,,,,,,,,,,,,,,
Healing Amplified,,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,55,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
Self Healing - Avg per 10 Min,,842,,,953,503,,,,,,,1181,,,2298,1198,1380,2056,,,,1263,,4724,,1155,,,,721,,,,,
Healing Amplified - Avg per 10 Min,,21.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified - Avg per 10 Min,,3.01,,,,,,,,,,,,,,,,180,,67.57,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,10,7,10,10,5,9,33,5,7,16,5,9,8,10,10,19,14,20,24,18,7,21,8,7,6,15,19,10,13,19,25,6,2,16,
All Damage Done - Most in Life,,2010,2643,4438,6611,2506,2099,12725,1431,3082,3644,1930,4036,3260,2843,2023,4356,3167,5064,8112,7157,8887,7419,3138,1806,3714,7366,3567,3931,5569,5808,8940,1858,590,9521,1184
Weapon Accuracy - Best in Game,,42,32,59,40,,67,56,23,29,40,46,58,23,45,57,73,100,,65,100,34,37,,26,32,49,50,48,33,51,100,,33,52,50
Melee Final Blow - Most in Game,,1,,,,,1,,1,,,,1,,1,1,,,1,,1,,,,,,,,1,1,,,1,,1,
Hero Damage Done - Most in Life,,1853,2643,4110,2502,1961,1579,7601,1341,3082,3240,1543,3262,2870,2403,1583,2921,3056,4977,6551,5692,7842,5406,2483,1656,2122,5108,2378,2848,3493,3752,5879,1698,455,8487,954
Obj Contest Time - Most in Game,,12,89,46,,,1,81,9,23,,,156,,154,,21,115,137,218,53,90,82,36,,18,59,,35,,60,95,,,150,
Obj Contest Time - Avg per 10 Min,,13,110,21,,,3,52,49,29,,,47,,36,,46,31,57,91,69,215,56,60,,33,34,,45,,58,8,,,114,
Melee Final Blows - Avg per 10 Min,,0.06,,,,,0.08,0.27,1.25,,0.71,,0.08,,0.09,0.26,0.19,0.15,0.03,0.19,0.04,,,,,,0.17,0.32,0.04,0.1,0.2,0.18,0.58,,0.31,
All Damage Done - Avg per 10 Min,,3196,8851,9402,9851,4191,6220,8081,6241,10003,5296,5441,7034,6236,3329,3710,4376,1169,5583,14226,7508,21308,9630,4173,4269,15132,9125,3796,4985,7984,4834,5313,6836,3905,7266,4171
Eliminations per Life,,1.37,7.33,2.23,2.24,1.13,1.43,3.91,1.45,2.42,1.59,1.29,2.58,1.46,2.56,1.44,2.22,0.62,2.82,3.65,1.69,7,2.98,0.63,2.5,4.33,2.49,1.84,1.93,3.98,1.69,1.72,1.65,0.75,3.85,0.08
Win Percentage,,44,100,47,58,49,48,52,,90,49,36,62,39,49,42,49,51,55,35,45,,61,12,79,100,60,46,62,56,37,42,16,33,60,13
All Damage Done,,114931,7123,78722,133516,19042,77621,3077122,5000,15378,148419,46946,86597,68702,38789,28247,370090,391979,189518,303268,403556,8887,66466,7228,11098,8143,209585,276535,115705,81347,468864,3121035,11723,1604,93753,3331
Obj Contest Time,,20,89,103,,,2,492,9,44,,,579,,418,,31,933,485,1602,53,90,194,36,,18,96,,35,,60,146,,,171,
Weapon Accuracy,,24,32,44,16,,37,18,23,20,22,16,52,17,35,25,30,28,,33,45,34,26,,15,32,28,25,26,22,21,30,,24,40,20
Offensive Assists - Avg per 10 Min,,6.59,,,,3.08,,,,,,,1.54,1.09,4.03,0.66,4.03,3.38,,5.02,,,,0.58,5.39,,,6.03,,,,,,,4.18,
Defensive Assists - Avg per 10 Min,,8.07,,,,15.41,,,,,,,,,15.53,9.72,,14.75,9.63,,,,,,,,3.48,,,,,,,,7.67,3.76
Critical Hit Damage,,,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,34.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,13.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,18,36,12,,6,702,11,20,26,6,22,,16,18,12,39,,56,,60,194,,39,,38,,,4,197,36,,,,
Critical Hits - Most in Life,,,8,13,9,,3,316,11,11,10,3,13,,12,6,6,23,,26,,60,101,,22,,16,,,3,65,23,,,,
Critical Hit Kills - Most in Game,,,2,3,,,,3,,2,,,4,,4,,,2,,,,,4,,,,,,,,2,15,,,,
Critical Hit Kills - Avg per 10 Min,,,2.49,2.28,,,,1.06,,1.3,,,1.14,,2.15,,,0.23,,0.06,,2.4,2.91,,,,0.36,,,,1.94,7.37,,,,
Critical Hits - Avg per 10 Min,,,22.37,13.85,6.12,,4.41,195,13.73,24.72,7.82,2.9,13.16,,10.04,8.41,3.8,6.54,,2.63,,144,117,,41.16,,18.11,15.18,,2.36,60.93,9.47,,,,5.01
Game Played,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Won,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills,,,15,18,,,,97,4,,,,27,,,,,,,,2,,,,,,,,,,,,,,,
Knockback Kills - Most in Game,,,15,6,,,,14,4,,,,5,,,,,,,,2,,,,,,,,,,,,,,,
Hero Win,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills - Avg per 10 Min,,,18.64,2.15,,,,0.25,4.99,,,,2.19,,,,,,,,0.04,,,0.58,,,,,,,,,,,,
Critical Hits,,,18,116,83,,55,74236,11,38,219,25,162,,117,64,321,2192,,56,,60,807,,107,,416,1106,,24,5910,5566,,,,4
Critical Hit Kills,,,2,11,,,,10,,2,,,14,,25,,,7,,,,,10,,,,,,,,2,143,,,,
Critical Hit Accuracy,,,12,12,1,,7,10,3,7,9,8,13,,16,7,16,14,,0,,10,10,,7,,6,4,,8,8,13,,,,11
Scoped Critical Hits,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,3535,,,,
Scoped Critical Hits - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
Dynamite Kills,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,
Long Range Final Blows,,,,9,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,126,,,,
Long Range Final Blows - Most in Game,,,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,
Long Range Final Blows - Avg per 10 Min,,,,1.87,,,,,,0.65,,,0.24,,,,,,,,1.29,,,,,,1.08,,,,,6.49,,,,
Scoped Critical Hit Accuracy,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
Dynamite Kills - Avg per 10 Min,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,,,,
Coach Gun Kills - Avg per 10 Min,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,
Multikill,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,
Overhealth Provided,,,,,,11374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Most in Game,,,,,,2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspire Uptime Percentage,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Avg per 10 Min,,,,,,2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,
Deadeye Kills,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melee Final Blow,,,,,,,1,,1,,,,1,,1,,,,1,,,,,,,,,,1,1,,,1,,,
Self-Destruct Kills,,,,,,,,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Most in Game,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated,,,,,,,,9,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Ultimates Negated - Most in Game,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Most in Game,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Most in Game,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated - Avg per 10 Min,,,,,,,,0.02,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Avg per 10 Min,,,,,,,,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kills - Avg per 10 Min,,,,,,,,0.08,,,,,,0.18,,0.39,,,,0.38,0.32,,,,,,,,,,,0.0,0.58,,,
Meteor Strike Kills,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,,,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,,,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist - Most in Game,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
Solo Kill,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
Assist,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
Focusing Beam Kills,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Most in Game,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Most in Game,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Most in Game,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Most in Game,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Final Blow,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Focusing Beam Accuracy,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hit Accuracy,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Avg per 10 Min,,,,,,,,,,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Avg per 10 Min,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Avg per 10 Min,,,,,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,
