,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Objective Kills - Most in Game,27,12,8,19,7,24,11,16,27,21,17,11,4,,23,2,16,7,3,4,15,5,24,,15,12,17,5,2,14,9,15,8,13,6,12,10,5,,15,22,14,8,23,9,4,12,14,12,6,18,11
Objective Time - Most in Game,402,263,159,127,117,220,125,271,304,402,126,69,49,5,189,26,164,91,8,17,72,137,130,16,191,98,105,60,109,95,149,76,66,93,107,131,100,99,37,81,116,180,127,196,39,36,76,111,129,57,211,149
Multikill - Best,5,4,,4,,3,,5,4,3,4,3,,,4,,4,,3,3,4,,,,3,5,4,,3,5,3,3,4,4,,3,3,,,3,4,3,3,4,3,,3,3,,3,4,
Solo Kills - Most in Game,31,3,2,13,2,4,4,10,9,,11,5,2,,9,,11,2,2,3,11,3,8,,4,,7,3,,2,2,14,,8,5,12,3,3,,10,9,10,5,12,2,2,12,5,,,5,5
Time Spent on Fire - Most in Game,95,15,48,,42,,,,21,73,36,,54,15,11,63,,66,70,58,,42,61,24,30,37,,,47,95,44,34,87,39,,,32,35,,,43,,,33,43,17,,,,29,,
Melee Final Blows - Most in Game,6,3,,,,,,2,,,5,2,,,3,,2,,2,3,,,2,,3,,2,,,,,2,,2,,3,6,,,2,3,,,4,,,2,2,,,,2
Environmental Kills - Most in Game,4,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,28,16,7,16,9,18,15,11,23,15,18,11,6,5,19,5,20,7,15,28,16,9,12,2,13,9,11,7,12,15,12,23,16,13,11,12,13,3,7,18,22,17,14,25,10,3,19,15,6,6,16,12
Hero Damage Done - Most in Game,19050,5094,9986,13042,4284,9277,6891,7866,12288,14849,10549,8003,13056,3980,10274,3460,11396,8022,3114,9831,8242,4337,6771,956,4786,10236,7782,1927,6193,5562,8100,12892,13575,7419,4265,7932,11708,10049,5258,9313,12302,9713,6124,8135,8652,5173,8353,4766,4347,2638,4501,5900
Barrier Damage Done - Most in Game,9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,33,23,,2,13,,13,,4,,8,,,,,,8,8,22,6,,11,33,5,16,10,6,13,26,12,6,2,2,,,,2,,2,,10,6,,,3,,,2,,15,,9
Objective Contest Time - Most in Game,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,18,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
Hero Damage Done - Avg per 10 Min,5214,2276,10755,7089,3214,7004,3748,4450,6658,14881,5178,7931,13681,7960,6279,9842,5984,7204,3837,10774,5604,5281,4069,1782,3749,12249,5267,1154,6522,5483,6367,6814,15692,6687,4424,6321,12606,13750,8586,6139,4206,5798,5192,5477,9858,10050,4580,5345,4655,4783,3529,4263
Deaths - Avg per 10 Min,9.32,8.43,9.76,9.31,6.12,9.75,7.81,10.93,6.13,5.04,11.84,7.12,9.5,4.0,9.83,11.89,10.23,6.67,3.7,5.13,10.2,4.83,5.75,9.32,8.92,7.26,8.18,7.59,6.1,7.19,7.37,8.67,7.13,8.96,9.47,8.58,4.49,12.32,8.03,10.54,8.0,8.3,9.56,10.25,6.33,14.41,9.45,9.17,10.09,6.99,7.36,9.5
Assists - Avg per 10 min,7.53,16.96,0.57,0.78,18.26,,19.47,,7.63,0.5,4.7,0.78,,,,1.98,6.78,4.45,27.1,6.16,,12.27,14.3,9.32,15.37,11.13,7.61,32.78,22.36,7.99,5.58,0.79,1.58,,,,1.5,,2.01,2.71,6.68,5.97,,,2.88,,,5.2,,25.16,,13.35
Eliminations - Avg per 10 Min,15.96,9.2,15.5,20.8,14.27,16.5,14.81,14.39,22.32,34.29,18.15,16.5,22.67,24.0,17.41,9.91,15.89,13.63,30.8,31.31,15.8,15.98,14.15,7.46,12.81,27.1,14.01,4.01,17.89,19.8,13.67,18.82,26.13,20.14,12.62,19.24,23.95,23.26,15.39,19.08,16.91,16.73,14.81,18.44,29.34,16.01,14.32,19.65,13.09,15.37,16.17,13.53
Healing Done - Avg per 10 Min,1352,5442,524,,8085,1415,5709,,10.44,2223,63.64,132,1324,,1.09,295,,7706,12262,3127,,9230,8052,11046,6584,1929,1129,6607,12291,8660,,,1115,807,,4388,,,,1645,1629,,,,503,,,,34.77,7030,,3937
Final Blows - Avg per 10 Min,8.51,2.87,9.19,12.19,5.35,9.26,6.44,8.9,8.94,17.65,12.02,8.41,8.77,18.0,9.69,1.98,11.36,8.62,9.86,18.99,10.93,5.95,6.9,5.59,3.7,10.65,6.28,1.43,4.07,7.47,4.48,11.77,15.04,11.56,8.29,11.2,11.97,17.79,8.03,11.28,8.31,8.84,7.59,8.86,17.83,12.8,9.16,9.66,6.27,4.19,4.77,6.52
Time Spent on Fire - Avg per 10 Min,3,0,130,,23,,,,2,233,8,,130,87,0,126,,95,246,170,,80,13,81,1,142,,,142,25,9,3,188,4,,,111,190,,,2,,,0,145,70,,,,102,,
Objective Contest Time - Avg per 10 Min,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.92,0.52,1.72,4.05,1.02,1.91,1.13,3.21,2.26,1.01,4.63,2.26,1.46,2.0,3.35,,4.15,1.11,2.46,2.05,5.05,1.12,1.51,,1.07,,2.08,0.36,0.81,1.49,0.76,4.42,,3.54,2.6,3.45,2.25,4.11,0.67,3.89,2.66,3.2,2.72,3.07,1.15,3.2,4.29,2.96,0.82,,1.0,1.7
Objective Kills - Avg per 10 Min,5.33,3.2,7.46,7.59,4.59,8.49,4.75,4.13,7.6,16.64,5.25,6.47,3.66,2.0,5.5,3.96,5.22,4.73,3.7,4.11,5.03,6.32,6.18,,5.2,12.58,5.06,1.15,2.03,6.63,5.77,5.66,7.13,6.89,3.53,5.65,8.23,6.84,1.34,6.81,5.21,5.34,5.34,6.83,8.63,6.4,3.7,6.59,5.73,6.29,7.16,4.84
Objective Time - Avg per 10 Min,47,43,163,49,68,59,54,33,88,215,42,56,58,10,53,58,27,57,10,19,27,89,59,29,79,81,55,34,50,70,54,35,83,52,52,52,113,136,58,40,43,41,39,64,43,58,14,66,74,93,74,50
Time Played,1284935,95270,1045,18809,2355,11021,7452,87742,35048,1190,31203,1855,821,300,124376,303,112213,2158,487,1169,45008,1614,8351,322,63896,1240,22531,19771,1476,6424,7902,47250,758,17602,9697,18802,802,438,896,22825,68655,26607,6400,176673,1043,375,96718,10931,2200,859,32430,29625
Games Played,2710,199,2,38,5,26,18,190,72,2,63,4,1,,260,1,245,5,,3,87,4,18,,131,2,49,40,3,15,17,100,2,41,18,38,,,3,48,146,61,12,368,2,1,209,23,5,,68,62
Games Won,1379,86,,21,3,14,10,69,49,,42,3,0,,141,,118,2,,,44,2,11,,78,1,24,17,2,8,8,57,1,17,12,20,,,2,20,68,35,8,188,2,0,101,16,2,,38,34
Games Lost,1331,113,2,17,2,11,8,121,23,1,22,1,,0,120,1,127,3,0,2,43,2,7,,53,1,25,23,,7,9,43,1,24,6,17,0,,1,28,79,26,4,180,0,0,108,7,3,0,30,27
Hero Wins,62,,,3,2,,0,,1,,3,2,0,,4,,3,2,,,,2,11,,1,1,1,,2,1,,4,1,0,,,,,2,1,3,,0,1,2,0,0,,,,,1
Objective Time,101546,6858,285,1522,267,1079,672,4859,5146,426,2198,173,80,5,11089,29,5071,206,8,36,1999,238,819,16,8368,168,2083,1124,122,753,706,2775,104,1513,848,1635,151,99,87,1518,4908,1821,420,18913,74,36,2200,1194,272,133,3995,2446
Eliminations,34176,1461,27,652,56,303,184,2104,1304,68,944,51,31,12,3608,5,2972,49,25,61,1185,43,197,4,1364,56,526,132,44,212,180,1482,33,591,204,603,32,17,23,726,1935,742,158,5431,51,10,2308,358,48,22,874,668
Environmental Kills,163,,,3,,,,,16,2,12,,,,2,,,,,,8,,,,66,,,,,,,38,,,,3,,,,,2,,,,,,,6,,,,
Hero Damage Done,5131477,179025,18732,222223,12614,52661,46545,402293,139289,29506,269268,24516,18712,3980,669379,4966,577148,25908,3114,20991,177001,14207,56628,956,57118,25313,44871,11290,16040,58698,23721,152298,19820,143880,32169,46017,16845,10049,12830,106881,276912,78806,29937,462512,17138,6279,341569,34729,17070,6844,39544,72637
Final Blows,18222,456,16,382,21,170,80,1301,522,35,625,26,12,9,2009,,2124,31,8,37,820,16,96,3,394,22,236,47,10,80,59,927,19,339,134,351,16,13,12,429,951,392,81,2610,31,8,1476,176,23,6,258,322
Deaths,19970,1338,17,292,24,179,97,1599,358,10,616,22,13,2,2038,6,1914,24,3,10,765,13,80,5,950,15,307,250,15,77,97,683,9,263,153,269,6,9,12,401,915,368,102,3019,11,9,1524,167,37,10,398,469
Damage Done,5131477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,11420,508,13,238,18,156,59,604,444,33,273,20,5,,1140,2,976,17,3,8,377,17,86,,554,26,190,38,5,71,76,446,9,202,57,177,11,5,2,259,596,237,57,2012,15,4,597,120,21,9,387,239
Time Spent on Fire,5667,30,227,,92,,,,125,463,422,,178,43,12,64,,340,200,332,,214,185,44,79,293,,,349,262,116,202,237,109,,,148,139,,,246,,,77,252,44,,,,146,,
Melee Final Blows,617,27,,2,,,,24,15,,19,2,,,107,,18,,2,4,4,,8,,32,,4,,,,,6,,4,,13,6,,,17,86,,,176,,,18,4,,,4,9
Objective Contest Time,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,6262,82,3,127,4,35,14,469,132,2,241,7,2,,695,,777,4,2,4,379,3,21,,114,,78,12,2,16,10,348,,104,42,108,3,3,,148,304,142,29,903,2,2,692,54,3,,54,84
Multikills,241,4,,5,,,,21,25,2,3,,,,22,,12,,2,4,8,,,,4,6,8,,,3,,16,2,16,,2,,,,8,6,,,32,2,,2,2,,,16,
of Match on Fire,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,898,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,,,,,
Defensive Assists,3802,1276,,,60,,244,,,,,,,,,,,,26,,,,198,6,758,16,,382,59,145,,,,,,,,,,34,,,,,,,,,,,24,574
Offensive Assists,2841,1124,,,3,,76,,,,,,,,,,,,3,,62,,68,,92,21,56,108,,,89,,2,,14,39,2,,,,523,,,,,,,,,,80,478
Healing Done,2896335,856832,912,,31729,25993,70907,,610,4407,3310,407,1811,,227,149,,27714,9953,6093,,24828,112076,5925,701204,3986,42412,217714,30228,92714,,,1408,23675,,137504,,,,62591,186374,,,,875,,,,127,10060,,194369
Assists,715,43,,4,25,,18,,6,,17,2,,,,,21,16,22,12,,33,199,5,42,23,7,13,55,22,6,3,2,,,,2,,3,2,30,11,,,5,,,2,,36,,25
Cards,709,57,,13,,6,10,14,28,,6,,,,101,,35,,,,17,,,,70,,7,21,,4,7,34,,13,13,13,,,,13,36,33,6,89,,,16,6,,,16,23
Scoped Accuracy - Best in Game,,100,,81,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Self Healing,,110542,,,4833,25993,13639,,,3750,,,1516,,,,,3094,,5430,,,,541,226386,3476,42412,37995,,7705,,,,23614,,137504,,,,46799,,,,248435,,,,,,,,6955
Self Healing - Most in Game,,1624,,,1836,2681,,,,1973,,,,,,,,1068,,2574,,,,541,3433,1175,1946,2776,,1650,,,,1406,,6516,,,,2122,,,,1771,,,,,,,,445
Enemies Slept,,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,1858,,,1112,,,,,,,,,,,,,,,,,960,,,,,,4855,,,5428,,,,,,,,,,,,,,,,,,,,,2713
Damage Amplified - Most in Game,,995,,,387,,,,,,,,,,,,,,,,,430,,,,,,933,,,1123,,,,,,,,,,,,,,,,,,,,,999
Healing Amplified,,8738,,,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,,
Healing Amplified - Most in Game,,1190,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,,
Scoped Accuracy,,55,,38,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,
Self Healing - Avg per 10 Min,,696,,,1232,1415,1098,,,1891,,,1109,,,,,860,,2787,,,,1008,2126,1682,1129,1153,,720,,,,805,,4388,,,,1230,,,,844,,,,,,,,141
Healing Amplified - Avg per 10 Min,,55.03,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,,
Damage Amplified - Avg per 10 Min,,11.7,,,283,,,,,,,,,,,,,,,,,357,,,,,,147,,,412,,,,,,,,,,,,,,,,,,,,,54.94
Enemies Slept - Avg per 10 Min,,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,16,7,16,9,18,15,11,23,15,18,11,6,5,19,5,20,7,15,28,16,9,12,2,13,9,11,7,12,15,12,23,16,13,11,12,13,3,7,18,22,17,14,25,10,3,19,15,6,6,16,12
All Damage Done - Most in Life,,3204,4772,6930,1746,9459,2784,3948,9181,5668,6538,3386,3055,2422,7455,3575,4606,5257,3171,7205,6785,3118,3099,592,2610,3886,11067,2107,2277,3384,6649,7112,6561,4297,2327,6456,7151,2100,3035,4199,6304,6961,3130,7872,4944,997,5116,2662,2561,2381,6936,3514
Weapon Accuracy - Best in Game,,67,42,65,33,51,,100,44,58,49,32,45,28,70,46,60,69,42,68,100,58,56,36,88,44,65,53,54,,45,100,41,50,,38,59,40,53,68,65,78,61,86,,76,71,38,44,39,64,47
Hero Damage Done - Most in Life,,3204,2937,6484,1746,6284,2689,3367,5942,5423,5208,2324,2753,2127,5054,1739,4413,4575,1633,7205,5884,2395,3015,561,2262,3674,3027,1647,2124,2934,2641,6087,6451,3390,2317,3770,4490,1871,2885,2936,4255,4938,2045,6842,3438,997,2939,2582,1368,1822,2460,3330
Obj Contest Time - Most in Game,,80,159,127,30,28,26,,26,126,81,68,37,5,84,26,11,29,8,17,,20,107,5,191,98,101,3,18,87,38,25,66,21,12,,66,45,37,16,54,18,9,154,26,30,,16,,21,19,12
Obj Contest Time - Avg per 10 Min,,34,112,46,29,67,39,,44,76,46,37,45,10,50,57,10,16,10,15,,16,35,9,119,81,130,7,13,58,49,22,71,43,72,,83,61,26,22,24,22,21,88,30,48,,41,,22,60,9
Melee Final Blows - Avg per 10 Min,,0.17,,0.06,0.25,,,0.16,0.26,,0.37,0.65,,2.0,0.52,,0.1,,2.46,2.05,0.05,0.37,0.57,,0.3,,0.11,0.03,,,0.08,0.08,,0.14,,0.41,4.49,,,0.45,0.75,,0.09,0.6,,,0.11,0.22,,,0.07,0.18
All Damage Done - Avg per 10 Min,,2463,15457,8879,4056,8734,4054,5038,7748,16235,5831,10379,15025,8550,6384,19415,6519,7970,6717,10915,7765,6552,4696,2376,3331,12792,5323,925,6823,5951,6799,7653,16249,7790,4325,6979,16743,14179,9220,7178,4714,5980,6911,5794,11067,10466,4858,5078,5988,5611,5158,4531
Eliminations per Life,,1.09,1.59,2.23,2.33,1.69,1.9,1.32,3.64,6.8,1.53,2.32,2.38,6,1.77,0.83,1.55,2.04,8.33,6.1,1.55,3.31,2.46,0.8,1.44,3.73,1.71,0.53,2.93,2.75,1.86,2.17,3.67,2.25,1.33,2.24,5.33,1.89,1.92,1.81,2.11,2.02,1.55,1.8,4.64,1.11,1.51,2.14,1.3,2.2,2.2,1.42
Game Won,,1,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,1,,
Hero Win,,1,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,1,,
Win Percentage,,43,,55,63,55,58,36,68,52,66,71,27,100,54,,48,34,100,37,51,61,62,,60,31,49,43,65,51,47,57,34,41,68,54,100,,79,41,46,58,66,51,100,63,48,69,43,100,55,56
All Damage Done,,391097,26922,278336,15917,160424,50347,736737,452591,32191,303261,32083,20550,4275,1323319,9797,1219203,28661,5452,21266,582450,17626,65361,1275,354780,26435,199877,30472,16780,63711,89541,602656,20523,228546,69896,218711,22373,10362,13776,273062,539391,265188,73719,1706058,19241,6539,783137,92514,21954,8029,278809,223719
Obj Contest Time,,87,195,238,40,28,36,,34,150,167,96,61,5,241,29,31,57,8,30,,42,483,5,325,168,119,3,31,161,53,84,90,56,12,,111,45,39,16,107,41,9,294,52,30,,16,,32,19,16
Weapon Accuracy,,13,39,47,31,19,,37,24,50,27,28,44,28,28,41,23,61,42,44,19,46,41,36,26,33,35,25,45,,27,46,39,26,,24,57,40,34,31,29,37,26,27,,68,30,38,30,36,39,25
Offensive Assists - Avg per 10 Min,,7.08,,,0.76,,6.12,,,,,,,,,,,0.28,3.7,,0.83,,4.89,,0.86,10.16,1.49,3.28,,,6.76,,1.58,,0.87,1.24,1.5,,,,4.57,,,,,,,,,,1.48,9.68
Defensive Assists - Avg per 10 Min,,8.04,,,15.29,,19.65,,,,,,,,,,,,32.03,,,,14.23,11.18,7.12,7.74,,11.59,23.99,13.54,,,,,,,,,,0.89,,,,,,,,,,,0.44,11.63
Critical Hit Damage,,,5360,,,,,,,,,,,,,,,,,,,,,,,7923,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2949,,,,,,,,,,,,,,,,,,,,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kill - Most in Game,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,38.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,3077,,,,,,,,,,,,,,,,,,,,,,,3834,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,34,21,30,26,,14,457,23,116,44,60,,22,,13,13,222,128,,,23,16,25,203,19,18,14,,37,,219,244,,175,,77,,28,105,,13,151,23,,20,,4,,,18
Critical Hits - Most in Life,,,9,12,15,14,,5,213,7,48,21,15,,11,,9,10,131,89,,,12,7,13,71,8,13,6,,20,,146,112,,92,,18,,17,23,,9,76,,,12,,4,,,11
Assist - Most in Game,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Critical Hit Kill - Most in Game,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,1,1,,,,,,,1,,,,,1
Critical Hit Kills - Avg per 10 Min,,,0.57,2.14,2.19,,,,2.54,2.52,2.49,0.39,,2.0,1.24,,4.84,0.83,,2.05,,,2.3,,,1.45,,,0.81,,3.72,,,4.66,,,,1.37,0.67,1.35,1.34,,,2.39,,,5.73,,,,,1.6
Critical Hits - Avg per 10 Min,,,26.98,9.83,15.03,10.29,,4.22,181,16.14,6.85,26.53,53.37,18.0,9.53,103,4.12,12.51,274,104,,,14.58,29.83,10.59,249,6.02,4.79,15.45,,4.33,,264,88.04,,93.5,,105,,15.19,12.19,,6.19,65.97,23.01,,8.45,,1.09,,,8.24
Knockback Kills,,,7,18,,,8,,55,17,48,,,,,,,8,,,,,,,38,,,,,,,2,,,2,8,,,,,,,,,,,,3,,,,
Knockback Kills - Most in Game,,,4,,,,,,6,12,23,,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills - Avg per 10 Min,,,4.02,0.57,,,0.64,,2.63,8.57,0.92,,,,,,,2.22,,,,,,,2.49,,,,,,,0.09,,,0.28,1.1,,,,,,,,,,,,0.46,0.27,,,
Critical Hits,,,47,308,59,189,,617,10556,32,356,82,73,9,1975,52,771,45,222,203,,,203,16,1128,515,226,158,38,,57,,334,2583,,2930,,77,,578,1395,,66,19424,,,1362,,4,,,407
Critical Hit Kill,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,
Critical Hit Accuracy,,,17,8,12,2,,6,8,20,3,8,15,14,8,12,7,13,11,11,,,16,11,7,12,9,11,15,,1,,16,8,,15,,7,,5,2,,4,7,,,13,,0,,,10
Assist,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
