,all-heroes,anran,ashe,bastion,cassidy,echo,emre,freja,genji,hazard,hanzo,mauga,mei,orisa,ramattra,reinhardt,roadhog,sojourn,sombra,symmetra,torbjorn,tracer,vendetta,widowmaker,winston,wrecking-ball,zenyatta
Tank,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1
Damage,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2
Charged Shot Kills,,,,,,,,,,,,,,,,,,40,,,,,,,,,
Charged Shot Accuracy - Best in Game,,,,,,,,,,,,,,,,,,68,,,,,,,,,
Overclock Kills - Most in Game,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Overclock Kills,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Disruptor Shot Kills,,,,,,,,,,,,,,,,,,24,,,,,,,,,
Disruptor Shot Kills - Most in Game,,,,,,,,,,,,,,,,,,9,,,,,,,,,
Charged Shot Critical Accuracy,,,,,,,,,,,,,,,,,,6,,,,,,,,,
Overclock Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,
Charged Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,9.73,,,,,,,,,
Charged Shot Accuracy,,,,,,,,,,,,,,,,,,57,,,,,,,,,
Disruptor Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,5.84,,,,,,,,,
Enemies Hacked,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Enemies Hacked - Most in Game,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Virus Accuracy,,,,,,,,,,,,,,,,,,,33,,,,,,,,
Enemies Hacked - Avg per 10 Min,,,,,,,,,,,,,,,,,,,20.43,,,,,,,,
Secondary Direct Hits,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Primary Fire Accuracy,,,,,,,,,,,,,,,,,,,,28,,,,,66,,
Secondary Fire Accuracy,,,,,,,,,,,,,,,,,,,,16,,,,,51,,
Average Damage Multiplier,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,
Secondary Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,
Turret Kills,,,,,,,,,,,,,,,,,,,,,21,,,,,,
Turret Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,14,,,,,,
Molten Core Kills,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Molten Core Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Overload Kills,,,,,,,,,,,,,,,,,,,,,19,,,,,,
Overload Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,11,,,,,,
Molten Core Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,
Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,
Pulse Bomb Kills,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Pulse Bomb Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Pulse Bombs Attached - Most in Game,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Pulse Bombs Attached,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Low Health Recalls,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Low Health Recalls - Most in Game,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Low Health Recalls - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,
Pulse Bomb Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,
Pulse Bomb Attach Rate,,,,,,,,,,,,,,,,,,,,,,40,,,,,
Pulse Bombs Attached - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,
Projected Edge Kills,,,,,,,,,,,,,,,,,,,,,,,12,,,,
Projected Edge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,10,,,,
Whirlwind Dash Kills,,,,,,,,,,,,,,,,,,,,,,,13,,,,
Whirlwind Dash Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,12,,,,
Whirlwind Dash Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,
Projected Edge Accuracy,,,,,,,,,,,,,,,,,,,,,,,45,,,,
Projected Edge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,
Onslaught Uptime Percentage,,,,,,,,,,,,,,,,,,,,,,,36,,,,
Venom Mine Kills,,,,,,,,,,,,,,,,,,,,,,,,19,,,
Venom Mine Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Venom Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,4.61,,,
Jump Pack Kills,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Jump Pack Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,4,,
Melee Kills,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Jump Kills,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Weapon Kills,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Primal Rage Damage,,,,,,,,,,,,,,,,,,,,,,,,,716,,
Jump Pack Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,4.39,,
Adaptive Shielding Created,,,,,,,,,,,,,,,,,,,,,,,,,,375,
Adaptive Shielding Created - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,1085,
Elimination per Life,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Game Played,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Game Lost,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Transcendence Healing - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,1491
Transcendence Healing,,,,,,,,,,,,,,,,,,,,,,,,,,,2857
Damage Amplified,,,,,,,,,,,,,,,,,,,,,,,,,,,732
Damage Amplified - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,732
Charged Volley Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Charged Volley Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Damage Amplified - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,329
Charged Volley Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Charged Volley Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83
Transcendence Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,571
Defensive Assists - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
